time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,60.00,4,
5,0.00,0.00,0.00,0.00,47.45,4,
7,0.00,0.00,0.00,0.00,57.52,4,
9,0.00,0.00,0.00,0.00,58.64,4,4.00
11,0.00,0.00,0.00,0.00,60.38,4,
13,0.00,0.00,0.00,0.00,57.33,1,
15,0.00,0.00,0.00,0.00,57.93,1,
17,0.00,0.00,0.05,0.63,57.57,1,
19,0.00,0.00,0.03,0.41,57.40,1,4.00
21,0.00,0.00,0.20,2.41,57.99,1,
23,0.00,0.00,0.08,0.96,53.89,1,
25,0.00,0.00,0.00,0.00,50.01,1,
27,0.00,0.00,0.13,1.16,43.01,1,
29,1.30,3.64,0.33,3.16,39.04,1,2.84
31,2.61,5.57,0.91,5.16,35.65,1,
33,2.62,5.47,1.64,7.16,34.95,2,
35,3.85,7.14,1.87,9.16,37.60,2,
37,4.92,8.96,2.93,11.16,37.75,2,
39,3.87,5.47,2.77,10.48,36.85,2,2.29
41,3.87,5.47,3.08,12.48,35.07,2,
43,5.59,10.72,3.75,14.48,33.99,5,
45,6.68,11.34,4.58,16.48,35.01,5,
47,5.80,11.24,5.07,18.48,32.97,5,
49,4.00,11.24,5.12,18.85,34.59,5,2.78
51,5.29,11.24,4.96,20.85,35.41,5,
53,6.36,15.23,5.45,22.85,35.44,1,
55,7.07,18.07,5.88,24.85,36.67,1,
57,7.06,18.02,6.70,26.85,36.21,1,
59,6.02,9.26,5.96,28.85,32.89,1,2.63
61,5.53,11.98,5.44,30.85,28.77,1,
63,5.52,11.97,5.17,32.85,25.91,2,
65,8.25,11.97,5.82,34.85,26.41,2,
67,9.59,18.61,6.86,36.85,28.75,2,
69,9.96,22.98,7.45,38.85,34.27,2,2.33
71,5.48,12.08,7.96,40.85,33.76,2,
73,6.40,12.08,8.24,42.85,31.84,1,
75,8.23,12.08,8.76,44.85,31.84,1,
77,7.66,12.08,9.21,46.85,31.48,1,
79,7.84,14.53,9.55,48.85,30.14,1,1.98
81,8.55,17.36,9.68,50.85,27.32,1,
83,9.13,17.34,10.92,52.85,27.80,2,
85,12.56,17.34,12.09,54.85,29.59,2,
87,12.15,17.84,13.43,56.85,28.68,2,
89,8.11,17.84,13.67,58.85,27.13,2,2.23
91,8.11,17.84,12.92,60.85,23.79,2,
93,8.11,17.84,12.82,62.85,23.71,6,
95,7.97,17.84,14.05,64.85,24.82,6,
97,6.93,18.22,14.51,66.85,22.91,6,
99,8.51,18.21,12.45,68.85,24.13,6,2.32
101,8.53,18.21,13.31,70.85,25.30,6,
103,8.53,18.21,14.14,72.85,23.47,5,
105,8.53,18.21,14.72,74.85,24.80,5,
107,10.16,24.72,15.64,76.85,26.72,5,
109,10.76,24.83,14.45,78.85,28.61,5,2.73
111,5.99,11.14,13.47,80.85,30.13,5,
113,5.13,11.14,11.65,82.85,30.18,3,
115,5.13,11.14,11.41,84.85,29.98,3,
117,7.21,10.45,12.57,86.85,30.38,3,
119,8.00,11.17,12.46,88.85,34.13,3,2.27
121,8.47,11.16,11.28,90.85,33.06,3,
123,10.10,14.03,12.28,92.85,30.07,1,
125,10.96,17.47,13.41,94.85,26.30,1,
127,12.77,27.15,14.58,96.85,26.90,1,
129,13.01,36.12,15.35,98.85,25.87,1,1.71
131,12.45,33.86,14.74,100.85,24.17,1,
133,5.63,12.17,15.57,102.85,23.55,5,
135,8.43,17.25,16.35,104.85,25.92,5,
137,8.09,17.10,16.80,106.85,28.26,5,
139,7.22,17.10,16.61,108.85,28.28,5,2.50
141,7.22,17.10,17.33,110.85,26.69,5,
143,7.22,17.10,18.11,112.85,25.18,6,
145,7.22,17.10,18.86,114.85,27.10,6,
147,8.68,17.07,19.90,116.85,26.79,6,
149,7.96,11.77,18.02,118.85,29.39,6,2.13
151,7.94,11.77,14.32,120.85,28.12,6,
153,9.52,16.05,13.48,122.85,29.12,1,
155,10.06,18.20,14.31,124.85,33.69,1,
157,10.87,23.85,13.25,126.85,33.72,1,
159,9.09,24.60,14.11,128.85,30.73,1,1.94
161,5.27,11.77,13.57,130.85,29.62,1,
163,7.11,12.07,13.62,132.85,26.95,1,
165,7.03,11.78,14.05,134.85,28.54,1,
167,7.04,11.83,14.83,136.85,30.49,1,
169,9.37,21.14,15.42,138.85,28.70,1,2.04
171,10.16,24.29,16.21,140.85,27.07,1,
173,10.15,24.26,17.08,142.85,22.85,4,
175,10.93,27.36,17.72,144.85,20.76,4,
177,11.22,31.19,18.57,146.85,20.57,4,
179,11.93,41.99,10.78,46.89,23.04,4,1.93
181,14.65,43.29,6.01,29.70,23.94,4,
183,14.60,43.28,7.15,31.70,22.88,2,
185,15.26,43.28,7.73,33.70,22.13,2,
187,15.37,43.28,8.73,35.70,18.78,2,
189,14.95,43.28,9.56,37.70,18.86,2,2.34
191,16.01,47.69,8.33,39.70,15.87,2,
193,19.61,55.05,9.04,41.70,12.95,1,
195,21.71,55.75,7.55,43.70,14.75,1,
197,23.80,59.73,8.22,45.70,18.57,1,
199,13.75,40.54,7.91,47.70,23.65,1,2.17
201,6.33,20.75,7.95,49.70,26.20,1,
203,8.07,27.70,6.91,51.70,26.63,6,
205,9.64,33.97,7.13,53.70,30.88,6,
207,11.86,37.59,7.63,55.70,34.92,6,
209,11.92,37.54,7.90,57.70,36.05,6,2.74
211,11.86,37.30,8.44,59.70,37.33,6,
213,2.61,5.55,8.24,61.70,34.61,5,
215,3.91,7.47,8.93,63.70,34.86,5,
217,6.80,9.55,9.93,65.70,31.08,5,
219,7.08,17.97,5.17,25.89,27.40,5,1.73
221,10.23,25.15,5.50,27.89,24.90,5,
223,10.36,25.08,6.37,29.89,22.27,6,
225,11.11,28.06,7.33,31.89,20.83,6,
227,13.20,31.22,8.82,33.89,21.77,6,
229,14.53,36.75,9.67,32.87,26.29,6,1.97
231,14.90,38.20,9.42,27.18,26.51,6,
233,7.59,13.13,8.93,29.18,22.60,7,
235,7.53,18.73,9.06,31.18,20.80,7,
237,9.95,18.59,8.79,33.18,20.85,7,
239,11.71,17.73,8.70,24.66,20.48,7,1.61
241,10.29,17.58,7.98,26.66,18.72,7,
243,10.29,17.58,7.80,28.66,20.06,5,
245,12.79,21.58,8.62,30.66,22.08,5,
247,13.62,24.91,9.62,32.66,25.68,5,
249,13.54,24.59,7.25,34.66,29.69,5,2.50
251,8.24,20.97,7.50,36.66,28.77,5,
253,9.16,24.66,7.78,38.66,27.40,2,
255,9.15,24.62,7.62,40.66,32.34,2,
257,10.12,24.62,8.53,42.66,32.27,2,
259,9.99,24.23,7.65,31.92,34.99,2,2.77
261,2.58,5.39,6.37,25.58,36.22,2,
263,3.02,5.30,5.09,21.52,38.20,5,
265,5.70,12.72,4.56,23.52,37.60,5,
267,7.01,18.37,5.39,25.52,37.30,5,
269,7.08,18.26,4.30,27.52,33.43,5,2.24
271,8.50,18.26,5.02,29.52,30.09,5,
273,8.77,18.26,5.95,31.52,23.93,6,
275,8.94,18.26,6.72,33.52,23.39,6,
277,12.33,19.03,7.03,35.52,22.56,6,
279,15.30,24.63,6.40,20.23,24.47,6,2.17
281,12.55,23.59,7.21,22.23,24.79,6,
283,11.86,25.28,6.10,24.23,21.11,1,
