time,calc_time
1.00,0.19
9.00,0.10
19.00,0.18
29.00,0.09
39.00,0.08
49.00,0.09
59.00,0.11
69.00,0.12
79.00,0.08
89.00,0.09
99.00,0.09
109.00,0.09
119.00,0.09
129.00,0.08
139.00,0.10
149.00,0.08
159.00,0.29
169.00,0.09
179.00,0.32
189.00,0.20
199.00,0.09
209.00,0.08
219.00,0.10
229.00,0.08
239.00,0.09
249.00,0.08
259.00,0.37
269.00,0.10
279.00,0.18
289.00,0.09
299.00,0.08
309.00,0.09
319.00,0.08
329.00,0.08
339.00,0.08
349.00,0.10
359.00,0.10
369.00,0.10
379.00,0.07
389.00,0.08
399.00,0.09
409.00,0.08
419.00,0.08
429.00,0.08
439.00,0.10
449.00,0.08
459.00,0.11
469.00,0.09
479.00,0.31
489.00,0.10
499.00,0.08
