time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.50,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.34,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.64,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.84,0.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.01,0.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.11,0.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.87,0.00
25,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.33,0.43,0.99,34.31,0.00
27,1.21,0.00,0.61,1.21,2.99,0.00,0.00,1.00,1.28,2.99,46.61,1.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.65,0.00
31,6.85,0.00,3.42,6.85,1.04,0.00,0.00,0.35,0.45,1.04,38.15,0.00
33,10.16,0.00,5.08,10.16,3.04,0.00,0.00,1.01,1.30,3.04,33.22,0.00
35,10.16,0.00,5.08,10.16,5.04,0.00,0.82,1.96,2.52,5.04,26.79,0.00
37,7.35,4.26,5.81,7.35,7.04,0.00,2.82,3.29,4.23,7.04,24.58,0.00
39,0.00,4.72,2.36,4.72,9.04,0.00,4.82,4.62,5.94,9.04,17.27,1.00
41,0.00,5.49,2.75,5.49,0.00,0.00,6.82,2.27,2.92,6.82,10.66,0.00
43,0.00,11.77,5.89,11.77,0.00,0.00,8.82,2.94,3.78,8.82,2.13,0.00
45,0.62,11.60,6.11,11.60,1.57,0.00,10.82,4.13,5.31,10.82,4.46,0.00
47,0.00,8.42,4.21,8.42,3.57,0.00,12.82,5.46,7.02,12.82,60.00,2.00
49,0.00,0.00,0.00,0.00,0.00,0.00,8.44,2.81,3.62,8.44,58.03,1.00
