time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,43.57,0.00,0,
3,0.00,0.00,0.00,0.00,56.11,0.00,4,
5,0.00,0.00,0.00,0.00,60.74,0.00,4,
7,0.00,0.00,0.00,0.00,61.93,0.00,4,
9,0.00,0.00,0.00,0.00,58.76,0.00,4,4.00
11,0.00,0.00,0.00,0.00,56.63,0.00,4,
13,0.00,0.00,0.00,0.00,51.83,0.00,2,
15,0.00,0.00,0.04,0.43,52.20,0.00,2,
17,0.37,1.49,0.51,2.43,52.46,2.00,2,
19,1.36,5.43,0.47,3.83,48.70,1.00,2,2.51
21,1.34,5.35,0.51,5.83,45.43,1.00,2,
23,1.34,5.35,0.65,7.83,41.33,0.00,3,
25,1.62,5.35,1.11,9.83,39.38,0.00,3,
27,3.48,8.59,1.68,11.83,38.49,2.00,3,
29,4.25,11.66,2.19,13.83,34.68,2.00,3,2.24
31,5.64,11.64,2.21,15.83,33.08,0.00,3,
33,6.83,11.64,3.00,17.83,31.58,1.00,1,
35,7.08,11.64,3.70,19.83,29.82,0.00,1,
37,7.52,10.37,4.83,21.83,28.74,2.00,1,
39,5.34,10.37,5.55,23.83,28.36,1.00,1,1.60
41,5.79,10.37,5.63,25.83,30.46,1.00,1,
43,7.87,12.46,6.70,27.83,30.50,1.00,3,
45,9.60,15.90,7.19,29.83,27.47,0.00,3,
47,7.72,16.56,8.32,31.83,28.18,2.00,3,
49,7.00,16.56,8.58,33.83,30.23,2.00,3,1.69
51,8.06,16.56,8.36,35.83,30.13,1.00,3,
53,8.05,16.56,9.35,37.83,27.31,1.00,4,
55,7.95,16.96,10.19,39.83,29.33,2.00,4,
57,11.33,23.86,10.11,41.83,29.02,2.00,4,
59,10.63,21.01,8.80,30.11,28.89,2.00,4,1.89
61,10.15,19.11,8.01,31.73,28.15,2.00,4,
63,12.61,23.44,7.62,33.73,26.06,2.00,2,
65,13.27,25.92,7.73,35.73,24.96,0.00,2,
67,16.02,25.90,8.73,37.73,25.38,2.00,2,
69,15.56,35.62,6.42,23.84,23.77,2.00,2,1.96
71,15.86,29.85,7.12,24.48,21.76,2.00,2,
73,9.21,23.41,5.55,19.18,18.19,1.00,3,
75,10.39,23.41,6.13,21.18,15.78,0.00,3,
77,13.63,24.89,7.45,23.18,14.71,2.00,3,
79,13.50,26.13,7.83,19.34,12.08,3.00,3,1.72
81,16.21,37.08,8.18,21.34,12.06,2.00,3,
83,17.56,42.47,8.47,23.34,15.24,1.00,1,
85,18.81,42.40,8.33,25.34,21.24,0.00,1,
87,17.78,42.40,9.33,27.34,27.13,2.00,1,
89,18.47,42.40,7.56,24.33,30.21,1.00,1,2.34
91,20.48,42.39,8.02,26.33,33.35,1.00,1,
93,16.32,31.01,8.61,28.33,33.76,1.00,2,
95,10.81,30.99,8.97,30.33,31.65,0.00,2,
97,12.36,30.99,9.97,32.33,27.81,2.00,2,
99,16.18,34.94,8.81,24.68,29.80,1.00,2,1.48
101,19.22,39.71,9.89,26.68,29.54,1.00,2,
103,17.37,25.17,10.02,28.58,27.67,1.00,1,
105,13.71,26.30,10.56,30.58,27.17,0.00,1,
107,17.30,28.44,11.89,32.58,25.76,2.00,1,
109,20.57,32.13,12.29,34.58,25.17,1.00,1,1.40
111,24.76,33.86,13.50,36.58,24.00,2.00,1,
113,18.92,30.13,13.23,38.58,20.07,3.00,4,
115,20.31,33.98,13.85,40.58,15.62,0.00,4,
117,22.60,43.13,15.52,42.58,14.43,2.00,4,
119,27.58,55.36,14.38,35.82,12.74,2.00,4,1.37
121,34.25,62.64,14.61,32.36,12.93,2.00,4,
123,37.68,62.55,15.94,34.36,9.68,2.00,2,
125,40.54,65.70,15.90,36.36,9.01,1.00,2,
127,34.59,68.42,15.74,29.19,8.54,1.00,2,
129,34.90,70.20,16.34,31.19,7.19,2.00,2,1.48
131,39.50,82.81,16.70,32.06,13.28,1.00,2,
133,43.23,87.72,17.07,34.06,15.70,1.00,1,
135,43.63,87.66,18.58,36.06,17.04,0.00,1,
137,43.63,87.66,20.08,38.06,18.78,2.00,1,
139,44.19,87.66,20.42,40.06,20.33,2.00,1,0.96
141,46.05,87.65,20.17,42.06,19.31,1.00,1,
143,42.34,86.91,19.47,44.06,20.03,2.00,3,
145,31.27,42.69,20.63,46.06,20.43,1.00,3,
147,31.82,36.16,19.29,48.06,18.63,2.00,3,
149,32.64,36.44,18.83,42.48,15.79,2.00,3,1.30
151,31.24,42.68,17.98,43.13,13.33,2.00,3,
153,26.94,42.13,16.85,45.13,12.11,2.00,4,
155,27.43,41.09,17.98,47.13,10.48,1.00,4,
157,33.91,53.31,19.03,49.13,10.81,2.00,4,
159,42.25,75.17,19.55,46.06,15.24,3.00,4,1.50
161,42.25,76.28,17.60,48.06,15.21,2.00,4,
163,35.17,75.87,17.86,50.06,13.27,2.00,3,
165,34.66,77.06,17.63,52.06,13.79,0.00,3,
167,36.03,87.27,19.13,54.06,12.93,2.00,3,
169,38.55,96.55,19.45,56.06,12.09,2.00,3,0.94
171,40.36,101.02,19.67,58.06,11.07,2.00,3,
173,40.32,100.90,19.42,60.06,12.51,1.00,2,
175,43.57,107.53,20.39,62.06,13.22,0.00,2,
177,43.67,107.01,21.72,64.06,13.89,2.00,2,
179,44.88,111.95,22.48,64.30,13.88,2.00,2,1.63
181,48.71,123.58,22.56,64.41,13.76,2.00,2,
183,51.60,125.40,22.58,65.70,12.79,1.00,2,
185,51.69,125.39,23.80,66.32,13.17,1.00,2,
187,55.27,129.65,23.42,56.51,14.02,2.00,2,
189,58.00,132.07,23.46,58.51,14.28,0.00,2,1.04
191,58.97,132.06,24.79,60.51,12.89,1.00,2,
193,61.47,132.06,22.95,62.51,10.69,2.00,1,
195,62.89,134.62,24.17,64.51,10.10,0.00,1,
197,65.07,138.92,25.67,66.51,10.43,2.00,1,
199,65.04,138.88,25.97,68.51,12.67,2.00,1,1.18
201,65.66,138.88,25.53,70.51,11.90,2.00,1,
203,66.36,138.82,26.30,72.51,12.60,2.00,4,
205,36.70,61.61,25.14,74.51,15.11,0.00,4,
207,24.48,37.53,26.81,76.51,18.25,2.00,4,
209,25.65,37.30,25.72,53.87,19.28,2.00,4,1.53
211,24.74,37.20,25.86,54.11,18.78,2.00,4,
213,21.52,31.87,26.43,56.11,18.57,2.00,1,
215,21.54,31.60,27.62,58.11,19.10,0.00,1,
217,22.59,31.60,29.29,60.11,16.98,2.00,1,
219,26.09,37.66,29.43,62.11,15.25,2.00,1,1.21
221,25.71,37.65,28.52,64.11,15.40,2.00,1,
223,29.41,43.60,25.98,66.11,15.61,2.00,2,
225,34.00,49.52,26.55,68.11,17.53,0.00,2,
227,33.95,49.58,28.05,70.11,17.20,2.00,2,
229,31.07,49.58,28.86,71.55,15.86,2.00,2,1.24
231,30.84,49.58,26.74,58.35,15.55,2.00,2,
233,32.25,49.53,27.78,60.35,14.02,2.00,3,
235,32.44,50.42,28.20,62.35,13.40,1.00,3,
237,34.80,52.35,29.00,64.35,15.10,2.00,3,
239,30.65,50.51,28.07,66.35,16.28,2.00,3,1.64
241,32.40,50.46,27.08,68.35,15.95,2.00,3,
243,31.62,50.38,27.19,70.35,14.83,2.00,3,
245,27.53,38.31,27.36,72.35,14.92,2.00,3,
247,28.97,38.21,26.81,74.35,13.06,2.00,3,
249,30.05,40.51,26.84,76.35,11.34,2.00,3,1.15
251,32.11,44.92,27.05,78.35,11.63,3.00,3,
253,33.56,44.75,27.33,80.35,9.74,0.00,1,
255,35.46,50.33,28.83,82.35,8.85,0.00,1,
257,37.64,59.06,30.33,84.35,9.32,2.00,1,
259,40.70,67.08,29.34,86.35,9.15,2.00,1,1.28
261,42.29,71.18,28.47,88.35,9.08,2.00,1,
263,35.68,75.31,29.64,90.35,8.37,2.00,4,
265,35.68,81.36,30.74,92.35,9.54,0.00,4,
267,31.94,81.78,32.57,94.35,10.71,2.00,4,
269,29.82,81.78,29.73,90.78,13.08,2.00,4,1.42
271,30.34,81.78,28.36,85.64,11.77,1.00,4,
273,32.89,81.78,29.08,82.37,12.88,1.00,1,
275,33.84,81.78,28.65,84.37,10.87,0.00,1,
277,36.97,90.01,30.48,86.37,11.39,2.00,1,
279,37.69,99.94,28.64,88.37,10.81,2.00,1,0.79
281,34.61,100.73,25.05,90.37,11.52,2.00,1,
283,36.42,107.50,24.49,92.37,11.85,1.00,1,
285,36.42,107.52,24.91,94.37,11.74,1.00,1,
287,36.22,106.70,25.63,96.37,10.24,2.00,1,
289,26.68,68.54,26.55,98.37,11.80,1.00,1,0.98
291,28.24,74.80,27.67,100.37,10.62,0.00,1,
293,30.93,85.56,29.02,102.37,9.89,0.00,3,
295,32.68,92.63,30.62,104.37,10.34,1.00,3,
297,34.66,105.63,29.50,106.37,12.19,2.00,3,
299,33.85,112.21,28.36,108.37,12.48,1.00,3,0.05
301,33.93,114.04,27.42,110.37,12.78,1.00,3,
303,35.36,119.79,26.74,112.37,12.44,0.00,2,
305,35.34,119.83,28.07,114.37,13.83,1.00,2,
307,36.83,125.09,29.07,116.37,14.91,2.00,2,
309,38.59,126.08,25.36,100.51,15.45,2.00,2,1.62
311,39.99,131.80,26.06,99.59,17.21,2.00,2,
313,42.56,139.13,26.57,92.81,18.20,1.00,4,
315,43.10,138.87,26.67,89.06,17.97,0.00,4,
317,42.02,138.87,28.00,91.06,19.28,3.00,4,
319,43.44,138.87,22.69,84.01,19.45,2.00,4,1.54
321,43.43,138.87,23.40,86.01,17.81,3.00,4,
323,45.11,138.87,24.40,88.01,15.53,2.00,3,
325,48.05,142.76,25.27,90.01,13.80,0.00,3,
327,50.04,145.55,26.60,92.01,12.39,2.00,3,
329,50.29,145.54,27.44,94.01,13.41,2.00,3,1.05
331,51.68,145.54,27.77,96.01,14.23,2.00,3,
333,50.67,149.42,28.65,98.01,15.36,2.00,1,
335,55.03,154.32,29.58,100.01,13.09,0.00,1,
337,56.08,158.94,31.25,102.01,12.49,2.00,1,
339,57.75,170.32,32.72,104.01,13.52,2.00,1,0.93
341,57.48,177.37,32.66,106.01,12.78,2.00,1,
343,55.73,177.28,31.23,108.01,12.38,2.00,2,
345,55.68,177.09,30.66,110.01,10.26,0.00,2,
347,55.23,175.30,32.02,112.01,8.58,2.00,2,
349,40.70,126.31,32.33,103.84,10.91,2.00,2,1.69
351,35.85,93.39,31.73,101.12,13.33,2.00,2,
353,39.78,101.07,31.20,96.91,14.87,2.00,1,
355,43.11,108.40,28.54,98.91,13.81,0.00,1,
357,45.95,114.01,30.04,100.91,13.45,2.00,1,
359,47.00,119.77,30.74,102.91,12.31,2.00,1,1.25
361,50.93,131.18,30.88,104.91,13.84,1.00,1,
363,55.26,138.91,32.09,106.91,14.40,1.00,1,
365,58.47,138.95,33.19,108.91,15.13,2.00,1,
367,61.34,139.30,32.85,110.91,13.82,1.00,1,
369,49.72,148.91,33.98,112.91,11.85,3.00,1,0.43
371,52.56,160.33,34.83,114.91,11.17,1.00,1,
373,53.74,163.54,35.24,116.91,9.75,0.00,3,
375,55.46,163.51,36.58,118.91,10.37,1.00,3,
377,59.12,163.51,,,11.73,2.00,3,
379,60.74,168.44,,,13.46,2.00,3,0.31
381,54.45,168.26,,,13.25,2.00,3,
383,48.43,169.56,,,11.55,2.00,4,
385,50.82,176.53,,,11.03,0.00,4,
387,53.68,176.31,,,12.35,2.00,4,
389,48.48,155.88,,,13.02,2.00,4,1.28
391,45.99,138.97,,,12.63,2.00,4,
393,49.41,144.30,,,10.77,2.00,2,
395,51.58,153.12,,,9.12,0.00,2,
397,55.48,166.49,,,7.34,2.00,2,
399,56.40,177.92,,,6.36,2.00,2,0.99
401,59.74,186.39,,,5.39,2.00,2,
403,64.12,192.60,,,6.11,1.00,3,
405,66.42,200.12,,,6.06,0.00,3,
