time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.60
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.95
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.95
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.53
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.67
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.57
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.27
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.74
17,0.00,1.21,0.61,1.21,0.00,1.37,1.84,1.07,1.38,1.84,38.70
19,0.00,5.47,2.74,5.47,0.00,3.37,3.84,2.40,3.09,3.84,35.40
21,0.00,5.35,2.68,5.35,0.36,0.00,5.84,2.07,2.56,5.84,37.33
23,0.00,5.35,2.68,5.35,0.00,0.00,7.84,2.61,3.36,7.84,35.70
25,0.00,5.35,2.68,5.35,0.00,0.00,9.84,3.28,4.22,9.84,29.63
27,0.00,5.35,2.68,5.35,0.00,0.00,11.84,3.95,5.08,11.84,16.47
29,0.00,5.35,2.68,5.35,0.00,0.00,13.84,4.61,5.93,13.84,15.90
31,0.00,10.61,5.31,10.61,0.00,1.06,15.84,5.63,7.24,15.84,21.66
33,4.51,10.37,7.44,10.37,0.00,3.06,17.84,6.97,8.96,17.84,28.02
35,5.35,10.37,7.86,10.37,0.00,5.06,19.84,8.30,10.67,19.84,28.98
37,5.35,10.37,7.86,10.37,0.00,7.06,21.84,9.63,12.39,21.84,28.65
39,5.35,10.37,7.86,10.37,0.00,9.06,23.84,10.97,14.10,23.84,25.12
41,5.35,10.37,7.86,10.37,0.00,11.06,25.84,12.30,15.82,25.84,24.39
43,5.35,10.37,7.86,10.37,0.00,13.06,27.84,13.63,17.53,27.84,18.51
45,5.26,15.90,10.58,15.90,0.00,15.06,29.84,14.97,19.24,29.84,20.04
47,0.00,16.52,8.26,16.52,0.00,17.06,31.84,16.30,20.96,31.84,28.10
49,0.00,4.69,2.34,4.69,0.00,3.64,20.10,7.91,10.18,20.10,47.00
51,0.00,0.00,0.00,0.00,0.00,4.07,7.67,3.92,5.03,7.67,50.90
53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70
55,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.07,0.09,0.22,12.70
57,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.74,0.95,2.22,1.40
59,0.00,5.85,2.93,5.85,0.00,0.00,4.22,1.41,1.81,4.22,0.00
61,0.00,5.59,2.80,5.59,0.00,0.00,6.22,2.07,2.67,6.22,23.30
63,0.00,5.59,2.80,5.59,0.00,0.00,8.22,2.74,3.52,8.22,37.87
65,0.00,5.59,2.80,5.59,0.00,0.00,10.22,3.41,4.38,10.22,43.83
67,0.00,5.59,2.80,5.59,0.00,0.00,12.22,4.07,5.24,12.22,43.80
69,0.00,5.59,2.80,5.59,0.00,0.00,14.22,4.74,6.09,14.22,44.95
71,0.00,5.59,2.80,5.59,0.00,0.00,16.22,5.41,6.95,16.22,37.90
73,0.00,5.59,2.80,5.59,0.00,0.00,18.22,6.07,7.81,18.22,30.15
75,0.00,5.59,2.80,5.59,0.00,0.00,20.22,6.74,8.67,20.22,23.40
77,0.00,9.90,4.95,9.90,0.51,0.00,22.22,7.57,9.59,22.22,17.37
79,0.00,11.84,5.92,11.84,0.00,0.00,24.22,8.07,10.38,24.22,10.43
81,0.00,11.84,5.92,11.84,0.00,0.00,26.22,8.74,11.24,26.22,15.20
83,0.00,11.84,5.92,11.84,0.00,0.00,28.22,9.41,12.09,28.22,22.82
85,0.00,17.90,8.95,17.90,0.00,0.00,30.22,10.07,12.95,30.22,24.02
87,0.00,17.95,8.97,17.95,0.00,0.00,32.22,10.74,13.81,32.22,29.28
89,0.00,17.95,8.97,17.95,0.00,0.00,34.22,11.41,14.67,34.22,29.85
91,0.00,17.95,8.97,17.95,0.00,0.00,36.22,12.07,15.52,36.22,30.24
93,0.00,17.95,8.97,17.95,0.00,0.00,38.22,12.74,16.38,38.22,29.54
95,0.00,17.95,8.97,17.95,0.00,0.15,40.22,13.46,17.30,40.22,24.09
97,2.48,17.95,10.21,17.95,0.00,2.15,42.22,14.79,19.02,42.22,26.02
99,0.00,17.91,8.95,17.91,0.94,4.15,44.22,16.44,20.86,44.22,30.62
101,0.00,5.13,2.57,5.13,2.94,0.00,26.16,9.70,11.63,26.16,41.42
103,0.00,0.00,0.00,0.00,0.00,0.00,19.91,6.64,8.53,19.91,41.68
105,0.00,3.06,1.53,3.06,0.00,0.00,4.05,1.35,1.74,4.05,37.38
107,0.00,5.96,2.98,5.96,0.00,0.00,6.05,2.02,2.59,6.05,35.39
109,0.00,13.07,6.53,13.07,0.00,0.00,8.05,2.68,3.45,8.05,35.77
111,0.00,17.78,8.89,17.78,0.00,0.00,10.05,3.35,4.31,10.05,34.31
113,0.00,17.67,8.83,17.67,0.00,0.00,12.05,4.02,5.17,12.05,27.23
115,0.00,17.67,8.83,17.67,0.00,0.83,14.05,4.96,6.38,14.05,17.51
117,4.94,17.67,11.31,17.67,0.05,2.83,16.05,6.31,8.10,16.05,13.23
119,10.87,18.45,14.66,18.45,2.05,4.83,18.05,8.31,10.10,18.05,8.93
121,11.53,28.83,20.18,28.83,4.05,6.83,20.05,10.31,12.10,20.05,7.23
123,11.53,37.11,24.32,37.11,6.05,8.83,22.05,12.31,14.10,22.05,6.71
125,11.53,37.48,24.50,37.48,8.05,10.83,24.05,14.31,16.10,24.05,4.21
127,11.53,37.48,24.50,37.48,10.05,12.83,26.05,16.31,18.10,26.05,1.83
129,11.53,37.48,24.50,37.48,12.05,14.83,28.05,18.31,20.10,28.05,0.28
131,11.53,43.03,27.28,43.03,14.05,16.83,30.05,20.31,22.10,30.05,3.94
133,11.53,44.11,27.82,44.11,16.05,18.83,32.05,22.31,24.10,32.05,5.56
135,11.53,44.11,27.82,44.11,18.05,20.83,34.05,24.31,26.10,34.05,6.39
137,11.53,44.11,27.82,44.11,20.05,22.83,36.05,26.31,28.10,36.05,10.42
139,11.53,44.11,27.82,44.11,22.05,24.83,38.05,28.31,30.10,38.05,10.90
141,11.53,44.11,27.82,44.11,24.05,26.83,40.05,30.31,32.10,40.05,8.99
