time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,44.70,3
3,0.00,0.00,0.00,0.00,0.00,53.50,3
5,0.00,0.00,0.00,0.00,0.00,54.65,5
7,0.00,0.00,0.00,0.00,0.00,58.93,5
9,0.00,0.00,0.00,0.00,0.00,59.26,5
11,0.00,0.00,0.00,0.00,0.00,60.06,5
13,0.00,0.00,0.00,0.00,0.00,58.65,2
15,0.00,0.00,0.03,0.06,0.42,48.81,2
17,0.00,0.00,0.05,0.08,0.61,37.29,2
19,0.64,2.54,0.41,0.59,2.61,29.23,2
21,1.59,6.35,0.35,0.50,2.90,22.01,2
23,4.29,11.98,1.11,1.58,4.90,22.51,5
25,4.25,11.82,1.79,2.52,6.90,32.29,5
27,4.25,11.82,2.19,2.99,8.90,36.55,5
29,5.57,17.08,2.86,3.91,10.90,38.95,5
31,7.34,24.19,3.52,4.83,12.90,38.73,6
33,4.20,11.62,3.73,4.91,12.81,39.39,6
35,2.49,5.19,3.37,3.91,14.81,36.17,6
37,4.57,8.67,4.03,4.61,16.81,32.25,6
39,5.01,15.31,3.55,3.33,18.81,27.41,1
41,7.23,22.75,3.32,3.90,16.74,27.63,1
43,9.96,23.69,3.88,4.42,18.74,24.61,1
45,11.27,23.69,4.32,4.97,20.74,23.95,1
47,11.14,23.68,5.16,5.88,22.74,26.98,1
49,8.66,24.26,5.05,5.23,16.62,28.43,2
51,6.94,25.43,5.02,5.47,18.62,27.05,2
53,9.64,30.66,4.58,4.31,20.62,29.84,2
55,10.87,37.82,5.54,5.29,22.62,30.53,2
57,13.59,37.71,5.56,4.86,24.62,31.97,2
59,10.93,24.11,6.25,5.53,26.62,31.31,2
61,7.32,11.03,6.99,6.15,28.62,29.65,2
63,8.60,14.22,7.74,6.92,30.62,28.31,2
65,9.45,17.59,7.48,6.73,32.62,28.39,4
67,9.61,18.23,8.18,7.24,34.62,25.72,4
69,11.61,26.63,8.76,7.87,36.62,28.27,4
71,11.50,29.79,8.17,6.37,38.62,30.90,4
73,12.42,33.74,4.48,5.65,21.48,28.96,1
75,12.95,35.87,4.53,6.06,23.48,31.85,1
77,6.67,14.82,4.70,6.21,25.48,35.70,1
79,5.60,17.49,4.64,5.86,27.48,35.52,1
81,2.35,4.91,3.19,4.51,15.63,33.82,1
83,4.55,7.60,3.45,4.40,17.63,36.03,1
85,7.08,11.57,3.09,3.88,19.63,34.06,1
87,9.07,19.05,3.39,3.97,21.63,30.18,1
89,9.02,18.85,4.18,4.80,23.63,21.17,2
91,9.81,22.01,5.18,5.92,25.63,15.48,2
93,11.03,26.90,5.40,6.05,27.63,15.42,2
95,12.41,32.44,6.26,6.94,29.63,21.29,2
97,13.78,37.90,5.78,5.71,19.11,22.72,2
99,14.92,37.64,5.74,5.40,21.11,22.95,2
101,7.77,18.06,5.80,5.09,23.11,23.20,2
103,5.94,18.06,6.24,5.40,25.11,22.34,2
105,5.94,18.06,6.07,4.72,27.11,20.35,2
107,5.94,18.06,5.88,4.00,29.11,13.41,2
109,5.94,18.06,6.72,4.97,31.11,11.83,5
111,5.94,18.06,7.40,5.68,33.11,6.84,5
113,8.40,18.06,8.06,6.37,35.11,17.76,5
115,8.74,18.02,9.06,7.61,37.11,27.79,5
117,5.31,11.24,8.15,5.76,39.11,33.69,6
119,4.23,11.24,6.83,4.75,41.11,37.29,6
121,4.23,11.24,5.58,4.38,43.11,44.32,6
123,3.59,8.67,6.20,5.05,45.11,44.93,6
125,1.42,5.69,5.43,3.37,47.11,42.86,2
127,1.42,5.69,4.19,1.42,49.11,40.14,2
129,2.28,5.69,4.53,1.75,51.11,40.05,2
131,2.57,5.69,5.12,2.38,53.11,40.19,2
133,2.89,5.69,5.39,2.60,55.11,37.88,1
135,3.71,5.69,6.08,3.38,57.11,35.58,1
137,5.12,10.42,6.47,3.70,59.11,40.33,1
139,3.42,8.01,7.14,4.46,61.11,40.21,1
141,1.42,5.69,6.02,2.66,63.11,37.05,6
143,1.63,5.69,5.77,2.24,65.11,34.82,6
145,3.94,10.05,5.96,2.32,67.11,35.14,6
147,4.07,10.60,6.29,2.64,69.11,36.88,6
149,1.42,5.69,6.77,3.11,71.11,40.04,6
151,1.42,5.69,7.28,3.45,73.11,39.75,1
153,1.42,5.69,7.52,3.79,75.11,36.99,1
155,2.53,5.69,7.50,3.38,77.11,33.68,1
157,4.19,8.20,8.50,4.55,79.11,37.12,1
159,4.52,10.01,9.55,5.82,81.11,37.21,1
161,1.42,5.69,9.71,6.02,83.11,39.50,1
163,2.13,5.69,10.42,6.63,85.11,40.86,1
165,4.11,10.76,10.74,6.67,87.11,39.73,1
167,4.09,10.68,11.61,7.58,89.11,40.21,1
169,4.09,10.68,12.43,8.41,91.11,37.02,1
171,4.56,10.68,13.30,9.32,93.11,34.34,1
173,6.74,15.73,13.74,9.51,95.11,32.19,1
175,7.49,18.75,14.87,10.63,97.11,31.26,1
177,8.76,23.13,16.01,11.85,99.11,28.07,2
179,10.11,23.07,16.78,12.71,101.11,24.80,2
181,10.07,23.07,17.65,13.42,103.11,22.18,2
183,12.69,28.64,15.72,10.69,105.11,20.20,2
185,16.01,30.12,17.10,12.20,107.11,25.21,2
187,17.09,34.31,15.83,10.39,109.11,26.16,2
189,12.50,28.43,15.76,9.95,111.11,27.43,5
191,12.75,30.01,15.08,8.57,113.11,27.33,5
193,12.75,30.01,16.21,9.72,115.11,28.50,5
195,13.62,33.52,17.57,11.24,117.11,25.59,5
197,16.52,40.85,18.18,12.22,119.11,25.72,5
199,18.91,46.51,18.88,12.91,121.11,27.30,5
201,21.01,51.32,19.87,13.95,123.11,26.67,5
203,23.45,61.09,20.41,14.08,125.11,27.84,5
205,25.00,67.30,21.27,14.71,127.11,27.54,5
207,13.93,23.03,22.14,15.44,129.11,25.11,5
209,10.63,15.65,22.78,15.68,131.11,21.34,6
211,11.61,18.18,23.89,16.76,133.11,20.32,6
213,14.69,23.92,25.12,18.03,135.11,19.53,6
215,16.53,31.42,23.30,14.15,137.11,18.92,6
217,20.44,37.03,19.73,12.80,139.11,17.69,6
219,23.48,41.99,19.80,12.35,141.11,18.29,6
221,20.69,29.24,20.57,13.05,143.11,16.48,7
223,14.42,29.24,20.70,12.70,145.11,15.26,7
225,14.69,29.24,21.71,13.74,147.11,18.11,7
227,16.07,29.24,22.52,14.40,149.11,20.36,7
229,16.03,29.23,19.74,13.25,151.11,22.35,7
231,11.94,17.47,19.49,13.11,153.11,23.59,7
233,8.72,17.47,19.91,13.57,155.11,25.78,8
235,8.72,17.47,20.09,13.60,157.11,26.13,8
237,8.72,17.47,19.27,12.99,159.11,27.27,8
239,8.71,17.42,19.76,13.58,161.11,30.91,8
241,6.31,17.42,12.73,12.26,65.69,33.38,8
243,4.92,17.42,9.33,11.55,38.38,33.16,8
245,6.94,17.42,,,,29.98,5
247,7.56,17.42,,,,27.43,5
