time,value
5,0.03
9,0.01
13,0.03
17,0.05
21,0.11
25,0.03
29,0.14
33,0.06
37,0.08
41,0.15
45,0.05
49,0.14
53,0.04
57,0.11
61,0.11
65,0.26
69,0.19
73,0.18
77,0.22
81,0.15
85,0.19
89,0.13
93,0.16
97,0.17
101,0.22
105,0.19
109,0.23
113,0.27
117,0.16
121,0.21
125,0.28
129,0.24
133,0.17
137,0.19
141,0.17
145,0.20
149,0.22
153,0.10
157,0.20
161,0.20
165,0.20
169,0.12
173,0.26
177,0.08
181,0.24
185,0.06
189,0.10
193,0.11
197,0.13
201,0.20
205,0.11
209,0.16
213,0.08
217,0.15
221,0.09
225,0.11
229,0.15
233,0.35
237,0.09
241,0.24
245,0.09
249,0.16
253,0.16
257,0.26
261,0.11
265,0.19
269,0.18
273,0.13
277,0.18
281,0.14
285,0.19
289,0.31
293,0.15
297,0.35
301,0.19
305,0.13
309,0.44
313,0.16
317,0.29
321,0.25
325,0.23
329,0.10
333,0.17
337,0.05
341,0.15
345,0.10
349,0.20
353,0.09
357,0.11
361,0.07
365,0.16
369,0.09
373,0.09
377,0.07
381,0.10
385,0.14
389,0.06
393,0.09
397,0.07
401,0.08
405,0.04
409,0.05
413,0.09
417,0.13
421,0.12
425,0.17
429,0.22
433,0.20
437,0.17
441,0.21
445,0.13
449,0.24
453,0.25
457,0.13
461,0.18
465,0.08
469,0.20
473,0.17
477,0.04
481,0.11
485,0.05
489,0.14
493,0.07
497,0.23
