time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,2.1
19.0,12.3
21.0,21.2
23.0,23.9
25.0,19.7
27.0,22.6
29.0,22.6
31.0,23.4
33.0,24.1
35.0,24.1
37.0,26.0
39.0,34.5
41.0,35.3
43.0,17.2
45.0,19.0
47.0,23.8
49.0,23.7
51.0,23.7
53.0,23.7
55.0,24.3
57.0,24.0
59.0,24.0
61.0,23.9
63.0,23.9
65.0,24.7
67.0,26.0
69.0,35.3
71.0,36.9
73.0,42.2
75.0,43.2
77.0,49.1
79.0,49.8
81.0,50.5
83.0,56.1
85.0,52.8
87.0,18.9
89.0,18.9
91.0,18.9
93.0,18.9
95.0,25.2
97.0,31.4
99.0,31.4
101.0,31.4
103.0,31.4
105.0,18.9
107.0,18.9
109.0,18.9
111.0,18.9
113.0,18.9
115.0,18.9
117.0,18.9
119.0,18.9
121.0,18.9
123.0,18.1
125.0,18.1
127.0,18.1
129.0,18.1
131.0,18.1
133.0,18.0
135.0,4.6
137.0,10.4
139.0,11.1
141.0,7.5
143.0,6.6
145.0,15.0
147.0,17.5
149.0,28.4
151.0,36.7
153.0,36.5
155.0,41.9
157.0,42.9
159.0,15.3
161.0,18.5
163.0,23.8
165.0,29.8
167.0,41.6
169.0,49.3
171.0,49.1
173.0,49.1
175.0,52.6
177.0,52.0
179.0,17.4
181.0,17.4
183.0,21.6
185.0,23.4
187.0,29.2
189.0,29.0
191.0,29.0
193.0,36.3
195.0,36.2
197.0,41.5
199.0,53.5
201.0,59.2
203.0,71.5
205.0,74.2
207.0,74.1
209.0,74.1
211.0,80.6
213.0,80.4
215.0,80.4
217.0,80.3
219.0,31.1
221.0,30.9
223.0,35.9
225.0,38.9
227.0,47.7
229.0,50.0
231.0,49.9
233.0,29.7
235.0,29.7
237.0,29.7
239.0,29.7
241.0,29.7
243.0,29.7
245.0,29.7
247.0,29.7
249.0,29.7
251.0,35.8
253.0,35.9
255.0,34.7
257.0,32.2
259.0,27.8
261.0,30.2
263.0,30.8
265.0,33.2
267.0,36.7
269.0,41.1
271.0,29.1
273.0,24.1
275.0,24.1
277.0,24.1
279.0,24.8
281.0,33.0
283.0,37.2
285.0,37.1
287.0,37.1
289.0,39.8
291.0,33.9
293.0,23.9
295.0,23.9
297.0,23.9
299.0,23.9
301.0,24.7
303.0,30.6
305.0,30.4
307.0,31.1
309.0,36.3
311.0,36.1
313.0,27.8
315.0,35.8
317.0,36.8
319.0,36.8
321.0,36.8
323.0,36.8
325.0,43.4
327.0,48.7
329.0,37.3
331.0,33.0
333.0,33.2
335.0,39.6
337.0,46.4
339.0,46.5
341.0,46.5
343.0,41.5
345.0,30.8
347.0,30.8
349.0,34.7
351.0,36.4
353.0,41.1
355.0,44.6
357.0,50.9
359.0,55.9
361.0,59.3
363.0,66.3
365.0,70.1
367.0,70.0
369.0,69.9
371.0,69.7
373.0,69.7
375.0,69.7
377.0,70.3
379.0,75.1
381.0,38.4
383.0,48.6
385.0,57.7
387.0,57.6
389.0,57.6
391.0,57.6
393.0,57.6
395.0,57.6
397.0,57.6
399.0,65.8
401.0,71.1
403.0,77.3
405.0,53.6
407.0,36.4
409.0,36.4
411.0,38.8
413.0,44.6
415.0,49.2
417.0,49.2
419.0,49.1
421.0,40.1
423.0,42.7
425.0,42.7
427.0,42.7
429.0,42.7
431.0,42.7
433.0,42.7
435.0,49.7
437.0,56.1
439.0,61.5
441.0,69.6
443.0,73.5
445.0,83.1
447.0,89.5
449.0,89.3
451.0,89.3
453.0,92.8
455.0,105.8
457.0,112.1
459.0,116.7
461.0,75.4
463.0,63.7
465.0,63.7
467.0,67.2
469.0,72.2
471.0,76.3
473.0,76.2
475.0,76.2
477.0,60.7
479.0,62.9
481.0,62.8
483.0,62.8
485.0,62.8
487.0,62.8
489.0,64.4
491.0,77.3
493.0,88.5
495.0,95.7
497.0,95.4
499.0,101.2
501.0,101.9
