time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,2.0
21.0,5.3
23.0,5.3
25.0,5.3
27.0,5.3
29.0,5.5
31.0,5.5
33.0,11.0
35.0,12.7
37.0,17.8
39.0,17.6
41.0,17.6
43.0,19.5
45.0,23.4
47.0,23.3
49.0,26.3
51.0,30.2
53.0,30.2
55.0,30.2
57.0,30.2
59.0,30.2
61.0,35.5
63.0,36.5
65.0,36.5
67.0,36.5
69.0,36.5
71.0,46.1
73.0,49.0
75.0,21.8
77.0,21.8
79.0,26.0
81.0,34.8
83.0,41.1
85.0,40.9
87.0,46.7
89.0,48.4
91.0,54.5
93.0,55.3
95.0,56.6
97.0,78.5
99.0,81.5
101.0,81.6
103.0,89.8
105.0,100.6
107.0,110.0
109.0,122.3
111.0,134.7
113.0,145.5
115.0,148.7
117.0,152.7
119.0,159.4
121.0,166.9
123.0,168.3
125.0,171.8
127.0,177.2
129.0,180.2
131.0,180.2
133.0,180.2
135.0,180.2
137.0,180.2
139.0,182.4
141.0,189.9
143.0,202.8
145.0,200.6
147.0,199.7
149.0,155.5
151.0,126.7
153.0,135.6
155.0,144.1
157.0,153.1
159.0,166.9
161.0,177.5
163.0,187.2
165.0,191.3
167.0,196.8
169.0,196.7
171.0,196.7
173.0,196.7
175.0,196.7
177.0,196.7
179.0,196.7
181.0,196.6
183.0,168.6
185.0,109.1
187.0,115.5
189.0,125.6
191.0,132.2
193.0,139.3
195.0,153.2
197.0,165.0
199.0,165.9
201.0,174.2
203.0,183.9
205.0,190.2
207.0,189.7
209.0,191.9
211.0,199.5
213.0,185.3
215.0,165.9
217.0,168.9
219.0,182.4
221.0,191.4
223.0,198.3
225.0,190.9
227.0,196.8
229.0,151.4
231.0,56.4
233.0,62.9
235.0,70.6
237.0,76.4
239.0,83.9
241.0,89.9
243.0,98.4
245.0,113.6
247.0,124.7
249.0,130.3
251.0,147.8
253.0,148.9
255.0,151.8
257.0,156.7
259.0,163.7
261.0,169.0
263.0,173.6
265.0,173.5
267.0,173.5
269.0,173.4
271.0,178.0
273.0,188.4
275.0,194.5
277.0,203.3
279.0,202.3
281.0,111.6
283.0,102.3
285.0,61.9
287.0,69.6
289.0,75.4
291.0,83.3
293.0,89.4
295.0,91.0
297.0,110.3
299.0,128.3
301.0,140.3
303.0,146.8
305.0,146.7
307.0,146.7
309.0,153.2
311.0,163.3
313.0,172.1
315.0,176.4
317.0,178.3
319.0,178.3
321.0,168.9
323.0,117.1
325.0,124.4
327.0,127.7
329.0,135.8
331.0,136.4
333.0,136.4
335.0,142.5
337.0,143.0
339.0,143.0
341.0,147.6
343.0,149.3
345.0,149.3
347.0,148.5
349.0,63.0
351.0,61.1
353.0,61.1
355.0,63.6
357.0,69.6
359.0,77.3
361.0,86.2
363.0,86.0
365.0,90.2
367.0,95.0
369.0,108.9
371.0,122.1
373.0,133.3
375.0,139.5
377.0,146.5
379.0,150.6
381.0,150.6
383.0,150.6
385.0,150.6
387.0,150.6
389.0,158.7
391.0,163.0
393.0,168.3
395.0,169.2
397.0,174.6
399.0,179.4
401.0,177.6
403.0,127.1
405.0,126.7
407.0,134.8
409.0,141.7
411.0,145.7
413.0,150.8
415.0,150.7
417.0,150.7
419.0,155.6
421.0,157.3
423.0,167.5
425.0,170.3
427.0,170.3
429.0,170.2
431.0,173.5
433.0,175.1
435.0,162.6
437.0,104.1
439.0,108.2
441.0,114.7
443.0,114.5
445.0,116.2
447.0,119.8
449.0,125.9
451.0,139.0
453.0,151.1
455.0,167.2
457.0,173.4
459.0,174.0
461.0,180.4
463.0,180.6
465.0,188.0
467.0,192.3
469.0,197.4
471.0,198.2
473.0,146.2
475.0,146.6
477.0,154.9
479.0,160.8
481.0,173.0
483.0,180.3
485.0,188.2
487.0,196.3
489.0,196.6
491.0,196.6
493.0,196.6
495.0,196.6
497.0,196.6
499.0,196.6
501.0,195.2
