time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,44.70
3,0.00,0.00,0.00,0.00,0.00,53.00
5,0.00,0.00,0.00,0.00,0.00,59.67
7,0.00,0.00,0.00,0.00,0.00,61.50
9,0.00,0.00,0.00,0.00,0.00,63.02
11,0.00,0.00,0.00,0.00,0.00,62.54
13,0.00,0.00,0.00,0.00,0.00,62.37
15,0.00,0.00,0.00,0.45,0.00,57.23
17,0.00,0.00,0.00,0.06,0.00,46.55
19,0.00,0.00,0.00,0.00,0.00,38.15
21,0.00,0.00,0.37,0.00,0.00,50.70
23,0.00,0.00,0.00,0.00,0.00,47.70
25,0.00,0.00,0.00,1.03,0.00,56.45
27,0.00,0.00,0.00,0.00,0.00,64.20
29,0.00,0.00,0.00,0.00,0.00,64.00
31,0.00,0.00,0.00,0.00,0.00,62.00
33,0.00,0.00,0.00,0.00,0.00,47.30
35,0.00,0.00,0.00,0.00,0.00,28.80
37,0.00,0.00,0.00,0.98,0.00,11.40
39,3.22,0.00,0.00,2.98,0.00,1.90
41,9.53,0.00,1.14,4.98,0.00,0.00
43,11.31,0.00,3.14,6.98,0.00,14.97
45,11.31,0.00,5.14,8.98,0.00,17.60
47,11.31,0.00,7.14,10.98,0.00,28.77
49,11.31,0.00,9.14,12.98,0.00,30.55
51,11.31,0.00,11.14,14.98,0.00,30.12
53,11.31,0.00,13.14,16.98,0.00,31.76
55,11.31,0.00,15.14,18.98,0.00,31.80
57,11.31,0.00,17.14,20.98,0.00,25.90
59,14.68,0.00,19.14,22.98,0.00,26.91
61,18.78,0.00,21.14,24.98,0.00,24.40
63,24.88,0.00,23.14,26.98,0.00,23.86
65,24.74,0.00,25.14,28.98,0.00,22.47
67,27.26,0.00,27.14,30.98,0.00,24.09
69,34.00,0.00,29.14,32.98,0.00,20.80
71,36.96,0.00,31.14,34.98,0.00,18.50
73,42.17,0.00,33.14,36.98,0.00,13.85
75,43.15,0.00,35.14,38.98,0.00,10.62
77,49.05,0.00,37.14,40.98,0.00,11.54
79,49.77,0.00,39.14,42.98,0.00,11.15
81,50.47,0.00,41.14,44.98,0.77,14.48
83,56.09,0.00,43.14,46.98,2.77,14.82
85,55.93,2.22,45.14,17.78,4.77,15.02
87,55.93,11.12,29.32,19.78,6.77,15.26
89,62.52,11.53,27.85,21.78,8.77,14.49
91,62.97,11.53,23.90,23.78,10.77,16.54
93,31.25,11.53,15.54,25.78,12.77,17.26
95,0.00,11.53,17.54,23.24,14.77,22.56
97,0.00,11.53,19.54,15.97,16.77,24.97
99,0.00,11.53,0.00,17.97,18.77,25.20
101,0.00,11.53,0.00,9.94,20.77,16.95
103,0.00,13.65,0.00,0.00,22.77,15.25
105,0.00,18.12,0.00,0.00,24.77,18.67
107,0.00,18.02,0.00,0.00,26.77,26.30
109,0.00,4.32,0.00,0.00,28.19,18.20
111,0.00,0.00,0.00,0.00,13.23,3.50
113,3.27,0.00,1.58,0.00,0.00,29.10
115,4.29,0.00,3.58,0.00,0.00,33.10
117,4.29,0.00,5.58,0.00,0.00,32.70
119,4.29,0.00,7.58,0.00,0.00,32.70
121,4.29,0.00,9.58,0.00,0.00,35.67
123,4.29,0.00,11.58,0.00,0.00,29.80
125,4.29,0.00,13.58,0.00,0.00,23.43
127,5.64,0.00,15.58,1.35,0.00,29.40
129,10.46,0.00,17.58,3.35,0.00,27.35
131,10.35,0.00,19.58,5.35,0.00,22.77
133,10.35,0.00,21.58,7.35,0.00,25.86
135,10.73,0.00,23.58,9.35,0.00,22.06
137,17.15,0.00,25.58,11.35,0.00,28.24
139,16.88,0.00,27.58,13.35,0.00,26.72
141,17.12,0.00,5.29,15.35,0.00,31.32
143,21.08,0.00,7.29,17.35,0.00,31.20
145,18.37,0.00,9.29,19.35,0.00,26.53
147,18.01,0.00,11.29,21.35,0.00,25.66
149,25.28,0.00,13.29,23.35,0.00,20.66
151,28.17,0.00,15.29,25.35,0.00,25.66
153,31.56,0.00,17.29,27.35,0.00,28.52
155,37.01,0.00,19.29,6.20,0.00,30.86
157,42.19,0.00,15.70,8.20,0.00,31.19
159,34.50,0.00,11.67,10.20,0.00,31.61
161,0.00,0.00,6.42,12.20,0.00,31.41
163,0.00,0.00,8.42,7.70,0.00,33.53
165,0.00,0.00,3.77,9.70,0.00,37.03
167,0.00,0.00,5.77,2.12,0.00,36.06
169,0.00,0.00,4.04,4.12,0.00,40.10
171,0.00,0.00,0.00,6.12,0.00,46.30
173,0.00,0.00,0.00,7.35,0.00,50.88
175,0.00,0.00,0.00,7.85,0.00,50.02
177,0.00,0.00,1.14,0.00,0.00,47.90
179,0.29,0.00,3.14,1.34,0.00,38.90
181,8.39,0.00,5.14,3.34,0.00,30.69
183,13.52,0.00,7.14,5.34,0.00,24.01
185,19.75,0.00,9.14,7.34,0.00,20.47
187,32.12,0.00,11.14,9.34,0.00,18.77
189,42.20,0.00,13.14,11.34,0.78,18.35
191,42.24,0.00,15.14,13.34,2.78,20.44
193,42.24,1.64,17.14,15.34,4.78,16.80
195,47.73,5.00,19.14,17.34,6.78,11.86
197,55.80,4.94,21.14,19.34,8.78,6.44
199,61.15,4.94,23.14,21.34,10.78,5.45
201,67.55,4.94,25.14,23.34,12.78,4.22
203,78.65,4.94,27.14,25.34,14.78,3.25
205,80.14,4.94,29.14,27.34,16.78,2.31
207,80.13,4.94,22.57,29.34,18.78,1.70
209,81.19,4.94,24.57,31.34,20.78,0.91
211,86.54,4.94,26.57,33.34,22.78,3.51
213,86.38,4.94,28.57,35.34,24.78,4.94
215,86.38,4.94,30.57,37.34,26.78,6.84
217,86.38,4.94,32.57,35.80,28.78,8.22
219,86.38,4.94,34.57,35.49,30.78,6.99
221,86.09,4.94,32.41,37.49,32.78,7.38
223,90.90,4.94,34.41,37.26,34.78,10.94
225,91.02,4.94,36.41,30.04,36.78,15.00
227,89.76,4.94,31.99,32.04,38.78,19.36
229,87.95,4.94,29.67,34.04,40.78,23.06
231,4.33,4.94,31.67,27.18,42.78,26.26
233,0.00,4.94,30.55,29.18,44.78,26.40
235,0.00,4.94,31.26,31.18,46.78,28.94
237,0.00,4.17,24.42,33.18,48.78,35.17
239,0.00,0.00,26.42,0.00,50.78,27.48
241,9.12,0.00,28.42,0.00,1.58,25.23
243,10.87,0.00,30.42,0.00,3.58,19.97
245,10.87,0.00,32.42,0.00,5.58,25.07
247,10.87,0.00,34.42,0.00,0.00,20.70
249,10.87,0.00,36.42,0.00,0.00,16.30
251,13.64,0.00,38.42,0.93,0.00,22.40
253,17.34,0.00,40.42,2.93,0.00,21.56
255,17.30,0.00,42.42,4.93,0.00,23.62
257,17.30,0.00,44.42,6.93,0.00,26.30
259,20.21,0.00,46.42,8.93,0.00,27.14
261,24.10,0.00,48.42,10.93,0.00,31.71
263,24.06,0.00,50.42,12.93,0.00,28.86
265,25.73,0.00,52.42,14.93,0.00,27.64
267,30.15,0.00,42.03,16.93,0.00,30.63
269,33.86,0.00,44.03,18.93,0.00,28.80
271,33.83,0.00,0.00,20.93,0.00,21.44
273,31.81,2.15,0.06,22.93,1.58,21.11
275,42.28,4.87,2.06,24.93,3.58,18.58
277,41.27,4.82,4.06,19.42,5.58,16.50
279,38.37,9.79,6.06,15.28,7.58,15.71
281,0.00,14.51,8.06,13.47,9.58,10.82
283,0.00,17.43,10.06,9.59,11.58,12.02
285,0.00,23.81,0.00,11.59,13.58,10.22
287,0.00,23.88,0.00,0.00,15.58,18.87
289,0.00,23.88,0.00,0.00,17.58,24.96
291,0.00,23.88,0.00,0.00,19.58,25.70
293,0.00,23.88,0.00,0.00,21.58,26.30
295,0.00,23.88,0.00,0.00,23.58,30.88
297,0.00,23.88,0.00,0.67,25.58,30.57
299,0.00,22.40,0.00,0.00,24.52,37.72
301,0.00,0.00,0.00,0.00,21.27,39.06
303,2.85,0.00,0.26,1.71,19.57,40.48
305,10.87,0.00,2.26,3.71,0.00,38.00
307,10.88,0.00,4.26,5.71,0.00,33.93
309,10.88,0.00,6.26,7.71,0.00,26.63
311,12.17,0.00,8.26,9.71,0.00,20.96
313,16.75,0.00,10.26,11.71,0.00,23.89
315,16.64,5.18,12.26,13.71,1.71,23.96
317,17.70,11.63,14.26,15.71,3.71,22.97
319,23.08,11.45,16.26,17.71,5.71,26.22
321,22.93,11.45,18.26,19.71,7.71,23.13
323,22.93,11.45,20.26,21.71,9.71,17.06
325,22.93,11.45,22.26,23.71,11.71,8.89
327,22.93,20.60,24.26,25.71,13.71,3.45
329,29.50,24.19,26.26,27.71,15.71,1.41
331,37.14,24.16,28.26,29.71,17.71,6.32
333,42.16,24.16,30.26,23.05,19.71,13.14
335,42.06,24.16,17.58,25.05,21.71,21.57
337,20.75,24.16,19.58,8.91,23.71,22.84
339,0.00,24.16,11.58,10.91,25.71,25.33
341,0.00,24.16,0.00,12.91,27.71,26.57
343,0.00,24.16,0.00,11.69,29.71,33.03
345,0.00,24.16,0.00,1.29,31.71,32.76
347,0.00,24.16,0.00,3.29,33.71,32.01
349,0.00,24.16,0.00,3.32,35.71,35.59
351,0.00,27.26,0.00,1.09,36.35,37.42
353,0.54,15.60,0.00,3.09,27.44,33.26
355,5.85,0.00,1.99,5.09,29.26,23.09
357,12.72,1.48,3.99,7.09,8.94,14.54
359,20.22,4.45,5.99,9.09,10.94,7.41
361,24.12,4.40,7.99,11.09,12.94,8.01
363,28.66,4.40,9.99,13.09,14.94,12.71
365,37.09,4.40,11.99,15.09,16.94,17.22
367,37.21,4.40,13.99,17.09,18.94,20.15
369,37.21,4.40,15.99,19.09,20.94,17.46
371,37.21,4.40,17.99,21.09,22.94,12.74
373,37.21,4.40,19.99,23.09,24.94,8.65
375,43.66,4.40,21.99,25.09,26.94,4.73
377,50.91,4.40,23.99,27.09,28.94,1.72
379,50.79,4.40,25.99,29.09,30.94,0.72
381,68.24,4.40,27.99,31.09,32.94,0.42
383,70.09,4.40,29.99,33.09,34.94,2.75
385,70.02,4.40,31.99,30.28,36.94,7.65
387,70.02,4.40,24.80,32.28,38.94,14.78
389,70.02,4.40,26.80,32.16,40.94,17.38
391,70.02,4.40,28.80,10.72,42.94,22.21
393,66.17,4.40,29.47,12.72,44.94,24.86
395,0.00,4.40,18.74,14.72,46.94,28.04
397,0.00,3.92,20.74,16.72,48.94,32.05
399,4.12,0.00,21.63,18.72,50.94,33.84
401,18.33,0.00,23.63,20.72,0.00,29.91
403,24.18,0.00,25.63,22.72,0.00,21.63
405,33.71,0.00,27.63,24.72,0.00,16.65
407,40.69,0.00,29.63,26.72,0.00,10.93
409,47.49,0.00,31.63,28.72,0.00,7.37
411,57.30,0.00,33.63,30.72,0.00,4.53
413,63.51,0.00,35.63,32.72,0.00,2.37
415,63.42,0.00,37.63,34.72,0.00,0.67
417,66.18,0.00,39.63,36.72,0.00,0.03
419,69.80,0.00,41.63,38.72,0.00,2.82
421,69.75,0.00,43.63,40.72,1.07,7.80
423,69.75,0.00,45.63,42.72,3.07,11.95
425,69.75,0.00,44.80,44.72,5.07,19.01
427,69.75,0.00,25.83,46.72,7.07,19.40
429,69.75,0.00,27.83,48.72,9.07,19.84
431,69.75,0.00,29.83,50.72,11.07,21.06
433,77.69,0.00,31.83,35.45,13.07,24.41
435,85.97,0.00,33.83,30.83,15.07,25.59
437,92.38,0.00,28.21,32.83,17.07,23.56
439,100.38,0.00,30.21,28.98,19.07,23.29
441,70.25,0.00,26.16,30.98,21.07,21.83
443,0.00,0.00,28.16,7.66,23.07,22.86
445,0.00,0.00,11.69,9.66,25.07,21.79
447,4.96,0.00,13.69,11.66,,20.88
449,15.92,0.00,15.69,13.66,,21.25
451,27.61,0.00,17.69,15.66,,20.68
453,32.34,0.00,19.69,17.66,,17.53
455,39.16,0.00,21.69,19.66,,11.88
457,44.22,0.00,23.69,21.66,,9.75
459,56.04,0.00,25.69,23.66,,9.76
461,66.20,0.00,27.69,25.66,,8.40
463,76.46,0.00,29.69,27.66,,9.81
465,76.87,0.00,31.69,29.66,,7.96
467,76.87,0.00,28.95,31.66,,4.70
469,83.08,0.00,30.95,33.66,,2.34
471,89.38,0.00,32.95,35.66,,1.44
473,92.30,0.00,34.95,37.66,,1.24
475,94.92,0.00,36.95,39.66,,4.22
477,94.90,0.00,38.95,32.84,,7.14
479,94.90,0.00,38.45,34.84,,13.29
481,94.89,0.00,38.58,36.84,,22.72
483,94.57,0.00,36.68,38.84,,24.91
485,93.73,0.00,38.68,,,21.86
487,91.60,0.00,,,,15.52
489,87.22,0.00,,,,12.97
491,82.79,0.00,,,,10.62
493,46.82,0.00,,,,9.69
495,30.38,0.00,,,,10.51
497,36.66,0.00,,,,9.56
499,45.61,0.00,,,,10.65
501,55.36,0.00,,,,10.15
