time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,44.74,0.00,1
3,0.00,0.00,0.00,0.00,53.03,0.00,1
5,0.00,0.00,0.00,0.00,54.08,0.00,1
7,0.00,0.00,0.00,0.00,58.49,0.00,1
9,0.00,0.00,0.00,0.00,58.98,0.00,1
11,0.00,0.00,0.00,0.00,60.03,0.00,1
13,0.00,0.00,0.00,0.00,58.78,0.00,1
15,0.00,0.00,0.04,0.45,52.54,2.00,1
17,0.00,0.00,0.08,0.84,39.65,1.00,1
19,0.00,0.00,0.28,2.84,27.69,0.00,1
21,1.55,3.10,0.71,4.84,19.29,1.00,1
23,2.95,7.04,1.28,6.84,14.89,0.00,3
25,6.04,19.43,2.03,8.84,28.65,1.00,3
27,6.84,22.63,2.61,10.84,35.03,1.00,3
29,6.84,22.59,2.73,10.50,38.21,0.00,3
31,6.62,21.74,3.40,12.50,37.93,1.00,3
33,5.45,17.07,4.05,14.50,35.80,0.00,3
35,4.23,12.19,4.88,16.50,34.19,0.00,3
37,3.89,10.81,5.80,18.50,27.39,0.00,2
39,4.69,10.78,6.85,20.50,21.60,0.00,2
41,8.42,13.20,8.27,22.50,22.18,0.00,2
43,12.29,17.14,9.77,24.50,23.15,3.00,2
45,9.57,11.83,7.79,24.82,25.36,2.00,2
47,9.54,11.73,6.88,26.82,29.66,2.00,2
49,9.54,11.73,6.80,28.82,30.65,1.00,2
51,9.54,11.73,7.85,30.82,30.73,2.00,2
53,9.54,11.73,8.39,32.82,31.88,1.00,4
55,10.47,15.45,8.95,34.82,29.49,0.00,4
57,11.97,17.53,9.79,36.82,29.50,0.00,4
59,13.80,22.81,10.67,38.82,27.67,2.00,4
61,11.36,20.79,7.65,24.98,23.05,1.00,1
63,13.40,24.88,7.41,26.98,19.40,1.00,1
65,15.50,24.74,7.64,28.98,21.05,0.00,1
67,17.47,28.27,8.64,30.98,23.24,2.00,1
69,16.23,34.01,6.06,29.14,24.11,2.00,1
71,16.94,36.86,4.00,13.32,26.84,1.00,1
73,11.33,30.89,4.71,14.54,25.90,1.00,1
75,9.09,30.89,5.21,16.54,25.29,1.00,1
77,9.09,30.89,5.54,18.54,25.72,2.00,1
79,9.39,30.89,5.96,20.54,24.79,1.00,1
81,10.95,30.89,6.36,22.54,24.35,1.00,1
83,14.53,35.29,7.08,24.54,25.40,1.00,3
85,17.20,44.41,7.63,26.54,22.84,0.00,3
87,17.30,44.83,8.46,28.54,19.58,1.00,3
89,16.85,46.77,7.25,30.54,13.99,1.00,3
91,16.35,51.15,8.20,32.54,10.83,1.00,2
93,19.20,57.47,8.28,34.54,9.80,2.00,2
95,20.42,63.35,8.51,36.54,16.12,1.00,2
97,22.01,63.73,9.09,38.54,16.84,1.00,2
99,22.11,63.73,9.41,37.17,15.76,1.00,2
101,22.11,63.73,10.11,37.56,13.58,1.00,2
103,22.30,64.50,9.39,38.78,11.95,1.00,4
105,25.15,75.90,10.21,40.59,8.02,1.00,4
107,28.06,87.54,9.55,37.19,5.28,0.00,4
109,27.83,89.48,10.38,39.19,8.82,1.00,4
111,26.19,89.47,10.59,32.83,8.48,1.00,1
113,26.78,88.99,8.69,30.95,12.63,0.00,1
115,26.05,86.09,9.52,32.95,15.70,0.00,1
117,16.95,49.72,10.35,34.95,18.49,1.00,1
119,11.99,41.10,10.75,36.95,20.56,1.00,1
121,13.63,49.34,9.34,38.95,22.70,1.00,1
123,15.22,55.70,9.09,40.95,21.19,0.00,1
125,16.24,59.81,9.78,42.95,20.24,0.00,1
127,19.22,71.73,10.62,44.95,18.51,1.00,3
129,20.31,76.07,11.21,46.95,16.46,0.00,3
131,22.26,82.17,12.09,48.95,18.74,2.00,3
133,20.64,82.58,12.42,50.95,19.34,1.00,3
135,20.64,82.58,10.02,52.95,17.44,0.00,2
137,22.04,82.58,10.85,54.95,14.70,0.00,2
139,23.60,84.65,11.77,56.95,11.87,0.00,2
141,25.93,94.37,12.77,58.95,15.36,2.00,2
143,27.85,95.78,12.49,60.95,17.20,1.00,2
145,32.73,114.18,12.39,55.45,16.84,1.00,2
147,34.48,121.16,12.81,53.73,19.18,1.00,2
149,36.01,121.06,12.50,54.50,19.37,1.00,2
151,38.51,126.81,12.69,46.47,19.77,2.00,2
153,39.45,127.53,13.41,46.25,19.04,1.00,4
155,41.74,132.45,14.27,48.25,19.74,1.00,4
157,46.09,139.62,12.45,48.28,20.86,1.00,4
159,46.98,139.45,12.86,50.28,20.25,2.00,4
161,48.26,139.45,10.02,32.53,23.86,1.00,1
163,49.55,139.45,10.52,34.53,23.17,1.00,1
165,52.43,139.36,10.82,36.53,23.11,0.00,1
167,49.83,116.68,11.82,38.53,24.10,2.00,1
169,25.90,67.52,10.97,40.53,25.87,2.00,1
171,19.96,51.12,11.10,42.53,27.68,3.00,1
173,12.47,49.43,10.61,44.53,27.21,2.00,1
175,13.36,53.43,10.66,46.53,26.12,2.00,1
177,15.68,60.37,12.14,48.53,22.24,2.00,3
179,19.31,67.62,13.05,50.53,18.47,1.00,3
181,22.24,73.59,13.67,52.53,16.11,1.00,3
183,26.56,84.23,13.98,54.53,15.22,0.00,3
185,30.96,91.91,15.31,56.53,17.83,1.00,2
187,33.90,91.70,16.26,53.83,15.44,1.00,2
189,37.70,93.88,15.89,48.39,17.35,0.00,2
191,40.21,97.45,17.39,50.39,19.54,2.00,2
193,39.07,97.40,18.26,50.51,20.73,2.00,2
195,40.13,97.40,18.66,50.90,18.90,2.00,2
197,42.61,97.40,19.66,50.31,19.68,1.00,2
199,37.85,67.86,19.97,51.56,20.10,1.00,2
201,23.99,68.19,20.02,53.56,19.16,2.00,2
203,27.85,78.31,20.26,55.56,19.29,0.00,2
205,28.39,80.14,21.88,57.56,17.70,3.00,2
207,28.39,80.13,20.90,59.56,14.75,1.00,4
209,30.13,81.53,22.00,61.56,13.11,2.00,4
211,31.85,86.51,21.42,63.56,14.33,1.00,4
213,31.50,86.38,22.32,65.56,13.36,2.00,4
215,34.41,86.38,19.47,53.23,12.17,1.00,1
217,38.80,86.38,16.36,42.11,9.83,0.00,1
219,41.30,86.38,17.70,44.11,9.79,0.00,1
221,42.23,86.38,19.17,46.11,8.70,2.00,1
223,45.15,92.12,20.03,43.83,9.05,2.00,1
225,46.12,92.83,19.94,41.38,10.32,2.00,1
227,42.15,92.81,20.39,43.38,11.96,2.00,1
229,42.51,92.46,21.55,43.23,13.89,2.00,3
231,43.14,91.20,21.96,42.49,14.28,2.00,3
233,43.32,89.27,21.84,44.49,14.69,1.00,3
235,41.73,86.20,23.24,46.49,14.63,2.00,3
237,23.04,55.88,18.50,44.01,14.91,2.00,2
239,21.62,55.88,17.05,46.01,14.53,0.00,2
241,29.20,66.60,18.54,48.01,15.80,0.00,2
243,33.90,70.36,20.04,50.01,15.65,2.00,2
245,33.27,73.52,19.38,50.46,16.64,2.00,2
247,34.70,80.86,19.76,52.46,16.69,2.00,2
249,35.39,83.64,17.87,54.46,15.00,2.00,2
251,37.02,84.76,18.62,56.46,15.01,1.00,2
253,40.58,90.60,19.66,58.46,16.72,1.00,2
255,44.27,90.45,20.59,60.46,17.73,1.00,4
257,46.22,90.20,21.79,62.46,16.48,0.00,4
259,28.42,62.04,23.29,64.46,15.05,2.00,4
261,28.18,62.02,22.76,64.89,18.54,1.00,4
263,33.18,64.33,20.62,66.89,19.48,1.00,1
265,36.52,68.08,21.79,68.89,19.88,1.00,1
267,39.64,72.85,22.37,70.89,19.81,0.00,1
269,39.85,79.03,23.71,72.89,19.23,2.00,1
271,33.62,89.36,24.32,70.82,17.61,2.00,1
273,37.26,98.77,23.88,70.28,15.29,2.00,1
275,41.06,99.12,24.89,71.56,13.02,2.00,1
277,43.86,104.72,25.59,73.56,12.12,2.00,1
279,48.65,107.79,22.81,66.32,13.12,2.00,1
281,51.51,111.60,23.40,56.75,13.43,2.00,3
283,52.62,111.30,20.67,58.22,11.76,2.00,3
285,52.31,110.23,21.14,60.22,13.48,2.00,3
287,34.57,78.94,22.05,58.78,14.87,2.00,3
289,33.20,92.05,19.75,60.78,19.43,2.00,2
291,35.48,95.94,19.70,51.20,19.48,0.00,2
293,36.07,95.91,21.20,53.20,20.06,0.00,2
295,37.44,98.65,22.70,55.20,18.01,2.00,2
297,40.31,106.64,22.13,56.43,16.00,2.00,2
299,36.90,114.12,22.44,52.31,17.65,2.00,2
301,40.49,117.07,21.63,51.22,20.11,2.00,2
303,46.18,122.09,18.76,48.10,20.28,1.00,2
305,47.01,121.98,19.98,50.10,18.80,3.00,4
307,48.11,123.15,20.31,52.10,14.52,1.00,4
309,51.51,129.16,21.75,54.10,14.09,1.00,4
311,56.82,135.74,21.89,56.10,13.38,3.00,4
313,58.72,135.58,22.02,54.53,12.05,1.00,1
315,61.71,134.21,22.70,56.53,11.87,1.00,1
317,47.30,73.87,21.93,58.53,10.91,0.00,1
319,40.52,73.87,23.60,60.53,10.80,2.00,1
321,40.91,73.87,22.91,56.81,9.34,2.00,1
323,38.97,79.09,23.56,55.08,10.04,2.00,1
325,43.40,92.59,24.33,51.82,11.20,2.00,1
327,46.60,98.80,22.20,53.65,13.89,1.00,3
329,49.84,105.99,21.56,52.77,13.89,1.00,3
331,52.21,105.71,22.54,54.77,12.74,1.00,3
333,53.66,105.71,23.11,56.77,13.30,1.00,3
335,55.07,105.67,24.29,55.25,15.41,2.00,2
337,44.24,90.46,24.83,56.11,16.12,2.00,2
339,38.05,105.03,23.43,58.11,18.34,0.00,2
341,34.90,111.23,24.93,60.11,16.32,2.00,2
343,35.38,111.11,24.62,53.96,16.64,2.00,2
345,40.97,127.51,23.84,53.69,15.33,3.00,2
