time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.56
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.43
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.10
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.06
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.97
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.15
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.97
17,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.20,0.36,0.60,3.76
19,1.47,0.00,0.73,1.47,2.60,0.00,0.00,0.87,1.56,2.60,60.00
21,0.00,0.00,0.00,0.00,4.60,0.00,0.00,1.53,2.76,4.60,60.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.50
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.99
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.67
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.88
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.39
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.62
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.11
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.82
39,0.00,0.00,0.00,0.00,0.77,0.00,0.65,0.47,0.59,0.77,8.04
41,0.00,1.86,0.93,1.86,0.00,0.00,2.65,0.88,0.53,2.65,0.50
43,0.00,5.64,2.82,5.64,0.00,0.00,4.65,1.55,0.93,4.65,22.48
45,0.00,5.57,2.78,5.57,0.00,0.00,6.65,2.22,1.33,6.65,27.67
47,0.00,5.57,2.78,5.57,0.00,0.00,8.65,2.88,1.73,8.65,32.09
49,0.00,5.57,2.78,5.57,0.00,0.00,10.65,3.55,2.13,10.65,40.96
51,0.00,5.57,2.78,5.57,0.00,0.00,12.65,4.22,2.53,12.65,42.66
53,0.00,5.57,2.78,5.57,0.00,0.00,14.65,4.88,2.93,14.65,42.61
55,0.00,5.57,2.78,5.57,0.00,0.00,16.65,5.55,3.33,16.65,39.68
57,0.00,5.57,2.78,5.57,0.00,0.51,18.65,6.39,3.83,18.65,38.88
59,0.00,5.57,2.78,5.57,0.00,0.00,20.65,6.88,4.13,20.65,34.38
61,0.00,5.57,2.78,5.57,0.00,0.00,22.65,7.55,4.53,22.65,29.24
63,0.00,5.57,2.78,5.57,0.34,0.00,24.65,8.33,5.14,24.65,26.88
65,0.00,5.57,2.78,5.57,0.00,0.00,26.65,8.88,5.33,26.65,21.25
67,0.00,5.47,2.74,5.47,0.00,0.00,28.65,9.55,5.73,28.65,24.77
69,0.00,0.24,0.12,0.24,0.13,0.00,30.65,10.26,6.21,30.65,8.08
71,1.16,0.00,0.58,1.16,2.13,0.00,0.00,0.71,1.28,2.13,26.82
73,0.86,0.00,0.43,0.86,4.13,0.00,0.00,1.38,2.48,4.13,31.15
75,0.00,0.00,0.00,0.00,6.13,0.00,0.00,2.04,3.68,6.13,31.89
77,0.00,0.00,0.00,0.00,8.13,0.00,0.00,2.71,4.88,8.13,30.83
79,0.00,0.00,0.00,0.00,10.13,0.00,0.00,3.38,6.08,10.13,31.00
81,0.00,0.00,0.00,0.00,12.13,0.00,0.00,4.04,7.28,12.13,21.36
83,0.00,0.00,0.00,0.00,14.13,0.00,0.00,4.71,8.48,14.13,22.27
85,0.00,0.00,0.00,0.00,16.13,0.00,0.00,5.38,9.68,16.13,20.14
87,0.00,2.51,1.25,2.51,18.13,0.00,0.94,6.36,11.07,18.13,20.97
89,0.00,4.58,2.29,4.58,20.13,0.00,2.94,7.69,12.67,20.13,20.62
91,0.00,4.56,2.28,4.56,22.13,0.00,4.94,9.02,14.27,22.13,20.62
93,0.00,4.56,2.28,4.56,24.13,0.00,6.94,10.36,15.87,24.13,26.77
95,0.00,4.56,2.28,4.56,26.13,0.00,8.94,11.69,17.47,26.13,28.62
97,0.00,4.56,2.28,4.56,28.13,0.00,10.94,13.02,19.07,28.13,31.19
99,0.00,6.39,3.19,6.39,30.13,0.00,12.94,14.36,20.67,30.13,31.07
101,0.00,11.32,5.66,11.32,32.13,0.00,14.94,15.69,22.27,32.13,28.94
103,0.00,11.23,5.61,11.23,34.13,0.00,16.94,17.02,23.87,34.13,24.98
105,0.00,11.23,5.61,11.23,36.13,0.00,18.94,18.36,25.47,36.13,21.96
107,0.00,11.23,5.61,11.23,0.00,0.00,20.94,6.98,4.19,20.94,20.84
109,0.00,11.23,5.61,11.23,1.55,0.00,22.94,8.16,5.52,22.94,16.23
111,0.00,17.23,8.62,17.23,0.00,0.00,24.94,8.31,4.99,24.94,13.13
113,0.00,22.47,11.23,22.47,0.00,0.00,26.94,8.98,5.39,26.94,21.04
115,0.00,23.89,11.94,23.89,0.00,0.00,28.94,9.65,5.79,28.94,25.30
117,0.00,23.88,11.94,23.88,0.00,0.00,30.94,10.31,6.19,30.94,28.50
119,0.00,23.88,11.94,23.88,0.00,0.00,32.94,10.98,6.59,32.94,26.64
121,0.00,23.88,11.94,23.88,0.51,0.00,34.94,11.82,7.29,34.94,24.72
123,0.00,23.88,11.94,23.88,0.00,0.00,36.94,12.31,7.39,36.94,27.29
125,0.00,23.88,11.94,23.88,0.00,0.58,38.94,13.17,7.90,38.94,21.36
127,0.00,23.88,11.94,23.88,0.00,0.00,40.94,13.65,8.19,40.94,18.03
129,0.00,23.88,11.94,23.88,0.00,0.36,42.94,14.43,8.66,42.94,17.02
