time,phase
1.0,7.0
3.0,7.0
5.0,7.0
7.0,7.0
9.0,7.0
11.0,6.0
13.0,6.0
15.0,6.0
17.0,6.0
19.0,6.0
21.0,5.0
23.0,5.0
25.0,5.0
27.0,5.0
29.0,4.0
31.0,4.0
33.0,4.0
35.0,4.0
37.0,1.0
39.0,1.0
41.0,1.0
43.0,1.0
45.0,1.0
47.0,1.0
49.0,3.0
51.0,3.0
53.0,3.0
55.0,3.0
57.0,3.0
59.0,3.0
61.0,6.0
63.0,6.0
65.0,6.0
67.0,6.0
69.0,6.0
71.0,6.0
73.0,6.0
75.0,6.0
77.0,6.0
79.0,6.0
81.0,8.0
83.0,8.0
85.0,8.0
87.0,8.0
89.0,8.0
91.0,3.0
93.0,3.0
95.0,3.0
97.0,3.0
99.0,3.0
101.0,3.0
103.0,3.0
105.0,6.0
107.0,6.0
109.0,6.0
111.0,6.0
113.0,6.0
115.0,6.0
117.0,5.0
119.0,5.0
121.0,5.0
123.0,5.0
125.0,5.0
127.0,5.0
129.0,7.0
131.0,7.0
133.0,7.0
135.0,7.0
137.0,8.0
139.0,8.0
141.0,8.0
143.0,8.0
145.0,8.0
147.0,8.0
149.0,8.0
151.0,8.0
153.0,6.0
155.0,6.0
157.0,6.0
159.0,6.0
161.0,3.0
163.0,3.0
165.0,3.0
167.0,3.0
169.0,3.0
171.0,3.0
173.0,3.0
175.0,3.0
177.0,3.0
179.0,3.0
181.0,2.0
183.0,2.0
185.0,2.0
187.0,2.0
189.0,2.0
191.0,4.0
193.0,4.0
195.0,4.0
197.0,4.0
199.0,4.0
201.0,4.0
203.0,4.0
205.0,5.0
207.0,5.0
209.0,5.0
211.0,5.0
213.0,5.0
215.0,5.0
217.0,5.0
219.0,5.0
221.0,7.0
223.0,7.0
225.0,7.0
227.0,7.0
229.0,7.0
231.0,7.0
233.0,4.0
235.0,4.0
237.0,4.0
239.0,4.0
241.0,4.0
243.0,4.0
245.0,4.0
247.0,4.0
249.0,2.0
251.0,2.0
253.0,2.0
255.0,2.0
257.0,3.0
259.0,3.0
261.0,3.0
263.0,3.0
265.0,3.0
267.0,3.0
269.0,1.0
271.0,1.0
273.0,1.0
275.0,1.0
277.0,6.0
279.0,6.0
281.0,6.0
283.0,6.0
285.0,6.0
287.0,6.0
289.0,6.0
291.0,6.0
293.0,6.0
295.0,6.0
297.0,5.0
299.0,5.0
301.0,5.0
303.0,5.0
305.0,5.0
307.0,5.0
309.0,5.0
311.0,5.0
313.0,4.0
315.0,4.0
317.0,4.0
319.0,4.0
321.0,2.0
323.0,2.0
325.0,2.0
327.0,2.0
329.0,2.0
331.0,2.0
333.0,3.0
335.0,3.0
337.0,3.0
339.0,3.0
341.0,3.0
343.0,3.0
345.0,5.0
347.0,5.0
349.0,5.0
351.0,5.0
353.0,4.0
355.0,4.0
357.0,4.0
359.0,4.0
361.0,4.0
363.0,4.0
365.0,4.0
367.0,4.0
369.0,1.0
371.0,1.0
373.0,1.0
375.0,1.0
377.0,1.0
379.0,1.0
381.0,3.0
383.0,3.0
385.0,3.0
387.0,3.0
389.0,3.0
391.0,3.0
393.0,3.0
395.0,3.0
397.0,4.0
399.0,4.0
401.0,4.0
403.0,4.0
405.0,4.0
407.0,2.0
409.0,2.0
411.0,2.0
413.0,2.0
415.0,3.0
417.0,3.0
419.0,3.0
421.0,3.0
423.0,3.0
425.0,3.0
427.0,3.0
429.0,3.0
431.0,3.0
433.0,3.0
435.0,3.0
437.0,2.0
439.0,2.0
441.0,2.0
443.0,2.0
445.0,6.0
447.0,6.0
449.0,6.0
451.0,6.0
453.0,5.0
455.0,5.0
457.0,5.0
459.0,5.0
461.0,5.0
463.0,5.0
465.0,4.0
467.0,4.0
469.0,4.0
471.0,4.0
473.0,4.0
475.0,4.0
477.0,4.0
479.0,3.0
481.0,3.0
483.0,3.0
485.0,3.0
487.0,3.0
489.0,3.0
491.0,3.0
493.0,3.0
495.0,3.0
497.0,4.0
499.0,4.0
