time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,6.3
23.0,7.5
25.0,7.7
27.0,7.7
29.0,7.7
31.0,14.7
33.0,14.7
35.0,13.0
37.0,15.6
39.0,15.6
41.0,13.9
43.0,13.9
45.0,26.4
47.0,13.9
49.0,13.9
51.0,13.9
53.0,13.9
55.0,13.9
57.0,13.9
59.0,13.9
61.0,36.7
63.0,36.7
65.0,36.7
67.0,36.7
69.0,36.7
71.0,36.7
73.0,36.7
75.0,36.7
77.0,40.9
79.0,41.0
81.0,40.9
83.0,40.9
85.0,40.9
87.0,19.7
89.0,17.9
91.0,17.2
93.0,15.6
95.0,15.6
97.0,15.6
99.0,15.6
101.0,15.6
103.0,38.3
105.0,40.4
107.0,25.3
109.0,25.3
111.0,25.3
113.0,21.4
115.0,20.7
117.0,19.9
119.0,15.6
121.0,15.6
123.0,15.6
125.0,15.6
127.0,19.3
129.0,48.6
131.0,51.1
133.0,35.2
135.0,35.2
137.0,35.2
139.0,35.2
141.0,65.7
143.0,65.7
145.0,52.8
147.0,52.8
149.0,52.8
151.0,52.8
153.0,52.8
155.0,52.8
157.0,52.8
159.0,52.8
161.0,52.8
163.0,52.8
165.0,52.8
167.0,52.8
169.0,52.8
171.0,52.8
173.0,52.8
175.0,35.2
177.0,35.2
179.0,35.2
181.0,35.2
183.0,35.2
185.0,35.2
187.0,35.2
189.0,54.0
191.0,54.0
193.0,54.0
195.0,35.2
197.0,35.2
199.0,35.2
201.0,35.2
203.0,35.2
205.0,27.3
207.0,25.9
209.0,25.9
211.0,27.3
213.0,27.1
215.0,27.1
217.0,27.1
219.0,23.5
221.0,24.2
223.0,23.5
225.0,23.5
227.0,22.4
229.0,22.4
231.0,22.4
233.0,26.7
235.0,24.8
237.0,24.8
239.0,24.8
241.0,24.8
243.0,24.8
245.0,24.8
247.0,24.8
249.0,179.3
251.0,172.8
253.0,77.9
255.0,36.4
257.0,36.4
259.0,36.4
261.0,36.4
263.0,36.5
265.0,36.5
267.0,36.4
269.0,36.4
271.0,36.4
273.0,36.4
275.0,36.4
277.0,36.4
279.0,36.4
281.0,36.4
283.0,36.4
285.0,36.4
287.0,39.5
289.0,89.2
291.0,63.1
293.0,39.5
295.0,39.5
297.0,39.5
299.0,39.5
301.0,39.5
303.0,39.5
305.0,39.5
307.0,39.5
309.0,36.4
311.0,36.4
313.0,36.4
315.0,36.4
317.0,36.4
319.0,39.5
321.0,39.5
323.0,36.4
325.0,36.4
327.0,36.4
329.0,55.1
331.0,36.4
333.0,36.4
335.0,36.4
337.0,36.4
339.0,36.4
341.0,36.4
343.0,36.4
345.0,36.4
347.0,36.4
349.0,36.4
351.0,36.4
353.0,73.6
355.0,71.6
357.0,44.2
359.0,44.2
361.0,36.4
363.0,36.9
365.0,36.4
367.0,36.4
369.0,36.4
371.0,36.4
373.0,36.4
375.0,36.4
377.0,36.4
379.0,36.4
381.0,36.4
383.0,36.4
385.0,51.7
387.0,50.6
389.0,39.9
391.0,38.2
393.0,38.2
395.0,36.5
397.0,36.4
399.0,36.4
401.0,36.4
403.0,36.4
405.0,44.3
407.0,45.3
409.0,45.9
411.0,45.3
413.0,36.4
415.0,36.4
417.0,36.4
419.0,36.4
421.0,36.4
423.0,36.4
425.0,36.4
427.0,36.4
429.0,36.4
431.0,36.4
433.0,36.4
435.0,36.4
437.0,36.4
439.0,36.4
441.0,36.4
443.0,36.4
445.0,36.4
447.0,36.4
449.0,36.4
451.0,36.4
453.0,36.4
455.0,36.4
457.0,36.4
459.0,36.4
461.0,36.4
463.0,36.4
465.0,46.0
467.0,46.0
469.0,46.0
471.0,46.0
473.0,46.0
475.0,46.0
477.0,46.0
479.0,46.0
481.0,46.0
483.0,46.0
485.0,46.0
487.0,46.0
489.0,46.0
491.0,46.0
493.0,46.0
495.0,46.0
497.0,46.0
499.0,46.0
501.0,46.0
