time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.37
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.27
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.03
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.18
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.98
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.64
41,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.11,0.11,0.32,24.74
43,3.99,0.00,2.00,3.99,0.00,2.32,0.00,0.77,0.77,2.32,27.32
45,7.44,0.00,3.72,7.44,0.53,4.32,0.00,1.62,1.62,4.32,29.39
47,11.85,0.00,5.92,11.85,2.53,6.32,0.00,2.95,2.95,6.32,27.67
49,11.74,0.00,5.87,11.74,4.53,8.32,0.00,4.28,4.28,8.32,23.53
51,11.74,0.00,5.87,11.74,6.53,10.32,0.00,5.62,5.62,10.32,20.58
53,13.48,0.00,6.74,13.48,8.53,12.32,0.00,6.95,6.95,12.32,19.21
55,19.57,0.00,9.79,19.57,10.53,14.32,0.00,8.28,8.28,14.32,27.44
57,24.57,0.00,12.28,24.57,12.53,16.32,0.00,9.62,9.62,16.32,32.55
59,23.91,0.00,11.95,23.91,14.53,9.14,0.00,7.89,7.89,14.53,31.17
61,5.56,0.00,2.78,5.56,0.00,11.14,0.00,3.71,3.71,11.14,31.67
63,0.00,2.07,1.03,2.07,0.00,9.86,1.97,3.95,3.95,9.86,30.99
65,0.00,4.59,2.29,4.59,0.00,2.73,3.97,2.23,2.23,3.97,36.10
67,0.00,0.00,0.00,0.00,0.00,0.00,5.97,1.99,1.99,5.97,46.10
69,0.00,0.00,0.00,0.00,0.00,0.00,2.42,0.81,0.81,2.42,47.56
71,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.14,0.14,0.41,43.47
