time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,34.50,1
5,0.00,0.00,0.00,0.00,46.10,1
7,0.00,0.00,0.00,0.00,55.60,1
9,0.00,0.00,0.00,0.00,57.45,2
11,0.00,0.00,0.00,0.00,52.37,2
13,0.00,0.00,0.00,0.00,57.33,2
15,0.00,0.00,0.10,1.19,57.90,2
17,0.00,0.00,0.11,1.27,59.10,2
19,0.00,0.00,0.00,0.00,58.20,2
21,0.00,0.00,0.00,0.00,60.00,4
23,0.00,0.00,0.00,0.05,60.00,4
25,0.00,0.00,0.00,0.00,60.00,4
27,0.00,0.00,0.00,0.00,60.00,4
29,0.00,0.00,0.00,0.00,60.00,4
31,0.00,0.00,0.00,0.00,61.80,4
33,0.00,0.00,0.00,0.00,54.93,4
35,0.00,0.00,0.00,0.00,53.97,4
37,0.00,0.00,0.00,0.00,55.24,2
39,0.00,0.00,0.00,0.00,51.90,2
41,0.00,0.00,0.00,0.00,49.95,2
43,0.00,0.00,0.06,0.67,42.14,2
45,0.00,0.00,0.13,1.52,31.07,4
47,0.52,2.06,0.11,1.34,21.40,4
49,2.45,9.81,0.29,3.34,29.00,4
51,2.00,7.99,0.63,5.34,31.30,4
53,0.00,0.00,0.50,6.04,25.80,2
55,0.00,0.00,0.10,1.17,30.08,2
57,1.43,5.71,0.26,3.17,47.27,2
59,0.00,0.00,0.43,5.17,51.74,2
61,0.00,0.00,0.00,0.00,55.30,1
63,0.00,0.00,0.00,0.00,52.68,1
65,0.00,0.00,0.00,0.00,46.17,1
67,0.08,0.33,0.05,0.65,34.80,1
69,1.46,5.86,0.50,2.65,32.84,2
71,2.40,5.65,0.84,4.65,39.09,2
73,2.63,5.65,1.00,6.65,41.62,2
75,1.46,5.65,1.36,8.65,43.45,2
77,1.41,5.65,1.18,10.65,41.01,4
79,2.66,5.65,1.58,12.65,34.85,4
81,2.65,5.65,2.08,14.65,32.82,4
83,2.21,5.65,2.16,16.65,26.22,4
85,5.65,9.62,2.57,18.65,21.15,3
87,7.15,12.30,3.24,20.65,17.21,3
89,9.98,18.55,3.68,22.65,21.01,3
91,9.77,18.31,4.36,24.65,20.84,3
93,8.61,24.31,2.96,12.67,21.15,3
95,10.35,30.64,3.04,14.67,25.27,4
97,11.50,30.17,3.71,16.67,28.10,4
99,10.38,25.87,4.11,18.67,26.24,4
101,8.99,20.91,4.78,20.67,29.69,4
103,5.12,18.77,4.35,22.67,30.84,3
105,5.19,18.67,2.09,18.13,30.91,3
107,5.94,18.67,2.44,20.13,28.38,3
109,5.80,18.67,2.40,22.13,36.06,3
111,5.79,18.63,3.18,24.13,36.85,1
113,2.90,7.07,3.10,21.68,37.20,1
115,2.82,5.71,3.25,21.32,32.62,1
117,5.43,11.66,3.91,23.32,34.81,1
119,4.81,11.50,4.64,25.32,31.95,3
121,3.09,11.50,3.56,27.32,28.84,3
123,6.82,14.31,4.07,29.32,28.78,3
125,9.50,18.07,5.20,31.32,28.12,3
127,10.06,17.98,6.38,33.32,25.70,3
129,7.44,11.77,5.94,16.16,21.17,2
131,9.91,16.46,6.19,14.50,15.56,2
133,11.07,18.01,6.66,16.50,16.13,2
135,14.80,26.76,8.33,18.50,15.52,2
137,15.73,30.09,9.44,20.50,17.58,2
139,12.92,17.45,9.64,22.50,17.93,2
141,12.81,18.48,10.61,24.50,16.22,1
143,13.25,18.36,11.84,26.50,13.24,1
145,13.24,18.36,13.17,28.50,12.31,1
147,17.11,23.47,12.11,29.63,13.88,1
149,17.91,24.11,10.81,29.23,20.14,1
151,13.30,23.81,11.43,31.23,20.58,1
153,13.26,23.81,10.29,33.23,19.72,4
155,13.26,23.81,11.32,35.23,17.11,4
157,13.13,23.81,12.29,37.23,21.77,4
159,12.01,23.81,12.91,39.23,21.21,4
161,9.88,23.81,10.51,33.39,20.72,4
163,10.87,23.81,10.04,31.92,19.23,4
165,13.28,29.06,9.89,33.92,18.90,4
167,14.50,30.95,11.22,35.92,17.43,4
169,15.56,30.95,11.40,37.92,17.94,3
171,16.18,30.95,12.79,39.92,15.50,3
173,16.18,30.95,14.31,41.92,19.58,3
175,16.97,30.95,13.33,43.92,21.14,3
177,19.15,30.93,12.03,42.13,24.84,3
179,17.10,23.67,13.28,41.10,23.94,3
181,12.07,18.84,14.22,35.98,21.76,3
183,13.16,23.22,14.23,33.12,16.61,3
185,15.73,30.33,15.90,35.12,16.72,2
187,17.98,30.24,16.67,37.12,17.75,2
189,19.57,30.24,18.07,39.12,16.98,2
191,19.37,32.54,19.90,41.12,16.29,2
193,19.51,37.31,17.51,43.12,14.87,2
195,19.56,37.51,17.05,45.12,13.63,2
197,22.24,48.24,17.14,47.12,13.73,2
199,22.80,49.50,18.71,49.12,14.45,2
201,28.62,60.48,19.47,51.12,10.54,2
203,20.83,30.65,19.72,53.12,10.25,2
205,19.47,37.42,21.20,55.12,9.58,1
