time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,60.00,4,
5,0.00,0.00,0.00,0.00,54.34,4,
7,0.00,0.00,0.00,0.00,47.84,4,
9,0.00,0.00,0.00,0.00,53.44,4,4.00
11,0.00,0.00,0.00,0.00,56.82,4,
13,0.00,0.00,0.00,0.00,54.64,11,
15,0.00,0.00,0.00,0.05,49.38,11,
17,0.00,0.00,0.17,2.05,47.02,11,
19,0.00,0.00,0.09,1.06,46.49,11,4.00
21,0.00,0.00,0.39,3.06,52.88,11,
23,0.00,0.00,0.10,0.73,54.18,7,
25,0.00,0.00,0.00,0.00,52.01,7,
27,0.00,0.00,0.00,0.00,53.98,7,
29,0.00,0.00,0.15,1.48,47.74,7,3.69
31,0.00,0.00,0.10,1.25,45.68,7,
33,0.30,1.19,0.14,1.69,44.05,7,
35,1.33,5.33,0.33,3.69,40.03,7,
37,1.30,5.22,0.47,5.69,41.33,7,
39,1.30,5.22,0.67,7.69,41.91,7,2.89
41,1.30,5.22,0.95,9.69,40.93,7,
43,1.30,5.22,1.28,11.69,38.64,1,
45,1.30,5.22,1.64,13.69,36.94,1,
47,1.38,5.22,1.96,15.69,28.01,1,
49,2.75,5.78,2.55,17.69,25.29,1,2.17
51,2.89,5.98,3.20,19.69,20.91,1,
53,4.44,12.20,3.46,21.69,15.43,6,
55,4.40,12.03,4.04,23.69,22.32,6,
57,5.00,8.67,4.70,25.69,22.91,6,
59,2.77,5.57,2.41,12.18,24.92,6,2.75
61,2.77,5.57,1.76,14.18,31.28,6,
63,3.65,5.57,2.20,16.18,33.28,3,
65,4.10,5.50,2.70,18.18,40.03,3,
67,1.49,5.49,3.23,20.18,32.26,3,
69,1.37,5.49,0.98,7.28,31.01,3,1.65
71,2.53,5.49,1.48,9.28,35.34,3,
73,3.11,5.50,2.23,11.28,35.37,10,
75,3.82,5.49,2.78,13.28,38.48,10,
77,2.74,5.49,3.10,15.28,34.08,10,
79,2.74,5.49,2.90,17.28,26.72,10,2.26
81,2.98,5.49,3.31,19.28,22.96,10,
83,3.27,5.49,3.90,21.28,23.38,8,
85,6.88,10.97,4.55,23.28,32.33,8,
87,4.86,8.22,4.68,25.28,33.03,8,
89,2.75,5.52,3.18,22.41,29.12,8,3.00
91,2.75,5.52,2.74,24.41,32.59,8,
93,2.75,5.52,3.27,26.41,33.83,5,
95,4.14,11.09,3.72,28.41,36.00,5,
97,4.19,11.30,4.39,30.41,39.50,5,
99,2.01,5.47,4.38,32.41,35.99,5,2.30
101,2.55,5.47,3.46,34.41,27.31,5,
103,2.54,5.47,3.95,36.41,18.05,4,
105,4.35,8.79,4.68,38.41,19.27,4,
107,3.98,11.13,5.42,40.41,10.52,4,
109,4.13,11.12,2.33,15.12,16.01,4,2.43
111,4.13,11.12,2.70,17.12,21.51,4,
113,4.89,11.12,3.37,19.12,25.84,8,
115,5.39,11.12,4.04,21.12,32.98,8,
117,4.06,11.12,4.70,23.12,34.57,8,
119,4.06,11.12,4.08,25.12,36.05,8,1.19
121,4.06,11.12,4.58,27.12,35.34,8,
123,4.98,11.12,5.19,29.12,31.05,3,
125,5.72,11.47,5.65,31.12,29.14,3,
127,6.53,17.45,6.21,33.12,27.29,3,
129,4.31,17.24,5.95,35.12,22.95,3,2.37
131,4.89,17.24,6.01,37.12,23.65,3,
133,5.48,17.24,6.20,39.12,25.91,7,
135,5.52,17.24,6.89,41.12,28.66,7,
137,6.89,22.52,7.73,43.12,34.31,7,
139,6.84,22.28,4.87,35.26,33.52,7,2.82
141,1.26,5.06,3.97,18.49,30.82,7,
143,1.26,5.06,3.04,13.95,28.83,4,
145,2.54,5.10,2.90,15.95,33.22,4,
147,2.78,6.80,3.57,17.95,33.35,4,
149,4.01,11.00,2.66,18.01,31.70,4,2.86
151,4.64,12.38,2.74,20.01,31.58,4,
153,5.59,12.38,3.23,22.01,28.74,2,
155,5.54,12.38,3.66,24.01,30.40,2,
157,3.41,8.42,4.50,26.01,31.73,2,
159,4.73,13.99,3.08,15.23,29.93,2,2.43
161,5.49,17.27,2.09,13.31,26.70,2,
163,5.49,17.24,2.81,15.31,24.44,1,
165,6.69,17.24,3.42,17.31,25.50,1,
167,6.79,17.17,4.16,19.31,29.01,1,
169,3.70,5.26,3.58,14.39,31.79,1,2.85
171,2.49,5.26,3.67,16.39,34.82,1,
173,4.30,11.94,3.40,18.39,32.98,8,
175,4.24,11.69,4.23,20.39,30.51,8,
177,3.83,9.49,4.90,22.39,27.26,8,
179,2.54,5.26,3.96,15.08,27.53,8,2.24
181,2.75,6.27,3.50,17.08,30.51,8,
183,4.47,10.68,4.06,19.08,30.39,14,
185,5.60,11.77,4.84,21.08,34.69,14,
187,5.18,9.65,3.56,23.08,36.86,14,
189,2.14,6.00,3.13,9.79,37.23,14,2.73
191,2.47,5.22,2.05,10.75,30.78,14,
193,3.21,6.62,2.61,12.75,27.56,5,
195,5.91,10.78,3.26,14.75,30.65,5,
197,5.82,10.33,2.84,16.75,28.66,5,
199,3.87,10.30,2.36,11.75,21.31,5,2.40
201,3.87,10.30,2.10,13.75,17.12,5,
203,5.03,10.30,2.87,15.75,17.10,8,
205,5.28,10.30,3.79,17.75,25.15,8,
207,4.67,7.37,4.79,19.75,29.89,8,
209,4.02,5.50,4.95,21.75,33.28,8,2.09
211,3.98,5.50,4.42,23.75,34.16,8,
213,4.27,6.37,5.07,25.75,30.59,6,
215,5.73,12.30,5.91,27.75,33.97,6,
217,4.79,11.50,5.65,29.75,28.12,6,
219,5.69,15.11,3.43,31.75,28.12,6,2.13
221,5.74,17.10,3.71,33.75,29.99,6,
223,6.09,17.08,4.36,35.75,31.53,7,
225,7.05,17.08,5.26,37.75,34.05,7,
227,7.02,17.04,6.13,39.75,30.90,7,
229,4.56,8.96,4.08,17.14,28.85,7,2.15
231,4.39,12.34,4.67,19.14,29.00,7,
233,5.54,12.30,4.72,21.14,27.67,4,
235,7.21,12.30,5.31,23.14,30.40,4,
237,5.46,12.30,6.34,25.14,28.38,4,
239,4.41,12.30,6.42,27.14,21.05,4,1.79
241,6.08,12.30,6.74,29.14,19.34,4,
243,8.85,17.92,7.74,31.14,15.00,1,
245,10.96,24.12,8.86,33.14,17.68,1,
247,11.41,24.41,10.03,35.14,20.25,1,
249,14.48,33.77,7.50,26.52,23.11,1,2.79
251,12.21,36.71,6.61,28.52,23.76,1,
253,6.11,12.29,5.88,30.52,24.70,7,
255,7.33,12.29,5.77,32.52,27.47,7,
257,7.88,17.12,6.17,34.52,23.25,7,
259,6.81,21.81,5.73,36.52,22.59,7,2.70
261,7.68,25.28,4.46,38.52,24.88,7,
263,10.71,31.88,4.19,40.52,29.57,5,
265,10.92,31.66,4.53,42.52,29.58,5,
267,10.92,31.66,5.17,44.52,30.54,5,
269,12.30,31.61,5.43,39.53,31.63,5,1.85
271,12.23,30.06,4.25,17.71,30.87,5,
273,6.82,17.90,4.92,19.71,28.40,7,
275,9.65,19.03,6.17,21.71,26.44,7,
277,11.95,19.03,6.50,23.71,24.99,7,
279,9.24,19.03,6.74,25.71,20.94,7,1.45
281,11.65,22.13,6.60,27.71,18.65,7,
283,13.44,27.70,6.92,29.71,16.74,3,
