time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.50
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.07
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.48
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.13
15,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.36,0.36,1.07,53.60
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.69
19,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.57,0.57,1.71,46.82
21,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.13,0.13,0.39,47.34
23,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.13,0.13,0.38,43.34
25,0.00,0.00,0.00,0.00,0.49,0.00,0.72,0.40,0.40,0.72,46.25
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.23
29,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.37,0.37,1.12,46.40
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.92
33,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.32,0.32,0.95,35.21
35,0.00,1.21,0.61,1.21,0.00,2.00,2.95,1.65,1.65,2.95,23.61
37,4.66,11.38,8.02,11.38,0.23,4.00,4.95,3.06,3.06,4.95,22.09
39,10.74,11.12,10.93,11.12,2.23,6.00,6.95,5.06,5.06,6.95,23.37
41,10.62,19.06,14.84,19.06,4.23,8.00,8.95,7.06,7.06,8.95,23.87
43,6.60,30.12,18.36,30.12,6.23,10.00,10.95,9.06,9.06,10.95,27.47
45,0.00,17.48,8.74,17.48,8.23,0.00,7.79,5.34,5.34,8.23,33.40
47,0.00,0.00,0.00,0.00,2.49,0.49,9.79,4.26,4.26,9.79,36.83
49,0.00,0.00,0.00,0.00,0.00,2.49,11.58,4.69,4.69,11.58,38.87
51,0.00,0.00,0.00,0.00,0.00,0.00,3.70,1.23,1.23,3.70,40.44
53,0.00,0.00,0.00,0.00,0.00,0.00,5.70,1.90,1.90,5.70,47.00
55,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.41,0.41,1.22,49.83
57,0.00,0.00,0.00,0.00,0.00,0.00,3.22,1.07,1.07,3.22,50.42
59,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.65,0.65,1.94,43.55
61,0.00,0.00,0.00,0.00,1.66,1.61,0.00,1.09,1.09,1.66,43.13
63,0.00,0.00,0.00,0.00,0.00,3.61,0.00,1.20,1.20,3.61,56.50
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.60
67,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.14,0.14,0.43,48.03
69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.40
71,0.00,1.56,0.78,1.56,0.00,0.00,1.65,0.55,0.55,1.65,47.70
