time,value
21,0.02
25,0.01
29,0.06
33,0.02
37,0.06
41,0.04
45,0.05
49,0.02
53,0.08
57,0.03
61,0.06
65,0.03
69,0.05
73,0.03
77,0.04
81,0.03
85,0.06
89,0.11
93,0.13
97,0.15
101,0.06
105,0.13
109,0.06
113,0.08
117,0.06
121,0.23
125,0.17
129,0.08
133,0.18
137,0.11
141,0.08
145,0.13
149,0.12
153,0.07
157,0.09
161,0.10
165,0.05
169,0.09
173,0.04
177,0.10
181,0.06
185,0.09
189,0.04
193,0.11
197,0.07
201,0.11
205,0.04
209,0.12
213,0.06
217,0.15
221,0.17
225,0.06
229,0.10
233,0.14
237,0.18
241,0.20
245,0.11
249,0.19
253,0.11
257,0.20
261,0.09
265,0.12
269,0.14
273,0.14
277,0.22
281,0.11
285,0.16
289,0.22
293,0.13
297,0.25
301,0.24
305,0.21
309,0.31
313,0.37
317,0.17
321,0.20
325,0.19
329,0.22
333,0.36
337,0.17
341,0.34
345,0.33
349,0.32
353,0.19
357,0.28
361,0.32
365,0.16
369,0.30
373,0.54
377,0.13
381,0.29
385,0.29
389,0.27
393,0.14
397,0.17
401,0.08
405,0.14
409,0.19
413,0.17
417,0.14
421,0.20
425,0.14
429,0.32
433,0.29
437,0.11
441,0.17
445,0.25
449,0.27
453,0.26
457,0.11
461,0.24
465,0.15
469,0.25
473,0.15
477,0.24
481,0.25
485,0.22
489,0.16
493,0.26
497,0.14
501,0.16
505,0.12
509,0.16
513,0.12
517,0.14
521,0.23
525,0.21
529,0.19
533,0.26
537,0.15
541,0.26
545,0.15
549,0.19
553,0.19
557,0.22
561,0.30
565,0.27
569,0.33
573,0.29
577,0.18
581,0.23
585,0.34
589,0.28
593,0.14
597,0.30
601,0.17
605,0.29
609,0.17
613,0.28
617,0.14
621,0.25
625,0.30
629,0.27
633,0.16
637,0.41
641,0.42
645,0.34
649,0.40
653,0.19
657,0.37
661,0.22
665,0.38
669,0.20
673,0.22
677,0.32
681,0.39
685,0.52
689,0.24
693,0.47
697,0.57
701,0.48
705,0.29
709,0.51
713,0.36
717,0.75
721,0.55
725,0.64
729,0.33
733,0.55
737,0.42
741,0.48
745,0.55
749,0.54
753,0.57
757,0.54
761,0.35
765,0.65
769,0.37
773,0.57
777,0.62
781,0.73
785,0.38
789,0.58
793,0.61
797,0.60
801,0.42
805,0.62
809,0.46
813,0.48
817,0.67
821,0.72
825,0.73
829,0.68
833,0.53
837,0.72
841,0.49
845,0.75
849,0.74
853,0.45
857,0.70
861,0.46
865,0.76
869,0.72
873,0.49
877,0.70
881,0.52
885,0.77
889,0.50
893,0.76
897,0.57
901,0.83
905,0.53
909,0.59
913,0.85
917,0.89
921,0.52
925,0.54
929,0.86
933,0.86
937,1.03
941,0.67
945,1.02
949,0.81
953,0.81
957,1.14
961,1.22
965,0.79
969,1.11
973,0.80
977,0.84
981,0.99
985,0.81
989,1.14
993,1.08
997,1.00
