time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,32.90,1
5,0.00,0.00,0.00,0.00,44.70,1
7,0.00,0.00,0.00,0.00,54.55,1
9,0.00,0.00,0.00,0.00,58.55,3
11,0.00,0.00,0.00,0.00,51.88,3
13,0.00,0.00,0.00,0.00,51.87,3
15,0.00,0.00,0.08,0.99,51.99,3
17,0.00,0.00,0.25,2.99,52.46,2
19,0.00,0.00,0.06,0.66,51.60,2
21,0.00,0.00,0.04,0.47,44.36,2
23,0.00,0.00,0.21,2.47,32.83,2
25,0.11,0.43,0.45,4.47,24.02,1
27,1.46,5.84,0.86,6.47,26.02,1
29,4.10,11.98,1.28,8.47,24.83,1
31,5.13,15.28,0.91,6.05,29.17,1
33,2.18,5.22,1.36,8.05,37.01,4
35,1.31,5.24,1.63,8.83,38.52,4
37,1.25,4.99,1.35,10.83,42.70,4
39,1.25,4.99,1.76,12.83,40.30,4
41,1.25,4.99,1.16,9.40,34.08,2
43,1.84,4.99,1.39,11.40,30.98,2
45,3.97,5.74,2.11,13.40,30.17,2
47,2.86,6.08,2.94,15.40,24.73,2
49,2.83,5.81,2.84,10.83,28.94,1
51,2.89,5.81,3.06,12.83,23.37,1
53,5.31,8.32,4.20,14.83,25.54,1
55,6.75,11.33,5.02,16.83,22.39,1
57,6.73,11.30,3.44,14.29,24.07,1
59,6.73,11.30,3.94,16.29,20.02,3
61,6.73,11.30,4.99,18.29,16.30,3
63,7.57,11.30,5.92,20.29,19.14,3
65,8.04,11.30,7.09,22.29,20.27,3
67,6.07,10.79,8.25,24.29,19.96,4
69,4.41,10.79,6.63,18.65,17.19,4
71,7.84,16.00,6.01,20.65,14.41,4
73,8.74,16.56,6.84,22.65,13.86,4
75,8.43,17.23,7.13,24.65,10.70,2
77,6.22,17.19,3.94,17.28,12.16,2
79,6.88,17.19,4.85,19.28,14.88,2
81,6.43,17.19,5.74,21.28,22.24,2
83,5.64,17.08,4.57,23.28,29.80,3
85,2.68,5.50,3.13,22.65,34.84,3
87,2.68,5.50,2.89,15.70,33.47,3
89,2.66,5.41,1.91,14.23,37.63,3
91,1.36,5.21,2.44,16.23,43.10,3
93,1.30,5.21,1.19,12.71,42.65,3
95,1.30,5.21,1.44,14.71,40.39,4
97,1.30,5.21,1.77,16.71,31.71,4
99,1.55,6.19,2.21,18.71,25.32,4
101,2.78,11.12,2.73,20.71,22.40,4
103,4.89,17.20,3.40,22.71,20.81,3
105,5.46,17.07,2.87,12.52,17.25,3
107,6.17,17.07,3.70,14.52,16.73,3
109,6.19,17.07,4.72,16.52,23.12,3
111,5.30,17.04,4.45,15.59,22.54,4
113,3.65,10.42,4.99,17.59,21.49,4
115,3.95,10.42,4.49,19.59,18.00,4
117,3.49,10.45,5.32,21.59,23.16,4
119,2.96,11.85,4.24,23.59,27.22,2
121,2.96,11.85,4.07,22.35,25.89,2
123,2.96,11.85,2.91,24.35,24.77,2
125,4.05,16.20,3.41,26.35,32.45,2
127,4.53,18.11,4.03,28.35,37.45,4
129,1.72,6.87,1.89,14.39,39.79,4
131,1.31,5.26,1.66,10.24,34.91,4
133,1.49,5.98,2.00,12.24,33.69,4
135,2.67,10.69,2.33,14.24,32.07,3
137,2.81,10.61,1.92,15.71,28.55,3
139,5.06,10.61,2.04,17.71,24.88,3
141,5.23,10.61,2.71,19.71,27.03,3
143,5.46,16.65,2.54,11.24,29.05,4
145,3.98,11.22,2.58,13.24,29.62,4
147,3.70,5.13,2.80,11.91,27.43,4
149,4.25,7.49,3.78,13.91,31.17,4
151,4.64,11.04,4.78,15.91,32.12,2
153,5.55,11.17,4.36,17.91,29.31,2
155,7.83,11.12,4.96,19.91,25.53,2
157,9.24,11.12,6.11,21.91,26.71,2
159,8.77,11.12,5.58,23.91,26.44,1
161,4.20,11.12,6.47,25.91,23.57,1
163,6.41,11.39,6.00,27.91,20.44,1
165,10.72,15.43,7.30,29.91,19.41,1
167,10.56,17.50,8.32,31.91,16.21,2
169,9.13,19.03,6.70,21.76,15.89,2
171,10.52,24.62,5.26,18.78,13.79,2
173,11.55,24.52,6.42,20.78,16.47,2
175,11.86,24.52,7.59,22.78,19.84,4
177,10.35,23.86,8.63,24.78,19.49,4
179,7.94,14.20,7.73,26.78,18.36,4
181,7.05,11.75,8.90,28.78,21.06,4
183,9.23,16.94,9.54,30.78,25.53,3
185,9.06,12.51,9.68,32.78,26.09,3
187,8.73,18.23,8.42,34.78,26.72,3
189,8.67,18.00,9.42,36.78,24.69,3
191,8.20,18.00,10.42,38.78,23.33,3
193,10.69,30.94,8.25,26.57,22.29,3
195,10.59,30.47,7.29,28.57,21.86,3
197,10.59,30.46,7.64,30.57,23.19,1
199,11.45,30.46,8.42,32.57,21.33,1
201,12.20,32.48,9.32,34.57,20.38,1
203,13.91,39.98,10.32,36.57,17.63,1
205,16.02,42.81,9.14,34.13,18.71,1
207,18.31,42.70,8.42,36.13,19.24,1
209,12.59,21.79,9.34,38.13,18.76,1
211,13.26,24.86,9.57,40.13,18.57,1
213,13.54,24.83,11.07,42.13,17.86,2
215,13.80,24.83,11.65,44.13,16.60,2
217,15.13,24.83,11.94,46.13,19.07,2
219,17.39,32.03,13.27,48.13,20.41,2
221,20.00,37.57,12.59,40.49,22.99,2
223,16.02,42.72,11.96,42.49,23.80,2
225,14.89,41.61,10.82,44.49,23.58,2
227,7.82,13.34,9.63,46.49,22.68,2
229,10.68,20.09,10.26,48.49,19.92,4
231,11.81,24.08,11.47,50.49,16.21,4
233,12.33,23.99,12.80,52.49,18.82,4
235,11.14,23.99,13.17,54.49,16.10,4
237,10.36,23.49,10.36,46.43,16.61,3
239,11.22,22.43,10.75,48.43,18.25,3
241,12.86,20.52,11.91,50.43,21.35,3
243,11.02,18.10,13.10,52.43,25.05,3
245,8.28,17.37,10.81,54.43,25.00,3
247,8.72,17.37,7.78,56.43,24.06,3
