time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,60.00,4,
5,0.00,0.00,0.00,0.00,60.00,4,
7,0.00,0.00,0.00,0.00,40.38,4,
9,0.00,0.00,0.00,0.00,50.48,4,4.00
11,0.00,0.00,0.00,0.00,59.44,4,
13,0.00,0.00,0.00,0.00,59.69,1,
15,0.00,0.00,0.00,0.00,57.62,1,
17,0.00,0.00,0.00,0.00,58.28,1,
19,0.00,0.00,0.09,1.11,59.67,1,4.00
21,0.00,0.00,0.00,0.00,55.73,1,
23,0.00,0.00,0.00,0.05,45.79,5,
25,0.00,0.00,0.00,0.00,46.00,5,
27,0.00,0.00,0.03,0.32,52.46,5,
29,0.00,0.00,0.04,0.46,54.52,5,3.62
31,0.00,0.00,0.03,0.41,53.35,5,
33,0.00,0.00,0.00,0.00,46.83,1,
35,0.00,0.00,0.18,1.10,35.18,1,
37,0.95,3.81,0.25,3.05,24.88,1,
39,2.38,9.51,0.47,5.05,31.93,1,2.76
41,2.95,11.80,0.69,7.05,36.18,1,
43,2.95,11.79,0.75,9.05,42.25,2,
45,2.95,11.79,0.92,11.05,46.66,2,
47,2.66,10.65,1.09,13.05,42.72,2,
49,0.52,2.10,1.27,13.07,37.41,2,2.67
51,0.45,1.81,0.36,3.59,27.10,2,
53,2.81,11.22,0.69,5.59,16.33,5,
55,2.71,10.84,1.12,7.59,24.86,5,
57,2.41,6.46,1.77,9.59,31.63,5,
59,1.23,4.90,1.07,5.07,43.59,5,3.35
61,1.22,4.89,1.15,5.82,47.90,5,
63,1.22,4.89,0.65,7.82,41.58,1,
65,1.20,4.80,0.82,9.82,43.87,1,
67,0.00,0.00,1.12,11.82,32.05,1,
69,1.00,4.02,0.41,3.66,31.88,1,2.63
71,1.51,6.03,0.50,5.66,34.71,1,
73,3.84,11.16,0.83,7.66,36.20,2,
75,4.07,11.00,1.20,9.66,42.28,2,
77,3.41,8.37,1.50,11.66,42.64,2,
79,1.32,5.29,1.52,9.87,36.36,2,2.27
81,1.44,5.29,1.03,10.32,34.46,2,
83,2.38,5.29,1.64,12.32,33.55,3,
85,2.32,5.19,2.10,14.32,34.04,3,
87,2.70,4.37,2.74,16.32,29.59,3,
89,3.29,4.70,1.92,10.03,27.54,3,1.97
91,3.28,4.67,2.41,12.03,22.63,3,
93,3.28,4.67,2.97,14.03,22.24,1,
95,4.64,9.56,3.64,16.03,23.66,1,
97,6.33,16.03,4.40,18.03,28.27,1,
99,2.53,5.19,4.35,20.03,26.70,1,2.56
101,2.32,5.19,4.68,22.03,29.97,1,
103,2.32,5.19,4.82,24.03,33.01,8,
105,2.21,5.19,5.04,26.03,37.10,8,
107,1.30,5.19,5.77,28.03,37.98,8,
109,1.30,5.19,3.61,24.83,34.22,8,2.58
111,1.30,5.19,3.82,26.83,27.19,8,
113,1.52,5.19,4.45,28.83,24.54,6,
115,3.51,6.21,5.34,30.83,28.17,6,
117,4.42,12.16,6.34,32.83,29.06,6,
119,4.36,11.98,2.45,7.93,25.76,6,1.22
121,4.36,11.98,2.85,9.93,26.13,6,
123,4.89,12.76,3.66,11.93,25.91,1,
125,7.74,20.61,4.56,13.93,24.96,1,
127,9.10,25.85,5.56,15.93,29.66,1,
129,10.21,25.34,4.71,16.82,25.65,1,2.59
131,6.23,9.96,4.64,16.76,26.85,1,
133,5.38,11.26,4.59,18.76,28.88,5,
135,6.52,11.26,5.42,20.76,32.77,5,
137,5.48,11.26,6.32,22.76,33.43,5,
139,5.42,11.26,5.29,17.69,29.30,5,2.58
141,5.42,11.26,5.62,19.69,23.94,5,
143,5.69,12.34,6.39,21.69,18.86,2,
145,8.73,23.02,7.22,23.69,19.28,2,
147,10.71,30.22,8.06,25.69,19.75,2,
149,11.63,30.04,4.90,25.43,20.49,2,1.84
151,9.87,18.93,4.52,27.43,21.84,2,
153,5.73,11.80,5.04,29.43,23.37,10,
155,5.72,11.80,4.99,31.43,26.24,10,
157,5.72,11.80,4.77,33.43,31.83,10,
159,5.72,11.80,5.44,35.43,32.23,10,1.73
161,5.72,11.80,5.90,37.43,26.28,10,
163,6.81,16.12,6.23,39.43,18.60,1,
165,7.30,18.09,7.02,41.43,17.62,1,
167,9.19,18.05,7.98,43.43,18.73,1,
169,7.27,17.90,7.11,27.28,17.00,1,1.97
171,7.02,17.82,5.05,29.28,11.85,1,
173,8.56,17.82,4.52,31.28,9.87,6,
175,8.76,17.82,5.19,33.28,14.14,6,
177,7.91,17.82,5.86,35.28,20.76,6,
179,5.73,17.82,5.09,37.28,30.48,6,2.87
181,5.73,17.82,5.37,39.28,32.20,6,
183,5.98,17.82,5.33,41.28,31.62,5,
185,6.95,17.82,5.95,43.28,35.08,5,
187,6.93,17.75,6.04,38.33,34.37,5,
189,3.95,5.82,6.39,40.33,35.48,5,2.45
191,3.16,7.51,5.71,27.00,34.87,5,
193,4.30,12.09,4.08,27.07,28.64,6,
195,4.28,12.02,4.90,29.07,33.37,6,
197,3.60,9.30,5.70,31.07,29.88,6,
199,1.52,6.10,4.62,33.07,29.56,6,2.54
201,2.91,11.09,4.43,35.07,25.19,6,
203,3.92,10.96,4.82,37.07,23.97,7,
205,4.76,14.52,5.12,39.07,29.94,7,
207,6.34,18.06,5.83,41.07,33.02,7,
209,6.19,15.53,3.48,12.06,31.77,7,2.48
211,5.42,16.12,2.34,11.25,29.59,7,
213,5.73,16.12,2.04,13.25,23.94,2,
215,7.15,16.12,2.54,15.25,20.18,2,
217,7.04,18.41,2.90,17.25,18.86,2,
219,6.79,27.17,2.64,19.25,22.04,2,2.16
221,7.36,29.44,2.93,21.25,24.31,2,
223,8.86,35.42,2.75,23.25,25.21,1,
225,9.05,36.19,2.97,25.25,26.90,1,
227,9.95,36.19,3.47,27.25,26.24,1,
229,10.19,36.19,3.55,24.16,21.24,1,2.52
231,11.53,37.44,4.12,26.05,16.44,1,
233,14.01,42.38,3.97,18.08,16.79,5,
235,11.11,28.65,4.66,20.08,17.20,5,
237,3.94,11.03,5.31,21.06,16.82,5,
239,5.16,11.03,3.93,16.81,21.04,5,2.46
241,5.72,11.84,4.12,17.32,27.00,5,
243,6.75,15.95,3.86,19.32,27.54,2,
245,7.10,17.36,4.59,21.32,32.46,2,
247,6.19,17.33,5.43,23.32,33.93,2,
249,2.12,5.80,4.41,21.17,30.90,2,2.25
251,3.05,7.59,2.99,17.48,26.95,2,
253,6.05,19.56,2.38,19.48,26.70,9,
255,6.78,21.92,2.88,21.48,23.88,9,
257,7.96,21.90,3.52,23.48,19.51,9,
259,9.53,28.33,4.06,25.48,22.09,9,1.89
261,8.13,22.69,4.77,27.48,19.23,9,
263,3.89,7.94,5.45,29.48,16.73,2,
265,6.39,13.64,5.12,31.48,15.95,2,
267,7.38,17.50,5.95,33.48,23.01,2,
269,4.06,6.65,6.02,35.48,30.08,2,3.08
271,3.69,5.17,6.02,37.48,29.80,2,
273,3.69,5.17,5.83,39.48,28.73,5,
275,3.56,5.17,6.14,41.48,36.22,5,
277,2.45,5.17,6.64,43.48,34.73,5,
279,2.45,5.17,6.03,45.48,29.80,5,2.72
281,2.45,5.17,6.42,47.48,28.43,5,
283,2.52,5.17,7.09,49.48,29.75,8,
