time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,60.00,1
9,0.00,0.00,0.00,0.00,60.00,1
11,0.00,0.00,0.00,0.00,37.74,1
13,0.00,0.00,0.00,0.00,46.72,1
15,0.00,0.00,0.00,0.00,55.97,1
17,0.00,0.00,0.00,0.00,59.29,1
19,0.00,0.00,0.00,0.00,58.33,1
21,0.00,0.00,0.00,0.00,51.80,3
23,0.00,0.00,0.06,0.72,44.54,3
25,0.23,0.90,0.33,2.72,35.05,3
27,1.35,5.39,0.66,4.72,27.14,3
29,1.61,5.23,1.10,6.72,19.84,3
31,4.31,10.07,1.67,8.72,15.24,3
33,5.97,12.15,2.34,10.72,11.20,3
35,7.68,19.07,3.00,12.72,3.75,3
37,7.63,18.87,3.73,14.72,1.17,3
39,7.97,18.87,4.49,16.72,0.08,3
41,8.87,18.87,5.32,18.72,0.00,2
43,8.85,18.87,6.15,20.72,4.83,2
45,8.85,18.87,6.99,22.72,6.71,2
47,8.84,18.82,7.82,24.72,8.14,2
49,5.91,11.64,7.95,25.21,13.49,2
51,5.18,11.64,7.04,27.21,17.73,2
53,5.18,11.64,5.86,29.21,25.35,4
55,5.18,11.64,6.44,31.21,26.65,4
57,5.06,11.64,7.11,33.21,26.25,4
59,4.14,11.64,7.78,35.21,21.00,4
61,5.42,11.64,5.38,33.30,14.94,1
63,5.37,11.64,6.05,35.30,14.24,1
65,5.86,11.64,6.51,37.30,17.61,1
67,6.13,11.33,7.34,39.30,25.54,1
69,4.15,11.25,5.43,40.09,30.17,1
71,4.14,11.25,2.58,17.00,32.12,1
73,4.14,11.25,3.08,19.00,34.36,1
75,4.51,11.25,3.69,21.00,33.44,1
77,5.48,11.25,4.45,23.00,33.73,1
79,5.46,11.25,5.09,25.00,32.79,1
81,6.69,16.19,5.69,27.00,28.16,1
83,6.83,16.74,6.51,29.00,28.72,1
85,6.83,16.74,7.23,31.00,29.63,1
87,7.30,18.62,8.04,33.00,24.27,3
89,8.57,23.68,8.37,35.00,18.12,3
91,8.46,23.59,9.20,37.00,15.17,3
93,7.23,23.59,10.03,39.00,12.35,3
95,8.57,27.43,6.37,32.00,10.41,2
97,11.53,29.08,7.20,34.00,8.19,2
99,11.03,27.43,8.06,36.00,10.10,2
101,8.99,24.54,8.87,38.00,14.70,2
103,8.31,21.80,5.31,25.37,17.03,2
105,4.33,11.42,4.86,17.80,14.85,2
107,4.15,11.42,3.78,18.11,22.04,4
109,4.15,11.42,2.88,20.11,27.42,4
111,4.07,11.42,3.21,22.11,44.66,4
113,2.34,9.37,3.69,24.11,47.70,4
115,0.00,0.00,2.03,20.62,46.58,1
117,0.77,3.09,0.48,5.74,37.43,1
119,1.30,5.20,0.80,7.74,33.90,1
121,1.75,5.18,1.29,9.74,24.31,1
123,3.97,6.28,1.49,11.74,19.40,1
125,6.47,11.89,2.06,13.74,15.48,1
127,8.47,16.57,2.72,15.74,14.46,1
129,9.02,18.80,3.39,17.74,12.49,1
131,9.53,18.79,4.06,19.74,14.92,1
133,11.61,18.79,4.87,21.74,16.69,1
135,11.85,18.79,5.70,23.74,18.97,1
137,12.49,18.79,6.53,25.74,23.26,3
139,13.55,18.79,7.37,27.74,26.00,3
141,14.37,18.79,8.20,29.74,25.38,3
143,13.82,18.79,9.10,31.74,21.26,3
145,10.15,18.79,8.46,33.74,16.02,3
147,12.29,20.62,8.07,35.74,12.65,2
149,14.70,26.59,8.83,37.74,16.33,2
151,19.96,31.97,9.66,39.74,18.81,2
153,20.05,31.83,10.49,41.74,18.86,2
155,17.07,31.83,10.24,34.15,18.74,2
157,15.08,29.26,10.35,33.87,21.34,2
159,10.22,18.46,6.99,35.42,22.55,2
161,11.54,23.75,7.82,37.42,19.65,4
163,12.41,24.43,8.18,39.42,16.49,4
