time,calc_time
1.00,0.01
9.00,0.02
19.00,0.02
29.00,0.03
39.00,0.03
49.00,0.03
59.00,0.03
69.00,0.02
79.00,0.02
89.00,0.03
99.00,0.02
109.00,0.03
119.00,0.02
129.00,0.03
139.00,0.03
149.00,0.02
159.00,0.03
169.00,0.02
179.00,0.04
189.00,0.03
199.00,0.03
209.00,0.05
219.00,0.03
229.00,0.04
239.00,0.04
249.00,0.03
259.00,0.02
269.00,0.02
279.00,0.02
289.00,0.02
299.00,0.03
309.00,0.03
319.00,0.03
329.00,0.03
339.00,0.03
349.00,0.03
359.00,0.03
369.00,0.03
379.00,0.03
389.00,0.03
399.00,0.03
409.00,0.03
419.00,0.03
429.00,0.05
439.00,0.03
449.00,0.03
459.00,0.03
469.00,0.03
479.00,0.05
489.00,0.05
499.00,0.04
509.00,0.03
519.00,0.03
529.00,0.02
539.00,0.03
549.00,0.03
559.00,0.05
569.00,0.03
579.00,0.02
589.00,0.03
599.00,0.02
609.00,0.02
619.00,0.03
629.00,0.05
639.00,0.03
649.00,0.02
659.00,0.03
669.00,0.04
679.00,0.03
689.00,0.02
699.00,0.05
709.00,0.03
719.00,0.02
729.00,0.03
739.00,0.03
749.00,0.03
759.00,0.03
769.00,0.04
779.00,0.02
789.00,0.03
799.00,0.02
809.00,0.03
819.00,0.03
829.00,0.04
839.00,0.03
849.00,0.03
859.00,0.02
869.00,0.03
879.00,0.03
889.00,0.02
899.00,0.03
909.00,0.03
919.00,0.02
929.00,0.02
939.00,0.03
949.00,0.04
959.00,0.03
969.00,0.03
979.00,0.04
989.00,0.03
999.00,0.03
