time,value
1,0.01
5,0.04
9,0.02
13,0.04
17,0.02
21,0.02
25,0.02
29,0.02
33,0.04
37,0.03
41,0.04
45,0.07
49,0.02
53,0.04
57,0.03
61,0.06
65,0.07
69,0.05
73,0.07
77,0.07
81,0.05
85,0.14
89,0.15
93,0.11
97,0.14
101,0.13
105,0.14
109,0.09
113,0.12
117,0.16
121,0.09
125,0.22
129,0.21
133,0.14
137,0.21
141,0.12
145,0.16
149,0.12
153,0.22
157,0.11
161,0.17
165,0.29
169,0.16
173,0.30
177,0.66
181,0.27
185,0.52
189,0.30
193,0.34
197,0.29
201,0.62
205,0.27
209,0.32
213,0.27
217,0.29
221,0.24
225,0.15
229,0.26
233,0.16
237,0.35
241,0.37
245,0.16
249,0.27
253,0.25
257,0.35
261,0.33
265,0.54
269,0.16
273,0.27
277,0.24
281,0.37
285,0.51
289,0.59
293,0.21
297,0.41
301,0.35
305,0.39
309,0.20
313,0.40
317,0.55
321,0.25
325,0.30
329,0.33
333,0.50
337,0.18
341,0.25
345,0.30
349,0.41
353,0.26
357,0.13
361,0.25
365,0.25
369,0.32
373,0.22
377,0.50
381,0.27
385,0.32
389,0.13
393,0.26
397,0.36
401,0.32
405,0.45
409,0.45
413,0.29
417,0.46
421,0.25
425,0.24
429,0.16
433,0.18
437,0.14
441,0.56
445,0.42
449,0.43
453,0.56
457,0.31
461,0.27
465,0.33
469,0.61
473,0.32
477,0.40
481,0.24
485,0.65
489,0.71
493,0.44
497,0.37
501,0.70
505,0.45
509,0.22
513,0.71
517,0.24
521,0.45
525,0.43
529,0.38
533,0.56
537,0.55
541,0.39
545,0.19
549,0.38
553,0.68
557,0.44
561,0.82
565,0.40
569,0.42
573,0.33
577,0.65
581,0.36
585,0.34
589,0.47
593,0.31
597,0.37
601,0.18
605,0.50
609,0.28
613,0.38
617,0.33
621,0.30
625,0.42
629,0.39
633,0.25
637,0.18
641,0.44
645,0.35
649,0.50
653,0.29
657,0.47
661,0.58
665,0.38
669,0.21
673,0.29
677,0.31
681,0.48
685,0.24
689,0.17
693,0.25
697,0.29
701,0.26
705,0.35
709,0.31
713,0.38
717,0.45
721,0.36
725,0.38
729,0.59
733,0.17
737,0.48
741,0.49
745,0.36
749,0.27
753,0.72
757,0.32
761,0.63
765,0.57
769,0.33
773,0.45
777,0.58
781,0.41
785,0.33
789,0.61
793,0.20
797,0.55
801,0.41
805,0.42
809,0.88
813,0.23
817,0.62
821,0.30
825,0.59
829,0.81
833,0.38
837,0.61
841,0.24
845,0.62
849,0.51
853,0.23
857,0.47
861,0.38
865,0.25
869,0.39
873,0.23
877,0.43
881,0.39
885,0.43
889,0.39
893,0.25
897,0.43
901,0.30
905,0.43
909,0.42
913,0.44
917,0.47
921,0.44
925,0.42
929,0.25
933,0.63
937,0.62
941,0.30
945,0.74
949,0.84
953,0.60
957,0.43
961,1.15
965,0.36
969,0.71
973,0.44
977,0.59
981,0.27
985,0.67
989,0.50
993,0.56
997,0.47
