time,calc_time
1.00,0.16
9.00,0.06
19.00,0.06
29.00,0.06
39.00,0.07
49.00,0.07
59.00,0.07
69.00,0.06
79.00,0.06
89.00,0.07
99.00,0.07
109.00,0.08
119.00,0.07
129.00,0.05
139.00,0.07
149.00,0.07
159.00,0.08
169.00,0.07
179.00,0.06
189.00,0.08
199.00,0.07
209.00,0.07
219.00,0.07
229.00,0.06
239.00,0.08
249.00,0.06
259.00,0.07
269.00,0.06
279.00,0.06
289.00,0.07
299.00,0.06
309.00,0.05
319.00,0.06
329.00,0.08
339.00,0.07
349.00,0.06
359.00,0.06
369.00,0.06
379.00,0.07
389.00,0.05
399.00,0.06
409.00,0.06
419.00,0.06
429.00,0.07
439.00,0.07
449.00,0.06
459.00,0.08
469.00,0.07
479.00,0.05
489.00,0.06
499.00,0.07
509.00,0.07
519.00,0.06
529.00,0.07
539.00,0.07
549.00,0.06
559.00,0.06
569.00,0.06
579.00,0.07
589.00,0.06
599.00,0.06
609.00,0.07
619.00,0.07
629.00,0.06
639.00,0.07
649.00,0.07
659.00,0.06
669.00,0.07
679.00,0.07
689.00,0.05
699.00,0.05
709.00,0.07
719.00,0.05
729.00,0.08
739.00,0.07
749.00,0.06
759.00,0.05
769.00,0.06
779.00,0.07
789.00,0.08
799.00,0.07
809.00,0.07
819.00,0.06
829.00,0.06
839.00,0.07
849.00,0.07
859.00,0.06
869.00,0.06
879.00,0.06
889.00,0.07
899.00,0.07
909.00,0.07
919.00,0.07
929.00,0.08
939.00,0.08
949.00,0.06
959.00,0.06
969.00,0.06
979.00,0.06
989.00,0.06
999.00,0.07
