time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,38.30,1
7,0.00,0.00,0.00,0.00,43.85,1
9,0.00,0.00,0.00,0.00,52.77,6
11,0.00,0.00,0.00,0.00,57.98,6
13,0.00,0.00,0.00,0.00,55.90,6
15,0.00,0.00,0.00,0.00,50.32,6
17,0.00,0.00,0.08,1.00,44.78,7
19,0.00,0.00,0.30,3.00,39.40,7
21,0.00,0.00,0.21,2.55,42.67,7
23,0.00,0.00,0.57,4.55,47.82,7
25,0.00,0.00,0.32,3.83,51.94,7
27,0.00,0.00,0.41,3.70,53.37,6
29,0.00,0.00,0.32,3.22,45.52,6
31,0.00,0.00,0.12,1.45,36.88,6
33,0.90,3.61,0.43,3.45,48.95,6
35,0.20,0.62,0.88,5.45,45.63,7
37,1.41,5.63,0.28,3.38,38.96,7
39,1.45,5.80,0.48,5.38,38.50,7
41,2.88,11.52,0.65,7.38,44.75,7
43,2.18,8.71,0.98,9.38,46.28,8
45,0.52,2.10,0.78,6.66,43.97,8
47,1.36,5.46,0.35,3.78,40.14,8
49,1.33,5.31,0.70,5.78,38.99,8
51,0.45,1.55,1.00,7.78,31.27,5
53,3.15,7.38,0.61,4.24,26.56,5
55,4.37,11.96,1.02,6.24,26.70,5
57,5.72,11.87,1.56,8.24,31.62,5
59,5.46,10.83,2.35,10.24,34.99,3
61,2.78,5.64,2.83,11.49,37.75,3
63,2.78,5.63,2.81,13.12,30.90,3
65,4.07,5.63,3.47,15.12,25.74,3
67,2.84,5.63,4.44,17.12,22.72,2
69,4.46,12.32,4.20,19.12,23.52,2
71,7.01,18.84,4.46,21.12,26.18,2
73,7.47,18.77,5.13,23.12,27.46,2
75,6.12,18.71,5.80,25.12,27.22,2
77,3.13,7.01,5.41,27.12,24.67,2
79,4.27,11.56,5.58,29.12,19.38,1
81,4.53,11.62,5.15,31.12,16.40,1
83,4.58,11.62,5.47,33.12,22.07,1
85,7.03,11.62,5.97,35.12,31.60,1
87,5.43,8.42,6.01,37.12,40.44,8
89,1.38,5.52,5.06,39.12,38.76,8
91,1.76,5.52,3.49,41.12,37.30,8
93,2.74,5.52,3.93,43.12,39.38,8
95,1.44,5.52,4.67,45.12,36.83,6
97,1.38,5.52,4.63,47.12,32.87,6
99,2.08,5.52,5.00,49.12,27.47,6
101,2.84,5.44,5.71,51.12,26.33,6
103,2.57,5.33,6.65,53.12,23.91,8
105,5.00,9.87,2.20,11.12,22.20,8
107,7.03,11.13,2.57,13.12,19.14,8
109,6.99,11.12,3.16,15.12,17.71,8
111,6.23,11.12,3.91,17.12,15.38,5
113,4.22,11.12,4.58,19.12,11.03,5
115,5.63,11.41,3.82,21.12,13.23,5
117,6.92,16.58,4.32,23.12,22.01,5
119,7.56,19.12,4.82,25.12,30.21,1
121,4.83,11.12,4.62,27.12,34.65,1
123,2.78,11.12,4.73,29.12,30.18,1
125,4.25,12.14,5.23,31.12,29.14,1
127,5.58,17.22,5.88,33.12,22.52,6
129,3.07,7.20,4.22,27.21,15.80,6
131,3.87,10.14,2.62,14.45,23.19,6
133,7.75,21.31,3.29,16.45,28.68,6
135,8.07,22.84,3.68,18.45,32.83,1
137,7.10,18.96,4.35,20.45,33.20,1
139,3.86,8.31,4.77,22.45,29.02,1
141,6.99,16.77,5.46,24.45,28.03,1
143,8.18,17.11,6.40,26.45,30.28,1
145,6.69,10.50,6.46,28.45,32.27,1
147,5.34,10.50,7.25,30.45,36.27,4
149,5.33,10.50,7.75,32.45,32.68,4
151,7.32,10.50,8.60,34.45,31.30,4
153,8.32,11.97,9.69,36.45,32.32,4
155,8.32,11.96,10.86,38.45,26.29,1
157,9.49,15.19,10.87,40.45,21.68,1
159,11.03,17.30,11.63,42.45,15.79,1
161,16.02,23.15,12.63,44.45,13.94,1
163,18.74,24.40,13.63,46.45,12.23,2
