time,value
9,0.04
13,0.00
17,0.03
21,0.02
25,0.03
29,0.01
33,0.03
37,0.03
41,0.09
45,0.03
49,0.05
53,0.04
57,0.05
61,0.10
65,0.06
69,0.10
73,0.07
77,0.11
81,0.05
85,0.14
89,0.07
93,0.11
97,0.05
101,0.09
105,0.05
109,0.11
113,0.04
117,0.09
121,0.08
125,0.11
129,0.14
133,0.25
137,0.12
141,0.06
145,0.36
149,0.27
153,0.17
157,0.23
161,0.17
165,0.12
169,0.30
173,0.14
177,0.32
181,0.33
185,0.39
189,0.35
193,0.19
197,0.29
201,0.21
205,0.34
209,0.21
213,0.19
217,0.14
221,0.17
225,0.11
229,0.18
233,0.17
237,0.11
241,0.07
245,0.18
249,0.09
253,0.18
257,0.25
261,0.20
265,0.26
269,0.29
273,0.26
277,0.28
281,0.14
285,0.20
289,0.18
293,0.28
297,0.28
301,0.20
305,0.25
309,0.21
313,0.33
317,0.25
321,0.19
325,0.18
329,0.32
333,0.32
337,0.22
341,0.26
345,0.26
349,0.25
353,0.27
357,0.24
361,0.26
365,0.25
369,0.24
373,0.27
377,0.19
381,0.28
385,0.27
389,0.19
393,0.28
397,0.17
401,0.35
405,0.32
409,0.29
413,0.27
417,0.31
421,0.27
425,0.18
429,0.28
433,0.40
437,0.20
441,0.29
445,0.25
449,0.24
453,0.26
457,0.22
461,0.18
465,0.16
469,0.15
473,0.14
477,0.22
481,0.15
485,0.21
489,0.26
493,0.16
497,0.35
501,0.17
505,0.21
509,0.18
513,0.21
517,0.20
521,0.14
525,0.26
529,0.25
533,0.24
537,0.29
541,0.19
545,0.29
549,0.23
553,0.24
557,0.36
561,0.18
565,0.28
569,0.56
573,0.20
577,0.29
581,0.29
585,0.28
589,0.21
593,0.30
597,0.19
601,0.39
605,0.55
609,0.24
613,0.36
617,0.37
621,0.17
625,0.37
629,0.36
633,0.23
637,0.40
641,0.36
645,0.42
649,0.48
653,0.33
657,0.32
661,0.24
665,0.27
669,0.32
673,0.30
677,0.26
681,0.30
685,0.11
689,0.38
693,0.36
697,0.31
701,0.54
705,0.28
709,0.19
713,0.32
717,0.34
721,0.27
725,0.28
729,0.18
733,0.26
737,0.25
741,0.24
745,0.24
749,0.24
753,0.21
757,0.31
761,0.20
765,0.28
769,0.24
773,0.25
777,0.16
781,0.28
785,0.13
789,0.28
793,0.26
797,0.33
801,0.26
805,0.17
809,0.21
813,0.26
817,0.24
821,0.29
825,0.27
829,0.36
833,0.36
837,0.40
841,0.31
845,0.22
849,0.39
853,0.40
857,0.72
861,0.53
865,0.24
869,0.38
873,0.37
877,0.34
881,0.36
885,0.20
889,0.31
893,0.34
897,0.20
901,0.28
905,0.32
909,0.28
913,0.24
917,0.14
921,0.25
925,0.27
929,0.28
933,0.17
937,0.29
941,0.27
945,0.27
949,0.17
953,0.26
957,0.24
961,0.25
965,0.21
969,0.35
973,0.20
977,0.21
981,0.22
985,0.21
989,0.13
993,0.33
997,0.20
