time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,40.92,1
7,0.00,0.00,0.00,0.00,50.95,1
9,0.00,0.00,0.00,0.00,56.75,1
11,0.00,0.00,0.00,0.00,57.95,1
13,0.00,0.00,0.00,0.00,52.35,1
15,0.00,0.00,0.00,0.00,44.85,1
17,0.00,0.00,0.00,0.03,43.19,1
19,0.80,3.21,0.17,2.03,41.35,1
21,2.12,8.50,0.34,4.03,36.52,3
23,2.94,11.76,0.57,6.03,30.49,3
25,4.00,16.01,0.67,8.03,25.60,3
27,5.14,20.57,1.01,10.03,25.27,3
29,6.96,24.03,1.30,9.51,20.82,3
31,5.69,11.85,1.55,8.47,22.57,3
33,7.21,17.17,1.70,7.10,22.30,3
35,7.18,17.09,2.20,9.10,22.48,3
37,7.18,17.09,1.96,11.10,24.32,3
39,7.54,18.49,2.39,13.10,24.85,3
41,8.79,23.53,2.65,15.10,25.70,3
43,8.77,23.42,3.15,17.10,19.29,2
45,8.77,23.42,3.43,19.10,17.18,2
47,9.36,25.78,3.52,21.10,20.14,2
49,11.76,28.85,4.03,23.10,21.21,2
51,11.78,28.81,4.35,25.10,21.07,2
53,11.78,28.81,4.85,27.10,20.31,4
55,11.78,28.81,5.35,29.10,16.78,4
57,11.78,28.81,5.85,31.10,17.82,4
59,13.13,28.81,6.35,33.10,14.99,4
61,12.60,28.78,6.34,32.62,15.19,1
63,7.32,26.74,5.53,32.71,15.89,1
65,9.19,31.58,4.51,25.94,20.25,1
67,9.98,31.90,4.49,19.69,22.21,1
69,12.54,38.67,3.69,20.17,23.72,1
71,12.48,38.45,3.85,22.17,24.81,1
73,12.48,38.45,4.35,24.17,22.48,1
75,12.92,40.22,5.01,26.17,21.31,1
77,15.43,50.25,5.51,28.17,23.61,1
79,16.96,51.62,6.31,30.17,23.80,3
81,18.86,51.62,7.31,32.17,20.81,3
83,18.80,51.62,8.00,34.17,18.83,3
85,19.55,54.69,9.10,36.17,14.96,3
87,26.48,69.93,7.58,34.88,11.16,3
89,30.74,83.86,8.12,34.82,10.29,3
91,34.07,92.36,8.85,33.94,11.35,3
93,35.26,94.54,9.56,35.94,11.36,3
95,38.68,101.95,10.84,37.94,13.67,3
97,40.68,110.17,12.06,39.94,14.63,2
99,41.28,112.58,12.83,41.94,12.23,2
101,41.28,112.56,12.42,43.94,12.34,2
103,42.23,112.56,13.76,45.94,10.90,2
105,46.19,119.96,14.28,47.94,8.95,2
107,50.31,129.75,15.44,49.94,6.68,4
109,52.05,131.41,16.67,51.94,7.06,4
111,53.80,130.42,18.00,53.94,7.90,4
113,45.58,95.94,19.34,55.94,8.52,4
115,37.28,75.75,20.11,51.92,11.07,4
117,38.39,75.54,18.07,42.01,11.06,4
119,40.86,77.68,18.83,44.01,12.56,4
121,45.60,87.80,19.42,46.01,11.70,4
123,49.68,94.74,19.97,48.01,11.76,1
125,56.37,109.35,21.12,50.01,9.39,1
127,61.36,120.07,22.22,52.01,8.62,1
129,63.98,129.20,23.55,54.01,10.85,1
131,63.66,132.94,20.04,47.18,11.41,1
133,64.17,135.01,16.22,45.65,10.98,3
135,66.60,143.91,17.24,45.82,10.84,3
137,70.86,150.06,17.90,45.96,11.12,3
139,72.89,155.98,19.06,47.96,11.05,3
141,75.56,159.51,20.16,49.59,10.32,3
143,76.06,159.49,20.80,51.50,10.80,3
145,76.64,159.49,21.89,53.50,9.87,3
147,59.25,159.49,22.26,55.50,9.85,3
149,58.76,159.49,23.74,57.50,9.51,3
151,61.25,159.49,24.73,59.50,10.63,3
153,64.01,159.49,25.97,61.50,10.34,3
155,65.43,159.49,26.61,63.50,9.08,2
157,66.44,159.49,27.34,65.50,9.25,2
159,67.20,159.49,28.22,67.50,8.43,2
161,70.13,159.22,29.55,69.50,7.46,2
163,57.32,104.26,30.70,71.50,7.07,4
