time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,46.65,4,
5,0.00,0.00,0.00,0.00,57.32,4,
7,0.00,0.00,0.00,0.00,62.27,4,
9,0.00,0.00,0.00,0.00,56.08,4,4.00
11,0.00,0.00,0.00,0.00,50.53,4,
13,0.00,0.00,0.00,0.00,45.25,5,
15,0.00,0.00,0.10,1.15,51.81,5,
17,0.00,0.00,0.10,1.21,50.67,5,
19,0.00,0.00,0.00,0.00,46.71,5,3.16
21,0.00,0.00,0.01,0.17,45.87,5,
23,0.62,2.48,0.18,2.17,44.31,4,
25,1.24,4.94,0.42,4.17,48.60,4,
27,0.10,0.42,0.51,6.17,48.77,4,
29,0.22,0.88,0.06,0.62,45.95,4,2.96
31,1.32,5.30,0.18,2.12,40.72,4,
33,1.97,7.89,0.34,4.12,37.23,5,
35,2.87,11.47,0.63,6.12,41.36,5,
37,2.06,7.75,1.06,8.12,43.08,5,
39,1.43,3.65,1.21,6.88,40.90,5,2.79
41,2.39,5.71,0.65,4.58,37.60,5,
43,2.80,5.70,0.84,6.58,33.70,4,
45,3.11,5.60,1.37,8.58,30.78,4,
47,3.96,10.37,2.21,10.58,23.99,4,
49,5.15,10.19,1.53,5.63,20.93,4,2.23
51,6.98,13.48,2.09,7.63,22.79,4,
53,8.20,18.34,2.44,9.63,22.84,5,
55,8.17,18.22,2.89,11.63,25.65,5,
57,9.37,18.20,3.56,13.63,28.62,5,
59,7.19,11.58,4.03,15.63,30.00,5,2.10
61,5.44,11.57,4.44,17.63,28.66,5,
63,5.44,11.57,4.07,19.63,28.25,2,
65,5.44,11.57,4.81,21.63,28.92,2,
67,5.77,11.57,5.64,23.63,28.87,2,
69,7.04,16.59,5.07,25.63,26.04,2,1.47
71,7.29,17.58,2.95,18.20,21.54,2,
73,8.38,17.58,2.98,20.20,20.49,4,
75,10.01,17.58,3.93,22.20,22.09,4,
77,10.40,17.55,4.93,24.20,25.99,4,
