time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,50.40,4,
5,0.00,0.00,0.00,0.00,55.94,4,
7,0.00,0.00,0.00,0.00,57.52,4,
9,0.00,0.00,0.00,0.00,59.19,4,4.00
11,0.00,0.00,0.00,0.00,50.90,4,
13,0.00,0.00,0.00,0.00,42.47,8,
15,0.00,0.00,0.03,0.19,47.55,8,
17,0.00,0.00,0.18,2.17,53.21,8,
19,0.00,0.00,0.00,0.00,50.62,8,4.00
21,0.00,0.00,0.00,0.00,39.13,8,
23,0.00,0.00,0.00,0.00,60.00,4,
25,0.00,0.00,0.04,0.53,60.00,4,
27,0.00,0.00,0.00,0.00,60.00,4,
29,0.00,0.00,0.00,0.00,41.05,4,4.00
31,0.00,0.00,0.00,0.00,49.28,4,
33,0.00,0.00,0.00,0.00,57.55,5,
35,0.00,0.00,0.00,0.00,58.85,5,
37,0.00,0.00,0.00,0.00,52.93,5,
39,0.00,0.00,0.00,0.00,47.26,5,2.95
41,0.00,0.00,0.00,0.00,52.63,5,
43,0.00,0.00,0.18,1.56,50.07,8,
45,0.00,0.00,0.08,0.92,58.98,8,
47,0.00,0.00,0.24,2.92,50.47,8,
49,0.00,0.00,0.01,0.10,48.44,8,3.60
51,0.00,0.00,0.00,0.00,41.19,8,
53,0.33,1.31,0.15,1.76,42.55,5,
55,1.50,6.00,0.35,3.76,42.14,5,
57,1.47,5.89,0.63,5.76,41.07,5,
59,1.47,5.89,0.65,7.76,35.40,5,2.21
61,1.84,5.89,0.97,9.76,29.11,5,
63,2.78,5.89,1.43,11.76,27.53,2,
65,4.06,11.10,1.91,13.76,30.00,2,
67,5.10,10.57,2.43,15.76,29.13,2,
69,3.36,8.30,2.35,9.85,29.19,2,1.85
71,4.88,10.48,2.43,11.85,32.97,2,
73,5.12,10.47,3.26,13.85,29.36,8,
75,5.10,10.47,4.12,15.85,32.65,8,
77,4.06,10.47,4.57,17.85,31.04,8,
79,3.90,10.47,4.70,19.85,27.78,8,1.83
81,4.01,10.47,5.32,21.85,19.07,8,
83,6.60,15.40,6.07,23.85,17.83,1,
85,7.41,17.17,7.00,25.85,19.58,1,
87,7.09,17.09,5.93,27.85,19.17,1,
89,3.71,5.58,5.86,29.85,17.05,1,2.24
91,3.88,5.22,4.75,31.85,16.30,1,
93,4.61,7.79,4.54,33.85,17.75,5,
95,5.46,11.21,5.21,35.85,22.31,5,
97,6.68,16.07,5.87,37.85,25.44,5,
99,4.44,7.12,5.96,39.85,28.45,5,2.40
101,2.66,5.50,6.26,41.85,33.10,5,
103,2.66,5.50,6.28,43.85,33.88,7,
105,2.64,5.50,6.94,45.85,34.44,7,
107,2.60,5.50,7.73,47.85,33.44,7,
109,3.85,7.13,4.41,22.44,31.75,7,1.63
111,5.84,12.16,5.11,24.44,28.23,7,
113,7.05,17.04,5.82,26.44,24.10,5,
115,9.12,24.30,6.65,28.44,20.79,5,
117,10.87,24.34,7.64,30.44,23.01,5,
119,17.08,23.77,8.33,32.44,23.41,5,1.48
121,11.29,22.70,8.52,34.44,22.70,5,
123,11.28,22.66,9.22,36.44,17.85,8,
125,11.83,22.66,9.45,38.44,15.05,8,
127,11.42,22.66,10.45,40.44,11.58,8,
129,12.85,23.36,9.50,42.44,10.70,8,1.45
131,12.79,23.15,10.33,44.44,11.86,8,
133,12.79,23.15,11.19,46.44,16.54,6,
135,14.06,23.15,12.13,48.44,21.00,6,
137,14.13,23.15,13.30,50.44,24.61,6,
139,10.09,23.15,9.71,26.95,25.62,6,2.11
141,8.49,23.15,7.76,28.95,25.18,6,
143,8.49,23.15,8.76,30.95,23.38,1,
145,8.82,23.15,8.60,32.95,21.39,1,
147,11.68,23.15,9.89,34.95,15.95,1,
