time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,41.57,1
9,0.00,0.00,0.00,0.00,50.08,3
11,0.00,0.00,0.00,0.00,57.99,3
13,0.00,0.00,0.00,0.00,59.61,3
15,0.00,0.00,0.00,0.00,52.00,3
17,0.00,0.00,0.00,0.00,39.06,2
19,0.00,0.00,0.12,1.42,26.27,2
21,0.66,2.64,0.29,3.42,15.21,2
23,2.77,11.08,0.56,5.42,8.04,2
25,2.71,10.83,0.86,7.42,13.64,2
27,2.71,10.83,0.79,9.42,25.08,2
29,2.71,10.83,0.95,11.42,34.87,2
31,2.71,10.83,1.12,13.42,34.42,2
33,2.71,10.83,1.29,15.42,31.99,4
35,2.71,10.83,1.53,17.42,22.56,4
37,2.71,10.83,1.86,19.42,22.52,4
39,2.06,8.23,2.20,21.42,29.92,4
41,0.21,0.85,2.38,21.61,33.79,4
43,0.00,0.00,1.02,8.94,45.26,4
45,0.00,0.00,0.91,10.94,47.38,1
47,0.00,0.00,1.08,12.94,50.87,1
49,0.00,0.00,1.25,14.94,45.33,1
51,0.00,0.00,1.57,16.94,40.91,1
53,0.49,1.97,1.90,18.94,33.22,1
55,1.41,4.40,2.43,20.94,21.73,3
57,3.79,9.59,2.85,22.94,18.12,3
59,4.81,13.89,3.54,24.94,16.39,3
61,4.25,17.01,2.65,11.92,22.03,3
63,3.03,11.01,3.14,13.92,25.49,3
65,3.97,11.01,2.93,15.92,25.05,2
67,3.95,11.01,3.02,17.92,21.83,2
69,4.04,11.38,3.52,19.92,18.44,2
71,5.62,17.72,4.02,21.92,12.11,2
73,5.56,17.49,3.21,23.92,8.47,4
75,7.54,25.38,3.54,25.92,8.07,4
77,8.55,30.41,3.96,27.92,14.58,4
79,7.59,30.35,2.74,29.92,25.29,4
81,7.58,30.32,2.58,25.99,31.45,4
83,6.81,27.23,1.88,15.56,33.94,4
85,1.41,5.66,1.84,13.05,34.76,4
87,1.41,5.66,1.85,11.25,35.36,4
89,2.04,8.16,2.19,13.25,35.51,4
91,4.58,18.31,1.33,14.98,36.38,1
93,4.68,18.70,1.66,16.98,34.81,1
95,4.68,18.70,1.73,18.98,32.83,1
97,5.26,21.02,2.15,20.98,26.25,1
99,6.22,24.87,2.40,22.98,20.57,3
101,7.88,24.82,2.90,24.98,16.49,3
103,9.05,24.82,3.48,26.98,15.78,3
105,11.91,30.62,4.14,28.98,16.93,3
107,13.81,31.76,4.89,30.98,21.46,3
109,9.96,31.76,5.48,32.98,24.16,3
111,9.19,31.76,6.15,34.98,23.30,2
113,9.28,31.76,6.44,36.98,19.43,2
115,9.26,31.76,7.49,38.98,15.99,2
117,9.65,31.76,8.78,40.98,14.81,2
119,14.95,43.49,8.43,33.48,19.22,2
121,18.45,51.92,9.55,32.98,19.03,4
123,19.43,54.13,10.50,30.35,15.30,4
125,20.28,57.54,9.14,31.80,11.16,4
127,21.79,66.43,10.31,33.80,9.90,4
129,24.82,76.97,10.81,33.97,10.56,4
131,27.49,78.66,11.00,34.91,10.85,4
133,29.10,78.65,11.65,30.87,12.30,4
135,29.05,78.65,11.74,32.87,14.67,4
137,30.04,82.61,12.75,34.87,16.13,4
139,30.75,85.45,13.81,36.87,19.61,1
141,19.95,42.24,14.68,38.87,21.24,1
143,10.59,18.80,15.84,40.87,21.46,1
145,12.67,23.27,17.17,42.87,21.24,1
147,12.44,25.78,16.80,44.87,18.76,3
149,13.09,29.30,17.69,46.87,13.67,3
151,14.22,26.68,15.25,48.87,12.37,3
153,15.45,35.54,13.98,40.04,14.77,3
155,18.20,36.37,10.12,33.10,14.61,3
157,17.72,36.32,10.48,35.10,16.67,3
159,17.69,35.69,11.10,37.10,14.17,3
161,18.52,39.05,11.84,39.10,10.73,2
163,21.51,51.00,12.83,41.10,10.31,2
