time,calc_time
1.00,0.19
9.00,0.11
19.00,0.09
29.00,0.08
39.00,0.10
49.00,0.13
59.00,0.11
69.00,0.11
79.00,0.11
89.00,0.09
99.00,0.09
109.00,0.10
119.00,0.09
129.00,0.08
139.00,0.10
149.00,0.11
159.00,0.11
169.00,0.11
179.00,0.09
189.00,0.10
199.00,0.10
209.00,0.11
219.00,0.09
229.00,0.09
239.00,0.10
249.00,0.09
259.00,0.10
269.00,0.09
279.00,0.11
289.00,0.13
299.00,0.10
309.00,0.12
319.00,0.12
329.00,0.12
339.00,0.09
349.00,0.10
359.00,0.11
369.00,0.09
379.00,0.12
389.00,0.09
399.00,0.09
409.00,0.09
419.00,0.08
429.00,0.08
439.00,0.11
449.00,0.10
459.00,0.09
469.00,0.10
479.00,0.09
489.00,0.09
499.00,0.09
509.00,0.09
519.00,0.08
529.00,0.08
539.00,0.10
549.00,0.09
559.00,0.36
569.00,0.11
579.00,0.12
589.00,0.10
599.00,0.09
609.00,0.11
619.00,0.11
629.00,0.10
639.00,0.08
649.00,0.12
659.00,0.10
669.00,0.13
679.00,0.09
689.00,0.09
699.00,0.11
709.00,0.09
719.00,0.08
729.00,0.09
739.00,0.10
749.00,0.08
759.00,0.09
769.00,0.08
779.00,0.14
789.00,0.13
799.00,0.09
809.00,0.15
819.00,0.09
829.00,0.13
839.00,0.09
849.00,0.09
859.00,0.36
869.00,0.09
879.00,0.11
889.00,0.09
899.00,0.10
909.00,0.09
919.00,0.09
929.00,0.08
939.00,0.09
949.00,0.10
959.00,0.08
969.00,0.12
979.00,0.09
989.00,0.12
999.00,0.09
