time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.51
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.02
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.96
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.57
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.91
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.85
19,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.43,0.56,1.30,43.49
21,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.41,0.52,1.22,28.91
23,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.13,0.06,0.39,12.30
25,0.33,0.00,0.17,0.33,0.00,1.95,0.00,0.65,0.84,1.95,21.77
27,5.92,0.00,2.96,5.92,0.00,3.95,0.00,1.32,1.69,3.95,34.00
29,5.70,0.00,2.85,5.70,0.00,5.95,0.00,1.98,2.55,5.95,43.87
31,5.70,0.00,2.85,5.70,0.00,7.95,0.00,2.65,3.41,7.95,42.75
33,5.70,0.00,2.85,5.70,0.00,9.95,0.00,3.32,4.27,9.95,37.92
35,5.61,0.00,2.80,5.61,0.00,11.95,0.00,3.98,5.12,11.95,43.90
37,0.48,0.00,0.24,0.48,1.93,13.95,0.00,5.30,6.26,13.95,37.59
39,0.00,0.00,0.00,0.00,3.93,0.00,0.00,1.31,0.56,3.93,27.93
41,0.00,1.78,0.89,1.78,0.00,0.00,0.67,0.22,0.29,0.67,21.11
43,0.00,10.03,5.02,10.03,0.00,0.00,2.67,0.89,1.15,2.67,34.54
45,0.00,11.63,5.82,11.63,0.00,0.00,4.67,1.56,2.00,4.67,31.32
47,0.00,11.63,5.81,11.63,0.00,0.00,6.67,2.22,2.86,6.67,32.62
49,0.00,11.63,5.81,11.63,0.00,0.00,8.67,2.89,3.72,8.67,27.27
51,0.00,16.85,8.42,16.85,0.00,0.00,10.67,3.56,4.57,10.67,20.46
53,0.00,17.12,8.56,17.12,0.07,0.00,12.67,4.25,5.44,12.67,10.81
55,0.00,17.12,8.56,17.12,2.07,0.00,14.67,5.58,6.59,14.67,14.14
57,0.00,23.72,11.86,23.72,0.00,0.00,16.67,5.56,7.15,16.67,18.56
59,0.00,18.50,9.25,18.50,0.00,1.67,19.06,6.91,8.88,19.06,23.57
61,0.00,0.00,0.00,0.00,0.00,0.00,11.64,3.88,4.99,11.64,33.86
63,0.00,0.00,0.00,0.00,0.00,0.00,8.61,2.87,3.69,8.61,46.84
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.69
67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.30
69,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.60,0.77,1.79,45.92
71,0.00,0.00,0.00,0.00,0.00,0.00,3.79,1.26,1.62,3.79,29.23
