time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,41.89,1
7,0.00,0.00,0.00,0.00,52.62,1
9,0.00,0.00,0.00,0.00,60.16,1
11,0.00,0.00,0.00,0.00,54.72,1
13,0.00,0.00,0.00,0.00,52.63,1
15,0.00,0.00,0.00,0.00,50.42,1
17,0.00,0.00,0.10,1.20,48.76,1
19,0.96,3.85,0.27,3.20,45.21,1
21,2.22,8.89,0.51,5.20,36.53,3
23,2.88,11.51,0.60,7.20,28.24,3
25,3.24,12.96,0.86,9.20,24.55,3
27,4.61,18.44,1.19,11.20,27.34,3
29,3.51,14.02,1.37,10.54,24.42,3
31,2.25,4.59,0.96,7.05,22.93,3
33,3.78,10.78,1.46,9.05,25.71,3
35,3.91,11.30,1.96,11.05,25.40,3
37,3.91,11.29,2.46,13.05,22.16,3
39,3.91,11.29,2.97,15.05,22.39,3
41,3.91,11.29,3.46,17.05,22.55,2
43,3.91,11.29,3.96,19.05,19.90,2
45,5.31,16.89,4.49,21.05,20.62,2
47,5.84,17.99,5.09,23.05,21.54,2
49,5.85,17.99,5.61,23.36,26.93,2
51,5.85,17.99,4.34,22.84,25.62,2
53,6.49,17.99,4.66,24.84,22.97,4
55,7.32,17.99,5.16,26.84,18.27,4
57,7.31,17.99,5.66,28.84,24.74,4
59,7.29,17.92,6.29,30.84,25.96,4
61,8.70,23.19,6.45,32.84,26.27,4
63,7.24,17.39,6.47,34.84,24.38,4
65,5.66,17.26,5.92,36.84,18.53,4
67,6.01,17.26,6.85,38.84,11.87,1
69,9.25,26.49,6.90,40.84,9.51,1
71,12.55,29.72,7.73,42.84,10.88,1
73,11.78,29.70,8.56,44.84,11.65,1
75,12.82,29.64,6.50,29.56,17.78,1
77,9.94,17.92,6.88,31.56,16.85,1
79,9.88,17.69,6.11,33.56,19.95,1
81,9.88,17.69,6.50,35.56,14.14,1
83,11.39,23.21,6.09,37.56,12.97,1
85,11.48,23.58,6.52,39.56,14.75,3
87,11.95,23.58,7.02,41.56,15.00,3
89,12.65,23.58,7.64,43.56,18.42,3
91,10.41,23.58,8.35,45.56,19.54,3
93,7.37,23.58,6.60,41.52,20.81,3
95,5.89,23.58,5.13,37.14,21.01,3
97,5.89,23.58,3.80,39.14,22.51,2
99,5.89,23.58,4.41,41.14,25.81,2
101,5.89,23.58,4.57,43.14,32.52,2
103,5.89,23.58,4.80,45.14,35.95,2
105,4.59,18.38,4.38,37.96,41.63,2
107,2.38,5.16,4.76,38.59,40.76,2
109,2.49,5.16,3.25,18.52,32.18,2
111,2.49,5.16,2.41,20.52,25.49,4
113,4.21,10.32,3.08,22.52,21.36,4
115,6.24,10.93,3.57,24.52,27.87,4
117,4.35,9.54,4.24,26.52,34.86,4
119,1.25,5.01,2.03,9.77,36.24,4
121,1.33,5.01,0.86,9.06,32.33,4
123,2.61,5.43,1.31,11.06,28.80,4
125,2.55,5.20,1.54,13.06,24.16,4
127,3.33,5.20,2.04,15.06,25.79,1
129,3.86,5.25,2.55,17.06,24.70,1
131,3.84,5.20,3.22,19.06,32.81,1
133,5.33,10.37,4.01,21.06,32.39,1
135,5.69,11.80,4.00,23.06,29.26,3
137,5.68,11.80,4.73,25.06,24.59,3
139,6.70,11.80,5.59,27.06,28.28,3
141,4.37,11.80,6.59,29.06,28.09,3
143,5.17,15.49,6.10,31.06,28.70,3
145,5.82,18.09,6.75,33.06,26.58,2
147,5.87,18.07,7.37,35.06,22.15,2
149,7.43,18.07,8.21,37.06,22.16,2
151,7.89,18.04,9.17,39.06,22.47,2
153,6.92,16.03,5.04,21.52,20.71,2
155,7.94,17.98,3.79,16.27,16.86,2
157,10.00,23.52,3.22,18.27,11.68,2
159,10.11,23.97,2.88,20.27,13.52,2
161,12.21,29.34,3.28,22.27,16.45,4
163,12.98,29.18,3.82,24.27,15.87,4
