time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,60.00,1
9,0.00,0.00,0.00,0.00,60.00,1
11,0.00,0.00,0.00,0.00,60.00,1
13,0.00,0.00,0.00,0.00,60.00,3
15,0.00,0.00,0.00,0.00,60.00,3
17,0.00,0.00,0.00,0.00,60.00,3
19,0.00,0.00,0.00,0.00,60.00,3
21,0.00,0.00,0.00,0.00,60.00,3
23,0.00,0.00,0.00,0.00,60.00,3
25,0.00,0.00,0.00,0.00,58.83,3
27,0.00,0.00,0.00,0.00,61.46,3
29,0.00,0.00,0.00,0.00,52.24,3
31,0.00,0.00,0.00,0.00,51.25,3
33,0.00,0.00,0.00,0.00,46.73,3
35,0.00,0.00,0.00,0.00,42.39,3
37,0.54,2.15,0.14,1.70,34.83,2
39,1.41,5.62,0.31,3.70,28.92,2
41,2.24,8.94,0.48,5.70,26.49,2
43,2.97,11.89,0.81,7.70,28.44,2
45,2.97,11.87,0.81,9.70,29.35,2
47,2.97,11.87,0.99,11.70,34.66,2
49,2.97,11.87,1.34,13.70,35.93,2
51,2.97,11.87,1.66,15.70,38.59,2
53,2.97,11.87,1.99,17.70,38.71,2
55,2.97,11.87,2.40,19.70,33.45,2
57,4.34,17.36,3.03,21.70,29.92,2
59,5.03,18.39,4.00,23.70,21.59,4
61,5.92,18.39,4.42,25.70,19.05,4
63,6.52,20.95,4.97,27.70,18.75,4
65,6.68,24.28,5.81,29.70,17.04,4
67,7.08,24.23,5.84,31.70,14.88,4
69,7.07,24.23,6.52,33.70,13.07,4
71,7.17,24.62,7.18,35.70,10.51,4
73,7.83,27.27,7.85,37.70,7.94,4
75,8.71,30.79,8.52,39.70,7.86,4
77,8.70,30.74,9.18,41.70,5.40,4
79,8.70,30.74,9.87,43.70,10.76,1
81,8.78,30.74,10.62,45.70,13.25,1
83,10.04,30.74,11.45,47.70,16.65,1
85,8.81,30.74,12.28,49.70,19.66,1
87,8.70,30.74,12.24,48.45,22.07,1
89,9.74,34.91,10.99,42.23,22.65,1
91,10.51,37.97,8.62,44.23,20.77,1
93,12.59,46.32,8.37,46.23,20.96,3
95,13.67,50.63,7.22,48.23,21.75,3
97,13.41,50.58,7.34,50.23,23.10,3
99,12.78,50.58,4.83,52.23,18.23,3
101,16.95,59.07,4.68,43.03,15.46,3
103,18.61,63.97,4.88,40.82,15.50,3
105,21.63,70.20,5.16,37.48,16.17,3
107,23.04,69.96,5.67,34.67,15.81,3
109,23.00,69.96,6.61,36.67,16.53,3
111,24.03,74.06,6.38,23.98,18.63,3
113,26.31,79.99,7.13,22.99,22.08,3
115,25.26,72.34,7.77,20.65,22.37,2
117,11.57,17.58,8.77,22.65,19.95,2
119,13.46,25.15,9.50,24.48,21.26,2
121,13.40,24.92,10.67,26.48,20.49,2
123,13.64,24.92,10.78,28.48,18.44,2
125,14.85,24.92,11.62,30.48,15.48,2
127,16.15,24.92,12.90,32.48,13.88,2
129,17.18,27.16,13.09,34.48,13.75,2
131,20.94,31.82,14.09,36.48,14.03,2
133,22.32,31.75,15.09,38.48,13.47,2
135,23.75,31.75,16.09,40.48,11.87,4
137,24.95,31.75,17.14,42.48,12.72,4
139,26.94,34.11,18.09,44.48,13.77,4
141,27.79,37.57,19.28,46.48,14.54,4
143,27.42,37.51,16.21,48.48,14.71,4
145,22.55,37.13,16.05,50.48,15.24,4
147,19.56,31.75,16.46,52.48,14.99,4
149,20.75,31.75,15.69,54.48,15.33,4
151,21.41,31.75,16.86,56.48,12.06,4
153,23.34,31.75,17.89,58.48,9.68,4
155,25.59,34.95,17.62,60.48,8.02,1
157,27.55,42.89,18.80,62.48,4.94,1
159,31.75,54.45,20.21,64.48,4.32,1
161,33.03,57.67,21.78,66.48,4.58,1
163,33.95,61.66,23.06,66.50,8.34,1
