time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,36.45,7,
5,0.00,0.00,0.00,0.00,47.73,7,
7,0.00,0.00,0.00,0.00,56.43,7,
9,0.00,0.00,0.00,0.00,58.00,7,4.00
11,0.00,0.00,0.00,0.00,55.30,7,
13,0.00,0.00,0.00,0.00,50.11,6,
15,0.00,0.00,0.08,0.99,46.81,6,
17,0.00,0.00,0.25,2.99,55.12,6,
19,0.00,0.00,0.08,1.00,49.06,6,3.62
21,0.00,0.00,0.05,0.64,47.86,6,
23,0.00,0.00,0.06,0.71,46.32,7,
25,0.00,0.00,0.03,0.40,44.34,7,
27,0.00,0.00,0.14,1.67,41.85,7,
29,0.27,1.06,0.14,1.26,37.89,7,3.21
31,1.19,4.76,0.20,2.42,42.42,7,
33,1.16,4.65,0.37,4.42,40.94,6,
35,2.68,10.71,0.53,6.42,42.73,6,
37,2.05,8.21,0.70,8.42,47.56,6,
39,0.00,0.00,0.53,6.03,40.39,6,2.84
41,0.94,3.75,0.26,1.88,39.12,6,
43,1.34,5.38,0.76,3.88,34.72,5,
45,1.94,5.58,1.05,5.88,40.74,5,
47,1.80,5.70,1.55,7.88,32.63,5,
49,1.41,5.65,0.46,5.47,29.29,5,2.33
51,2.01,5.65,0.87,7.47,26.93,5,
53,5.27,10.80,1.37,9.47,25.66,7,
55,5.69,11.88,1.92,11.47,23.56,7,
57,5.96,10.59,2.58,13.47,22.86,7,
59,4.93,14.65,2.70,9.72,25.89,7,1.50
61,5.52,17.00,2.69,11.72,23.49,7,
63,5.51,16.99,2.96,13.72,21.13,6,
65,5.96,16.99,3.59,15.72,28.67,6,
67,5.32,16.94,4.39,17.72,33.82,6,
69,2.67,6.39,2.06,19.24,35.23,6,2.65
71,1.41,4.69,1.98,14.81,31.71,6,
73,4.25,11.29,1.08,9.54,28.59,7,
75,4.50,11.10,1.41,11.54,33.36,7,
77,4.91,11.68,1.91,13.54,35.40,7,
79,2.90,11.58,1.92,9.60,32.69,7,2.37
81,2.90,11.58,1.86,11.43,32.87,7,
83,3.62,11.58,2.31,13.43,28.11,6,
85,3.88,11.58,2.06,15.43,31.14,6,
87,2.90,11.58,2.56,17.43,28.38,6,
89,4.00,11.58,1.90,19.43,25.05,6,2.71
91,5.44,11.58,2.55,21.43,24.66,6,
93,6.91,17.55,3.21,23.43,26.62,3,
95,7.18,18.73,3.40,25.43,29.85,3,
97,5.87,18.71,3.92,27.43,28.02,3,
99,3.12,6.29,3.49,25.47,28.61,3,2.94
101,3.88,5.58,2.86,13.81,31.02,3,
103,3.86,5.58,2.46,15.81,28.71,6,
105,3.81,5.49,3.11,17.81,31.88,6,
107,2.68,5.72,3.94,19.81,29.51,6,
109,3.99,11.17,2.63,21.81,26.89,6,2.97
111,5.84,18.56,2.85,23.81,26.11,6,
113,5.86,18.67,3.20,25.81,22.29,5,
115,6.88,18.67,3.70,27.81,26.88,5,
117,7.14,18.60,4.42,29.81,28.68,5,
119,4.99,9.05,5.30,31.81,28.45,5,2.70
121,4.15,11.83,5.35,33.81,29.72,5,
123,4.15,11.82,4.68,35.81,32.62,6,
125,4.15,11.82,5.39,37.81,36.78,6,
127,3.65,9.65,6.22,39.81,39.84,6,
129,1.24,4.95,5.05,41.81,38.61,6,2.68
131,1.24,4.95,4.56,43.81,33.98,6,
133,2.13,6.33,5.01,45.81,25.03,8,
135,4.00,11.29,5.57,47.81,22.74,8,
137,4.53,9.37,6.57,49.81,18.26,8,
139,2.87,5.77,2.44,6.44,21.42,8,2.91
141,3.56,8.47,2.35,7.98,24.46,8,
143,4.92,10.48,2.86,9.98,26.45,6,
145,6.75,11.49,3.37,11.98,32.93,6,
147,5.67,10.61,4.20,13.98,32.75,6,
149,1.74,5.03,2.14,10.12,30.05,6,2.56
151,3.87,10.45,1.75,10.18,31.59,6,
153,3.87,10.47,2.17,12.18,33.50,5,
155,3.86,10.47,2.80,14.18,38.89,5,
157,4.60,8.01,3.63,16.18,34.36,5,
159,2.55,5.55,2.26,11.82,27.14,5,1.82
161,2.55,5.55,2.03,10.56,23.31,5,
163,5.92,12.57,2.96,12.56,23.65,4,
165,9.10,20.84,3.70,14.56,28.67,4,
167,9.05,24.53,4.65,16.56,30.60,4,
169,7.42,24.48,3.60,15.45,30.34,4,1.73
171,7.92,24.48,3.66,17.45,26.72,4,
173,8.72,24.48,4.49,19.45,21.54,2,
175,10.00,24.48,5.64,21.45,19.45,2,
177,10.45,24.48,7.27,23.45,14.84,2,
179,12.30,24.18,7.59,20.56,16.89,2,1.08
181,9.72,11.96,8.94,21.06,18.05,2,
183,10.04,11.96,8.54,23.06,16.41,4,
185,10.03,11.96,9.99,25.06,22.19,4,
187,9.82,11.96,11.21,27.06,22.78,4,
189,7.43,12.56,10.99,29.06,23.97,4,2.14
191,8.86,18.29,10.28,31.06,24.45,4,
193,8.82,18.13,10.80,33.06,23.25,5,
195,9.71,18.13,11.52,35.06,22.60,5,
197,11.89,22.56,12.52,37.06,23.33,5,
199,14.19,24.53,11.12,39.06,24.94,5,2.28
201,11.02,24.52,8.28,41.06,27.10,5,
203,10.13,24.52,8.19,43.06,29.50,6,
205,10.13,24.52,8.53,45.06,31.97,6,
207,10.13,24.52,9.40,47.06,32.50,6,
209,10.55,21.80,8.53,49.06,31.10,6,2.27
211,7.60,14.40,8.71,51.06,27.26,6,
213,8.37,17.49,9.31,53.06,21.71,3,
215,9.97,17.52,8.72,55.06,16.77,3,
217,11.45,24.15,10.18,57.06,11.82,3,
219,9.20,23.97,6.27,24.94,11.22,3,1.62
221,15.35,25.77,7.49,26.94,15.88,3,
223,17.49,30.75,8.15,28.94,15.95,4,
225,17.21,30.33,9.49,30.94,16.29,4,
227,16.14,30.31,10.82,32.94,15.33,4,
229,17.85,37.29,9.23,32.03,15.43,4,1.76
231,19.92,45.57,8.56,27.26,16.56,4,
233,20.14,46.46,9.67,29.26,18.01,5,
235,10.42,23.97,9.47,31.26,21.44,5,
237,13.75,23.97,10.97,33.26,23.94,5,
239,11.39,23.97,10.36,35.26,22.81,5,1.95
241,11.27,23.97,9.89,37.26,19.25,5,
243,12.69,27.81,10.48,39.26,15.94,2,
245,14.85,36.42,11.31,41.26,17.36,2,
247,16.31,42.17,12.31,43.26,18.66,2,
249,17.73,42.00,7.84,37.39,20.92,2,2.40
251,21.06,47.48,7.25,37.88,22.54,2,
253,22.82,54.67,7.14,37.47,23.24,6,
255,22.90,55.01,7.87,39.47,21.73,6,
257,23.69,54.47,8.83,41.47,19.64,6,
259,16.91,31.69,8.67,43.47,20.73,6,1.39
261,14.78,25.38,9.01,45.47,20.44,6,
263,16.29,25.37,8.44,47.47,18.22,3,
265,16.72,25.37,8.93,49.47,22.42,3,
267,18.51,29.92,9.93,51.47,26.30,3,
269,16.58,29.79,8.38,35.09,26.37,3,2.62
271,10.12,28.93,7.82,25.74,25.80,3,
273,11.09,25.32,7.26,27.74,21.83,4,
