time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0,
3,0.00,0.00,0.00,0.00,60.00,6,
5,0.00,0.00,0.00,0.00,60.00,6,
7,0.00,0.00,0.00,0.00,60.00,6,
9,0.00,0.00,0.00,0.00,60.00,6,1.00
11,0.00,0.00,0.00,0.00,60.00,6,
13,0.00,0.00,0.00,0.00,60.00,8,
15,0.00,0.00,0.00,0.00,60.00,8,
17,0.00,0.00,0.00,0.00,60.00,8,
19,0.00,0.00,0.00,0.00,60.00,8,1.00
21,0.00,0.00,0.00,0.00,60.00,8,
23,0.00,0.00,0.00,0.00,59.92,6,
25,0.00,0.00,0.00,0.00,60.85,6,
27,0.00,0.00,0.00,0.00,56.01,6,
29,0.00,0.00,0.00,0.00,51.09,6,4.00
31,0.00,0.00,0.00,0.00,44.94,6,
33,0.00,0.00,0.00,0.00,29.70,8,
35,0.54,2.17,0.13,1.51,30.31,8,
37,1.12,4.48,0.29,3.51,31.83,8,
39,1.12,4.46,0.46,5.51,35.79,8,0.21
41,1.12,4.46,0.64,7.51,37.54,8,
43,1.12,4.46,0.79,9.51,37.91,1,
45,0.94,3.77,0.96,11.51,38.49,1,
47,0.00,0.00,0.00,0.00,25.62,1,
49,0.89,3.56,0.11,1.31,20.55,1,2.25
51,1.70,5.51,0.44,3.31,13.97,1,
53,2.85,5.89,0.77,5.31,7.13,8,
55,2.79,5.68,1.20,7.31,2.54,8,
57,2.18,5.49,1.70,9.31,0.00,8,
59,2.64,5.49,1.38,11.31,20.91,8,1.37
61,2.64,5.49,1.71,13.31,28.00,8,
63,2.64,5.49,2.05,15.31,35.67,7,
65,2.62,5.40,2.38,17.31,40.20,7,
67,1.32,5.06,2.71,19.31,42.74,7,
69,1.26,5.06,1.27,15.23,42.24,7,1.53
71,1.26,5.06,1.52,17.23,39.02,7,
73,1.51,5.06,2.06,19.23,37.59,2,
75,1.75,5.06,2.24,21.23,33.70,2,
77,2.53,5.06,2.70,23.23,28.24,2,
