time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,60.00,1
9,0.00,0.00,0.00,0.00,60.00,1
11,0.00,0.00,0.00,0.00,60.00,1
13,0.00,0.00,0.00,0.00,60.00,1
15,0.00,0.00,0.00,0.00,60.00,1
17,0.00,0.00,0.00,0.00,60.00,3
19,0.00,0.00,0.00,0.00,60.00,3
21,0.00,0.00,0.00,0.00,60.00,3
23,0.00,0.00,0.00,0.00,60.77,3
25,0.00,0.00,0.00,0.00,59.03,3
27,0.00,0.00,0.00,0.00,56.02,3
29,0.00,0.00,0.00,0.00,43.78,3
31,0.00,0.00,0.00,0.00,26.92,3
33,0.00,0.00,0.00,0.00,9.36,3
35,0.28,1.13,0.00,0.00,0.81,3
37,1.25,5.02,0.14,1.70,0.00,3
39,1.22,4.89,0.31,3.70,0.00,3
41,1.22,4.89,0.47,5.70,0.00,2
43,1.22,4.89,0.64,7.70,0.00,2
45,1.22,4.89,0.81,9.70,27.93,2
47,1.22,4.89,0.97,11.70,34.85,2
49,1.22,4.89,1.14,13.70,39.05,4
51,1.22,4.89,1.31,15.70,41.02,4
53,1.20,4.80,1.47,17.70,46.93,4
55,0.00,0.00,1.64,19.70,34.78,4
57,0.00,0.00,0.07,0.81,30.65,1
59,0.72,1.67,0.39,2.81,32.39,1
61,2.65,5.57,0.72,4.81,35.72,1
63,2.61,5.46,1.05,6.81,31.69,1
65,2.61,5.46,1.39,8.81,25.71,1
67,2.61,5.46,1.73,10.81,17.03,1
69,3.98,10.95,2.23,12.81,13.36,3
71,5.85,11.97,2.75,14.81,10.42,3
73,7.49,17.98,3.42,16.81,11.15,3
75,8.66,23.40,4.09,18.81,10.49,3
77,7.73,23.75,3.02,19.84,20.08,3
79,7.28,23.75,3.52,21.84,25.33,3
81,7.26,23.75,4.02,23.84,26.54,3
83,7.73,23.75,4.58,25.84,26.99,3
85,8.48,23.75,5.25,27.84,24.30,2
87,8.46,23.75,5.92,29.84,19.59,2
89,8.63,23.75,6.66,31.84,14.34,2
91,9.17,23.75,7.70,33.84,19.22,2
93,10.76,19.71,5.92,25.59,26.57,2
95,5.74,17.76,6.63,24.25,31.68,2
97,5.74,17.76,5.61,24.63,31.17,2
99,5.74,17.76,4.39,16.73,31.13,2
101,5.74,17.76,5.39,18.73,29.88,4
103,7.04,22.96,6.12,20.73,21.94,4
105,9.55,33.00,7.12,22.73,17.65,4
107,13.04,39.72,8.20,24.73,15.87,4
109,17.34,43.36,7.44,20.97,16.07,1
111,21.27,48.67,8.87,22.97,15.95,1
113,22.69,50.08,10.11,24.97,16.76,1
115,22.53,49.54,11.47,26.97,16.94,1
117,22.15,47.64,11.82,28.11,18.92,1
119,18.04,44.34,11.95,28.90,19.08,1
121,19.75,44.82,12.34,30.90,20.16,1
123,14.19,17.65,13.04,32.90,19.68,1
125,12.85,23.98,13.17,34.90,18.30,3
127,13.42,24.40,12.13,36.90,15.70,3
129,16.10,25.94,13.63,38.90,15.64,3
131,16.00,31.47,14.32,40.90,11.72,3
133,15.00,31.35,10.94,28.97,9.06,2
135,16.61,31.35,10.65,30.97,7.36,2
137,19.18,31.35,11.52,32.97,7.96,2
139,20.36,31.35,12.95,34.97,10.68,2
141,21.18,31.33,13.43,35.05,14.12,2
143,17.56,29.11,11.38,25.89,19.27,2
145,8.07,11.75,11.33,26.77,22.23,2
147,8.30,16.73,9.64,28.77,26.40,2
149,8.74,18.52,9.01,30.77,29.67,4
151,8.74,18.52,8.98,32.77,28.41,4
153,8.66,18.52,9.91,34.77,25.12,4
155,7.80,18.91,11.08,36.77,19.82,4
157,12.43,25.67,9.10,29.99,16.69,1
159,16.86,25.46,10.27,31.99,14.21,1
161,18.24,25.46,11.43,33.99,14.49,1
163,20.04,26.10,12.74,35.99,18.41,1
