time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.44
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.73
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.43
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.99
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.28
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.79
15,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.33,0.42,0.99,45.47
17,0.00,0.00,0.00,0.00,2.99,0.00,0.00,1.00,1.28,2.99,51.30
19,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.43,1.00,42.33
21,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.21,0.27,0.64,39.73
23,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.24,0.30,0.71,38.40
25,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.16,0.07,0.47,54.92
27,0.00,0.00,0.00,0.00,0.00,1.25,2.47,1.24,0.89,2.47,57.96
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.04
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.10
33,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.59,0.25,1.78,54.05
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.98
37,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.56,0.72,1.68,41.33
39,1.62,0.00,0.81,1.62,3.68,0.00,0.00,1.23,1.58,3.68,35.99
41,4.83,0.00,2.41,4.83,5.68,0.00,0.00,1.89,2.43,5.68,29.41
43,5.90,0.00,2.95,5.90,7.68,1.94,0.00,3.21,4.12,7.68,23.51
45,17.00,0.00,8.50,17.00,9.68,3.94,0.00,4.54,5.84,9.68,19.53
47,17.87,0.00,8.93,17.87,0.00,5.94,0.00,1.98,2.55,5.94,24.73
49,7.54,0.00,3.77,7.54,0.00,7.94,0.00,2.65,3.40,7.94,26.23
