time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,1.2
17.0,1.2
19.0,1.2
21.0,1.2
23.0,1.2
25.0,1.2
27.0,1.2
29.0,1.2
31.0,1.2
33.0,5.4
35.0,5.4
37.0,5.4
39.0,7.6
41.0,5.6
43.0,5.4
45.0,5.4
47.0,5.4
49.0,17.9
51.0,20.0
53.0,20.0
55.0,20.0
57.0,20.0
59.0,20.0
61.0,20.0
63.0,20.0
65.0,17.5
67.0,17.5
69.0,17.5
71.0,17.5
73.0,17.5
75.0,17.5
77.0,17.5
79.0,17.5
81.0,17.5
83.0,17.5
85.0,28.0
87.0,15.6
89.0,15.6
91.0,18.6
93.0,22.6
95.0,22.6
97.0,22.6
99.0,22.6
101.0,22.6
103.0,22.6
105.0,22.6
107.0,22.6
109.0,25.6
111.0,20.4
113.0,20.4
115.0,20.4
117.0,20.4
119.0,20.4
121.0,20.4
123.0,20.4
125.0,20.4
127.0,20.4
129.0,20.4
131.0,20.4
133.0,61.9
135.0,45.9
137.0,23.0
139.0,22.6
141.0,22.6
143.0,20.4
145.0,55.4
147.0,20.4
149.0,20.4
151.0,20.4
153.0,20.4
155.0,20.4
157.0,20.4
159.0,20.4
161.0,31.3
163.0,36.6
165.0,19.6
167.0,19.6
169.0,19.6
171.0,19.6
173.0,19.6
175.0,19.6
177.0,19.6
179.0,19.6
181.0,51.3
183.0,48.2
185.0,22.9
187.0,21.0
189.0,21.0
191.0,19.6
193.0,19.6
195.0,19.6
197.0,19.6
199.0,19.6
201.0,35.3
203.0,35.8
205.0,33.3
207.0,33.3
209.0,29.0
211.0,19.6
213.0,19.6
215.0,19.6
217.0,54.0
219.0,34.7
221.0,34.7
223.0,34.7
225.0,34.7
227.0,34.7
229.0,34.7
231.0,34.7
233.0,34.7
235.0,34.7
237.0,34.7
239.0,34.7
241.0,34.7
243.0,34.7
245.0,34.7
247.0,34.7
249.0,67.4
251.0,45.8
253.0,34.7
255.0,34.7
257.0,34.7
259.0,34.7
261.0,34.7
263.0,34.7
265.0,34.7
267.0,34.7
269.0,34.7
271.0,34.7
273.0,34.7
275.0,34.7
277.0,34.7
279.0,34.7
281.0,34.7
283.0,34.7
285.0,34.7
287.0,34.7
289.0,34.7
291.0,34.7
293.0,34.7
295.0,34.7
297.0,34.7
299.0,34.7
301.0,34.7
303.0,34.7
305.0,34.7
307.0,34.7
309.0,34.7
311.0,34.7
313.0,34.7
315.0,34.7
317.0,34.7
319.0,34.7
321.0,34.7
323.0,34.7
325.0,34.7
327.0,34.7
329.0,34.7
331.0,34.7
333.0,34.7
335.0,34.7
337.0,67.4
339.0,67.4
341.0,66.1
343.0,66.1
345.0,143.6
347.0,66.1
349.0,66.1
351.0,66.1
353.0,66.1
355.0,66.1
357.0,66.1
359.0,66.1
361.0,66.1
363.0,66.1
365.0,66.1
367.0,66.1
369.0,66.1
371.0,66.1
373.0,80.0
375.0,80.0
377.0,80.0
379.0,80.0
381.0,80.0
383.0,80.0
385.0,80.0
387.0,80.0
389.0,80.0
391.0,80.0
393.0,80.0
395.0,80.0
397.0,121.2
399.0,80.0
401.0,80.0
403.0,80.0
405.0,80.0
407.0,80.0
409.0,80.0
411.0,80.0
413.0,80.0
415.0,80.0
417.0,80.0
419.0,80.0
421.0,80.0
423.0,80.0
425.0,80.0
427.0,80.0
429.0,80.0
431.0,80.0
433.0,80.0
435.0,80.0
437.0,80.0
439.0,80.0
441.0,80.0
443.0,80.0
445.0,80.0
447.0,80.0
449.0,80.0
451.0,80.0
453.0,80.0
455.0,80.0
457.0,80.0
459.0,80.0
461.0,80.0
463.0,80.0
465.0,80.0
467.0,80.0
469.0,80.0
471.0,80.0
473.0,80.0
475.0,80.0
477.0,80.0
479.0,80.0
481.0,80.0
483.0,80.0
485.0,80.0
487.0,80.0
489.0,80.0
491.0,80.0
493.0,80.0
495.0,80.0
497.0,80.0
499.0,80.0
501.0,80.0
503.0,80.0
505.0,80.0
507.0,80.0
509.0,80.0
511.0,80.0
513.0,102.3
515.0,91.1
517.0,88.9
519.0,88.9
521.0,80.0
523.0,80.0
525.0,80.0
527.0,80.0
529.0,173.3
531.0,88.0
533.0,63.7
535.0,63.7
537.0,49.2
539.0,49.2
541.0,64.4
543.0,55.9
545.0,55.9
547.0,55.9
549.0,55.9
551.0,49.2
553.0,49.2
555.0,49.2
557.0,49.2
559.0,49.2
561.0,49.2
563.0,49.2
565.0,49.2
567.0,49.2
569.0,49.2
571.0,49.2
573.0,65.3
575.0,55.1
577.0,55.1
579.0,47.4
581.0,47.4
583.0,47.4
585.0,47.4
587.0,39.7
589.0,39.7
591.0,39.7
593.0,39.7
595.0,39.7
597.0,39.6
599.0,39.6
601.0,25.5
603.0,25.1
605.0,25.1
607.0,25.1
609.0,101.7
611.0,90.6
613.0,90.6
615.0,28.0
617.0,22.3
619.0,22.3
621.0,22.3
623.0,22.3
625.0,32.0
627.0,25.2
629.0,26.7
631.0,26.7
633.0,26.2
635.0,25.6
637.0,25.0
639.0,25.0
641.0,25.0
643.0,25.0
645.0,25.0
647.0,25.0
649.0,25.0
651.0,40.9
653.0,39.9
655.0,40.4
657.0,34.5
659.0,34.5
