time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.30
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.40
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.40
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.20
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.60
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.90
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30
47,2.48,0.00,1.24,2.48,0.00,1.77,0.00,0.59,1.06,1.77,0.20
49,5.73,0.00,2.87,5.73,0.00,3.77,0.00,1.26,2.26,3.77,22.45
51,5.69,0.00,2.85,5.69,0.00,5.77,0.00,1.92,3.46,5.77,34.27
53,5.69,0.00,2.85,5.69,0.00,7.77,0.00,2.59,4.66,7.77,37.70
55,5.69,0.00,2.85,5.69,0.00,9.77,0.00,3.26,5.86,9.77,37.17
57,5.69,0.00,2.85,5.69,0.00,11.77,0.00,3.92,7.06,11.77,39.25
59,5.69,0.00,2.85,5.69,0.00,13.77,0.00,4.59,8.26,13.77,30.43
61,5.60,0.00,2.80,5.60,0.00,15.77,0.00,5.26,9.46,15.77,41.05
63,0.48,0.00,0.24,0.48,0.00,17.77,0.00,5.92,10.66,17.77,41.73
65,0.61,0.00,0.31,0.61,0.00,4.29,0.00,1.43,2.57,4.29,31.70
67,5.60,0.00,2.80,5.60,0.00,5.06,0.00,1.69,3.03,5.06,18.40
69,5.49,0.00,2.74,5.49,0.00,7.06,0.00,2.35,4.23,7.06,6.80
71,11.37,0.00,5.68,11.37,0.00,9.06,0.00,3.02,5.43,9.06,8.12
