time,value
21,0.03
25,0.02
29,0.02
33,0.02
37,0.04
41,0.04
45,0.05
49,0.05
53,0.06
57,0.02
61,0.05
65,0.06
69,0.04
73,0.07
77,0.03
81,0.06
85,0.10
89,0.03
93,0.07
97,0.06
101,0.05
105,0.08
109,0.26
113,0.05
117,0.07
121,0.03
125,0.11
129,0.21
133,0.06
137,0.16
141,0.13
145,0.25
149,0.09
153,0.24
157,0.09
161,0.06
165,0.07
169,0.02
173,0.04
177,0.05
181,0.09
185,0.17
189,0.08
193,0.08
197,0.05
201,0.10
205,0.06
209,0.16
213,0.05
217,0.07
221,0.07
225,0.11
229,0.10
233,0.11
237,0.25
241,0.13
245,0.07
249,0.17
253,0.17
257,0.33
261,0.07
265,0.11
269,0.05
273,0.06
277,0.04
281,0.06
285,0.02
289,0.09
293,0.05
297,0.07
301,0.06
305,0.10
309,0.05
313,0.08
317,0.05
321,0.13
325,0.05
329,0.07
333,0.06
337,0.05
341,0.12
345,0.17
349,0.09
353,0.03
357,0.10
361,0.06
365,0.12
369,0.23
373,0.11
377,0.15
381,0.10
385,0.12
389,0.07
393,0.17
397,0.14
401,0.16
405,0.07
409,0.12
413,0.07
417,0.09
421,0.05
425,0.06
429,0.11
433,0.14
437,0.06
441,0.08
445,0.06
449,0.08
453,0.13
457,0.14
461,0.15
465,0.10
469,0.17
473,0.08
477,0.15
481,0.23
485,0.06
489,0.18
493,0.21
497,0.19
501,0.12
505,0.16
509,0.05
513,0.09
517,0.06
521,0.08
525,0.05
529,0.13
533,0.08
537,0.11
541,0.09
545,0.13
549,0.03
553,0.08
557,0.16
561,0.11
565,0.08
569,0.12
573,0.29
577,0.11
581,0.32
585,0.07
589,0.10
593,0.09
597,0.06
601,0.21
605,0.03
609,0.09
613,0.09
617,0.11
621,0.49
625,0.10
629,0.21
633,0.10
637,0.14
641,0.15
645,0.16
649,0.08
653,0.24
657,0.13
661,0.08
665,0.20
669,0.16
673,0.06
677,0.28
681,0.09
685,0.22
689,0.16
693,0.33
697,0.10
701,0.39
705,0.08
709,0.18
713,0.26
717,0.16
721,0.26
725,0.14
729,0.26
733,0.15
737,0.18
741,0.26
745,0.09
749,0.16
753,0.05
757,0.18
761,0.08
765,0.21
769,0.14
773,0.13
777,0.35
781,0.25
785,0.22
789,0.13
793,0.16
797,0.13
801,0.36
805,0.13
809,0.07
813,0.31
817,0.07
821,0.17
825,0.19
829,0.43
833,0.10
837,0.18
841,0.08
845,0.12
849,0.14
853,0.19
857,0.17
861,0.17
865,0.20
869,0.08
873,0.13
877,0.10
881,0.20
885,0.09
889,0.13
893,0.14
897,0.19
901,0.31
905,0.17
909,0.13
913,0.17
917,0.05
921,0.14
925,0.06
929,0.17
933,0.14
937,0.10
941,0.22
945,0.06
949,0.22
953,0.27
957,0.14
961,0.34
965,0.25
969,0.35
973,0.31
977,0.23
981,0.37
985,0.17
989,0.13
993,0.21
997,0.22
