time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,32.20,1
5,0.00,0.00,0.00,0.00,44.30,1
7,0.00,0.00,0.00,0.00,53.80,1
9,0.00,0.00,0.00,0.00,57.55,1
11,0.00,0.00,0.00,0.00,56.05,1
13,0.00,0.00,0.00,0.00,37.93,1
15,0.00,0.00,0.00,0.00,28.07,1
17,0.00,0.00,0.13,1.60,21.43,1
19,1.88,7.50,0.30,3.60,26.88,1
21,3.12,12.47,0.47,5.60,26.12,1
23,3.10,12.40,0.63,7.60,21.75,3
25,3.10,12.40,0.80,9.60,15.55,3
27,3.63,14.50,0.97,11.60,10.62,3
29,4.71,18.82,1.16,13.60,5.75,3
31,4.68,18.74,1.50,15.60,1.68,3
33,5.16,18.74,1.83,17.60,0.07,3
35,5.74,18.74,2.16,19.60,7.76,3
37,5.73,18.74,2.50,21.60,9.94,3
39,5.73,18.74,2.83,23.60,19.60,2
41,5.73,18.74,3.16,25.60,19.68,2
43,5.73,18.74,3.50,27.60,23.95,2
45,5.72,18.71,3.83,29.60,24.58,2
47,3.04,7.97,4.15,31.40,23.22,2
49,1.05,4.18,3.93,24.76,26.02,2
51,1.05,4.18,2.37,22.36,30.40,2
53,1.05,4.18,2.37,24.36,34.07,2
55,1.05,4.18,2.29,26.36,30.70,2
57,1.05,4.18,2.62,28.36,31.40,2
59,1.05,4.18,2.53,30.36,33.15,2
61,1.05,4.18,2.77,32.36,31.00,2
63,1.05,4.18,2.86,34.36,44.88,4
65,1.05,4.18,3.03,36.36,45.40,4
67,0.93,3.73,3.20,38.36,51.76,4
69,0.00,0.00,0.00,0.00,43.64,4
71,0.08,0.32,0.12,1.45,31.48,4
73,1.46,5.83,0.29,3.45,28.46,4
75,2.20,6.80,0.50,5.45,28.90,4
77,5.42,12.88,0.86,7.45,29.31,4
79,6.23,12.75,1.36,9.45,28.34,1
81,7.14,12.75,1.86,11.45,27.21,1
83,7.09,12.75,2.36,13.45,27.21,1
85,5.87,12.75,2.86,15.45,21.91,1
87,7.55,12.75,2.84,17.45,21.57,1
89,7.49,12.75,3.60,19.45,22.13,1
91,7.49,12.75,4.07,21.45,22.67,1
93,7.49,12.75,4.79,23.45,25.56,1
95,8.26,15.14,5.62,25.45,29.18,1
97,9.07,18.39,6.46,27.45,29.48,1
99,9.06,18.36,7.48,29.45,26.71,1
101,9.06,18.36,8.28,31.45,22.91,1
103,9.06,18.36,9.23,33.45,23.69,3
105,9.06,18.36,9.90,35.45,24.56,3
107,9.04,18.36,10.66,37.45,23.95,3
109,7.83,18.36,11.69,39.45,19.40,3
111,7.93,18.36,10.92,41.45,18.63,3
113,9.17,18.36,11.64,43.45,19.55,2
115,9.80,18.36,12.54,45.45,19.18,2
117,12.04,18.36,13.66,47.45,20.19,2
119,11.65,18.31,14.99,49.45,21.28,2
121,7.52,12.36,14.77,48.17,18.49,2
123,7.52,12.36,8.76,36.31,16.18,2
125,9.18,12.36,7.55,38.31,11.95,2
127,10.51,12.36,8.35,40.31,10.69,2
129,12.09,18.34,9.14,42.31,11.73,2
131,13.42,18.12,10.19,44.31,14.62,2
133,13.59,18.12,11.14,46.31,19.05,2
135,13.59,18.12,12.14,48.31,24.72,4
137,13.59,18.12,13.14,50.31,26.89,4
