time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.0
27.0,0.0
29.0,0.0
31.0,0.0
33.0,2.0
35.0,5.3
37.0,8.1
39.0,11.2
41.0,11.2
43.0,11.2
45.0,11.2
47.0,11.2
49.0,11.2
51.0,11.2
53.0,11.2
55.0,11.2
57.0,11.2
59.0,11.2
61.0,11.2
63.0,11.2
65.0,11.2
67.0,11.2
69.0,11.2
71.0,11.2
73.0,11.2
75.0,11.7
77.0,11.4
79.0,11.4
81.0,11.4
83.0,11.4
85.0,11.4
87.0,15.1
89.0,17.1
91.0,17.1
93.0,17.1
95.0,17.1
97.0,17.1
99.0,17.1
101.0,17.1
103.0,17.1
105.0,17.1
107.0,17.1
109.0,21.6
111.0,23.1
113.0,23.1
115.0,23.1
117.0,23.1
119.0,23.1
121.0,23.1
123.0,23.1
125.0,19.1
127.0,11.4
129.0,11.4
131.0,11.4
133.0,11.4
135.0,11.4
137.0,16.0
139.0,17.6
141.0,17.6
143.0,17.6
145.0,17.6
147.0,17.5
149.0,11.4
151.0,16.0
153.0,30.2
155.0,29.2
157.0,29.1
159.0,29.1
161.0,29.1
163.0,29.1
165.0,29.1
167.0,29.1
169.0,29.1
171.0,29.1
173.0,29.1
175.0,29.1
177.0,29.1
179.0,29.1
181.0,28.9
183.0,27.8
185.0,36.2
187.0,41.6
189.0,43.9
191.0,50.5
193.0,50.6
195.0,50.6
197.0,52.1
199.0,57.9
201.0,64.5
203.0,64.3
205.0,64.3
207.0,64.3
209.0,66.7
211.0,70.8
213.0,70.7
215.0,70.7
217.0,76.6
219.0,77.0
221.0,77.0
223.0,82.7
225.0,89.1
227.0,100.3
229.0,108.1
231.0,115.5
233.0,119.7
235.0,121.8
237.0,126.5
239.0,140.4
241.0,141.6
243.0,139.8
245.0,73.8
247.0,30.7
249.0,30.7
251.0,30.7
253.0,30.7
255.0,31.4
257.0,38.2
259.0,43.4
261.0,43.3
263.0,43.3
265.0,43.3
267.0,43.3
269.0,43.3
271.0,43.3
273.0,43.3
275.0,42.8
277.0,41.5
279.0,43.3
281.0,49.0
283.0,49.0
285.0,49.0
287.0,49.0
289.0,49.0
291.0,49.0
293.0,54.9
295.0,54.7
297.0,54.7
299.0,54.7
301.0,55.8
303.0,61.6
305.0,61.5
307.0,61.5
309.0,63.8
311.0,69.0
313.0,75.5
315.0,78.0
317.0,86.2
319.0,92.7
321.0,95.4
323.0,93.9
325.0,109.5
327.0,123.6
329.0,122.2
331.0,59.1
333.0,49.0
335.0,52.5
337.0,66.5
339.0,75.6
341.0,82.3
343.0,82.0
345.0,88.8
347.0,88.9
349.0,88.9
351.0,88.9
353.0,88.9
355.0,88.9
357.0,94.3
359.0,101.3
361.0,107.4
363.0,114.8
365.0,120.9
367.0,127.0
369.0,133.2
371.0,139.4
373.0,145.6
375.0,147.9
377.0,151.8
379.0,150.8
381.0,100.2
383.0,63.9
385.0,70.5
387.0,84.9
389.0,90.8
391.0,97.2
393.0,104.6
395.0,106.3
397.0,106.3
399.0,109.4
401.0,113.8
403.0,119.1
405.0,120.8
407.0,130.4
409.0,132.0
411.0,132.0
413.0,136.5
415.0,144.1
417.0,149.8
419.0,156.2
421.0,194.2
423.0,196.1
425.0,196.1
427.0,196.1
429.0,196.1
431.0,196.1
433.0,196.1
435.0,196.0
437.0,125.1
439.0,72.9
441.0,80.0
443.0,89.3
445.0,93.2
447.0,95.0
449.0,95.0
451.0,95.0
453.0,95.0
455.0,98.2
457.0,101.8
459.0,101.0
461.0,29.2
463.0,30.3
465.0,29.8
467.0,26.6
469.0,32.3
471.0,38.4
473.0,48.2
475.0,49.2
477.0,49.2
479.0,49.2
481.0,54.2
483.0,58.5
485.0,67.5
487.0,68.6
489.0,74.2
491.0,88.2
493.0,88.0
495.0,92.1
497.0,94.0
499.0,94.0
501.0,92.8
503.0,89.7
505.0,28.5
507.0,27.7
509.0,22.8
511.0,29.8
513.0,36.1
515.0,36.8
517.0,43.7
519.0,43.4
521.0,43.4
523.0,43.4
525.0,43.4
527.0,43.4
529.0,43.4
531.0,43.4
533.0,29.4
535.0,29.2
537.0,29.2
539.0,29.2
541.0,29.2
543.0,29.2
545.0,29.2
547.0,29.1
549.0,35.3
551.0,33.0
553.0,18.6
555.0,22.0
557.0,23.6
559.0,27.9
561.0,33.8
563.0,41.9
565.0,42.9
567.0,50.7
569.0,57.3
571.0,61.7
573.0,36.1
575.0,36.1
577.0,36.1
579.0,36.1
581.0,36.1
583.0,36.1
585.0,36.1
587.0,37.8
589.0,41.9
591.0,24.5
593.0,25.1
595.0,32.0
597.0,37.6
599.0,37.3
601.0,34.8
603.0,17.4
605.0,17.8
607.0,24.9
609.0,24.9
611.0,24.9
613.0,24.9
615.0,24.9
617.0,24.9
619.0,24.9
621.0,24.9
623.0,24.9
625.0,24.9
627.0,24.9
629.0,24.9
631.0,29.6
633.0,31.6
635.0,36.1
637.0,38.8
639.0,44.6
641.0,44.5
643.0,44.5
645.0,44.5
647.0,44.5
649.0,44.5
651.0,44.5
653.0,44.5
655.0,44.3
657.0,24.6
659.0,27.8
