time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.0
27.0,0.0
29.0,0.0
31.0,1.7
33.0,7.4
35.0,12.6
37.0,17.2
39.0,18.8
41.0,18.8
43.0,11.2
45.0,11.2
47.0,11.2
49.0,9.8
51.0,9.8
53.0,9.8
55.0,10.1
57.0,12.0
59.0,12.0
61.0,12.0
63.0,12.0
65.0,8.1
67.0,0.0
69.0,2.3
71.0,5.2
73.0,0.0
75.0,4.8
77.0,0.0
79.0,5.4
81.0,5.1
83.0,5.3
85.0,7.4
87.0,12.0
89.0,8.6
91.0,5.2
93.0,5.2
95.0,5.2
97.0,5.2
99.0,5.2
101.0,5.2
103.0,5.1
105.0,0.2
107.0,0.3
109.0,5.2
111.0,5.2
113.0,5.0
115.0,5.0
117.0,5.0
119.0,5.0
121.0,8.8
123.0,14.4
125.0,21.9
127.0,16.7
129.0,19.6
131.0,19.4
133.0,26.6
135.0,33.2
137.0,31.7
139.0,40.5
141.0,59.7
143.0,62.4
145.0,62.4
147.0,69.4
149.0,76.4
151.0,84.8
153.0,87.1
155.0,87.1
157.0,87.1
159.0,87.1
161.0,87.1
163.0,87.1
165.0,87.1
167.0,69.3
169.0,37.2
171.0,37.1
173.0,37.1
175.0,37.1
177.0,37.1
179.0,37.1
181.0,37.1
183.0,37.1
185.0,37.1
187.0,37.1
189.0,42.9
191.0,48.3
193.0,49.4
195.0,49.4
197.0,37.7
199.0,39.0
201.0,43.7
203.0,43.6
205.0,43.6
207.0,37.1
209.0,37.1
211.0,37.1
213.0,37.1
215.0,37.1
217.0,37.0
219.0,35.2
221.0,36.5
223.0,36.5
225.0,36.4
227.0,19.1
229.0,19.1
231.0,19.1
233.0,19.1
235.0,23.7
237.0,35.4
239.0,37.0
241.0,37.0
243.0,37.0
245.0,40.2
247.0,44.4
249.0,44.3
251.0,44.3
253.0,44.3
255.0,44.3
257.0,44.3
259.0,47.2
261.0,51.1
263.0,50.8
265.0,25.4
267.0,25.3
269.0,25.3
271.0,25.3
273.0,31.5
275.0,31.9
277.0,34.6
279.0,43.4
281.0,44.2
283.0,44.2
285.0,44.2
287.0,44.4
289.0,44.8
291.0,44.0
293.0,31.6
295.0,31.6
297.0,31.6
299.0,31.6
301.0,31.6
303.0,31.6
305.0,32.0
307.0,38.0
309.0,37.8
311.0,37.8
313.0,44.5
315.0,44.6
317.0,44.6
319.0,50.3
321.0,50.9
323.0,50.9
325.0,50.9
327.0,50.9
329.0,50.9
331.0,50.9
333.0,50.9
335.0,50.9
337.0,50.9
339.0,50.9
341.0,57.0
343.0,62.7
345.0,63.6
347.0,62.8
349.0,32.5
351.0,30.0
353.0,31.9
355.0,37.0
357.0,43.5
359.0,43.7
361.0,50.8
363.0,50.6
365.0,50.6
367.0,50.6
369.0,58.8
371.0,66.5
373.0,73.8
375.0,74.9
377.0,50.2
379.0,49.8
381.0,48.7
383.0,55.5
385.0,55.3
387.0,55.3
389.0,61.4
391.0,74.2
393.0,75.5
395.0,83.4
397.0,90.0
399.0,94.5
401.0,99.2
403.0,102.0
405.0,105.7
407.0,62.9
409.0,38.1
411.0,38.1
413.0,38.1
415.0,38.1
417.0,37.9
419.0,25.0
421.0,23.9
423.0,27.0
425.0,29.0
427.0,29.0
429.0,31.0
431.0,32.5
433.0,32.0
435.0,36.5
437.0,36.5
439.0,36.5
441.0,36.5
443.0,36.5
445.0,36.5
447.0,36.5
449.0,36.5
451.0,36.5
453.0,36.5
455.0,36.5
457.0,36.5
459.0,36.5
461.0,36.5
463.0,36.5
465.0,36.5
467.0,36.5
469.0,36.5
471.0,36.5
473.0,36.5
475.0,36.5
477.0,36.5
479.0,36.5
481.0,36.3
483.0,35.1
485.0,36.2
487.0,42.7
489.0,46.7
491.0,48.2
493.0,51.7
495.0,51.1
497.0,51.0
499.0,58.0
501.0,65.1
503.0,67.9
505.0,71.2
507.0,63.7
509.0,36.7
511.0,37.1
513.0,37.1
515.0,37.1
517.0,37.1
519.0,37.1
521.0,46.1
523.0,53.8
525.0,53.9
527.0,53.9
529.0,53.6
531.0,42.4
533.0,48.9
535.0,55.0
537.0,62.4
539.0,66.2
541.0,66.2
543.0,66.2
545.0,66.2
547.0,66.2
549.0,66.2
551.0,66.1
553.0,45.4
555.0,30.5
557.0,30.5
559.0,30.5
561.0,30.5
563.0,30.5
565.0,30.5
567.0,30.5
569.0,30.5
571.0,30.5
573.0,29.4
575.0,31.7
577.0,31.4
579.0,35.5
581.0,41.8
583.0,44.5
585.0,52.8
587.0,62.0
589.0,60.3
591.0,29.4
593.0,29.4
595.0,29.4
597.0,29.4
599.0,29.4
601.0,29.0
603.0,27.2
605.0,25.9
607.0,29.8
609.0,35.7
611.0,38.3
613.0,44.6
615.0,50.0
617.0,56.1
619.0,61.4
621.0,60.7
623.0,57.4
625.0,49.1
627.0,55.0
629.0,60.4
631.0,62.9
633.0,62.9
635.0,62.9
637.0,62.6
639.0,49.0
641.0,47.9
643.0,55.0
645.0,66.6
647.0,67.6
649.0,68.6
651.0,73.8
653.0,73.7
655.0,73.7
657.0,43.8
659.0,38.6
