time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,60.00,1
9,0.00,0.00,0.00,0.00,60.00,1
11,0.00,0.00,0.00,0.00,60.00,1
13,0.00,0.00,0.00,0.00,60.00,1
15,0.00,0.00,0.00,0.00,60.00,1
17,0.00,0.00,0.00,0.00,60.00,1
19,0.00,0.00,0.00,0.00,60.00,1
21,0.00,0.00,0.00,0.00,60.00,1
23,0.00,0.00,0.00,0.00,60.00,1
25,0.00,0.00,0.00,0.00,53.65,1
27,0.00,0.00,0.00,0.00,54.90,1
29,0.00,0.00,0.00,0.00,52.32,2
31,0.00,0.00,0.00,0.00,51.66,2
33,0.00,0.00,0.00,0.00,52.77,2
35,0.00,0.00,0.00,0.00,48.19,2
37,0.31,1.25,0.21,1.74,46.07,2
39,1.11,4.44,0.52,3.74,39.32,2
41,1.09,4.35,0.58,5.74,37.08,1
43,1.09,4.35,0.73,7.74,36.53,1
45,1.64,3.67,1.06,9.74,49.87,1
47,0.06,0.24,0.41,4.97,51.60,1
49,0.00,0.00,0.15,1.78,53.35,1
51,0.00,0.00,0.11,0.87,44.20,2
53,0.58,2.33,0.24,2.87,34.12,2
55,1.18,4.72,0.47,4.87,29.50,2
57,1.35,4.60,0.85,6.87,34.37,2
59,2.19,4.71,1.60,8.87,35.18,4
61,2.57,5.70,0.94,6.75,35.53,4
63,2.57,5.69,1.27,8.75,30.28,4
65,2.39,5.69,1.61,10.75,34.84,4
67,1.42,5.69,1.19,10.53,34.22,2
69,1.42,5.69,1.53,12.53,28.68,2
71,2.77,5.69,1.65,14.53,30.90,2
73,2.83,5.69,2.10,16.53,35.74,2
75,1.54,5.69,2.60,18.53,36.25,1
77,1.42,5.69,2.16,20.53,37.49,1
79,2.91,11.64,2.49,22.53,37.83,1
81,4.33,17.31,2.85,24.53,39.03,1
83,4.27,17.07,3.48,26.53,33.85,2
85,3.00,7.16,3.86,28.53,26.46,2
87,4.79,12.44,4.69,30.53,19.31,2
89,7.42,12.31,5.16,32.53,14.02,2
91,7.80,14.98,6.16,34.53,14.31,3
93,7.31,18.50,6.51,36.53,19.27,3
95,7.30,18.46,6.64,38.53,20.88,3
97,7.92,18.46,7.48,40.53,22.46,3
99,7.38,18.39,8.31,42.53,22.79,2
101,6.45,14.91,5.61,23.94,23.12,2
103,7.10,17.22,5.93,25.94,23.18,2
105,8.56,17.21,6.88,27.94,25.93,2
107,9.29,20.94,7.88,29.94,27.74,2
109,9.69,22.74,8.16,31.94,28.44,1
111,9.24,18.09,8.39,33.94,25.94,1
113,12.17,25.62,8.81,35.94,23.29,1
115,12.22,30.66,9.81,37.94,18.49,1
117,13.83,37.32,8.93,30.52,14.95,1
119,15.76,44.73,8.46,32.52,13.50,1
121,15.95,39.57,9.04,34.52,13.63,1
123,8.54,23.75,9.38,36.52,12.88,1
125,10.17,23.58,9.71,38.52,14.74,1
127,10.20,23.58,10.71,40.52,16.18,1
129,10.28,23.92,11.63,42.52,17.61,2
131,11.73,29.72,12.46,44.52,19.25,2
133,13.32,36.06,13.48,46.52,22.38,2
135,14.88,36.53,14.64,48.52,21.92,2
137,15.40,39.95,15.11,50.52,20.99,2
139,16.61,42.90,15.24,52.52,19.43,2
141,15.35,35.91,15.54,54.52,19.03,2
143,14.23,24.21,15.86,56.52,16.30,2
145,16.34,24.93,16.77,58.52,13.81,1
147,17.98,24.93,16.52,60.52,12.90,1
149,19.99,31.85,16.89,62.52,13.75,1
151,21.85,39.28,18.05,64.52,14.97,1
153,20.92,39.70,19.15,66.52,17.42,1
155,19.39,39.61,19.48,68.52,19.09,4
157,13.88,24.29,18.73,70.52,20.70,4
159,11.44,24.27,18.13,72.52,18.77,4
161,12.93,24.27,19.20,74.52,19.51,4
163,15.06,24.27,20.48,76.52,20.91,4
