time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.0
27.0,0.0
29.0,0.0
31.0,0.0
33.0,0.0
35.0,0.0
37.0,0.0
39.0,0.6
41.0,0.6
43.0,0.6
45.0,0.6
47.0,27.8
49.0,27.8
51.0,26.2
53.0,26.2
55.0,26.2
57.0,11.6
59.0,11.6
61.0,11.6
63.0,11.6
65.0,11.6
67.0,3.9
69.0,3.9
71.0,50.3
73.0,25.4
75.0,8.9
77.0,8.9
79.0,8.9
81.0,8.9
83.0,8.9
85.0,8.9
87.0,8.9
89.0,57.6
91.0,50.4
93.0,50.4
95.0,50.4
97.0,50.4
99.0,50.4
101.0,8.9
103.0,8.9
105.0,8.9
107.0,8.9
109.0,23.6
111.0,23.6
113.0,23.6
115.0,23.6
117.0,23.6
119.0,48.7
121.0,41.8
123.0,33.5
125.0,33.1
127.0,23.6
129.0,23.6
131.0,23.6
133.0,23.6
135.0,23.6
137.0,23.6
139.0,23.6
141.0,23.6
143.0,35.2
145.0,52.1
147.0,52.1
149.0,52.1
151.0,39.3
153.0,33.6
155.0,31.9
157.0,31.9
159.0,31.9
161.0,56.2
163.0,31.9
165.0,31.9
167.0,31.9
169.0,31.9
171.0,31.9
173.0,31.9
175.0,59.1
177.0,58.4
179.0,54.8
181.0,54.8
183.0,31.9
185.0,31.9
187.0,42.0
189.0,42.8
191.0,43.3
193.0,41.9
195.0,36.6
197.0,35.7
199.0,35.7
201.0,35.7
203.0,35.7
205.0,31.9
207.0,31.9
209.0,35.7
211.0,52.0
213.0,52.0
215.0,52.0
217.0,52.0
219.0,35.7
221.0,35.7
223.0,57.6
225.0,46.9
227.0,46.9
229.0,46.9
231.0,45.0
233.0,45.0
235.0,41.9
237.0,41.9
239.0,55.7
241.0,55.4
243.0,55.4
245.0,41.9
247.0,45.1
249.0,45.8
251.0,45.3
253.0,44.9
255.0,44.9
257.0,44.9
259.0,41.9
261.0,41.9
263.0,41.9
265.0,41.9
267.0,41.9
269.0,41.9
271.0,41.9
273.0,41.9
275.0,41.9
277.0,41.9
279.0,60.3
281.0,60.9
283.0,59.6
285.0,59.6
287.0,48.9
289.0,49.2
291.0,49.2
293.0,49.2
295.0,49.2
297.0,49.2
299.0,49.2
301.0,49.2
303.0,49.2
305.0,49.2
307.0,49.2
309.0,49.2
311.0,49.2
313.0,49.2
315.0,49.2
317.0,49.2
319.0,49.2
321.0,79.2
323.0,79.2
325.0,79.2
327.0,79.2
329.0,79.2
331.0,82.5
333.0,84.9
335.0,84.5
337.0,85.2
339.0,87.4
341.0,85.2
343.0,85.2
345.0,85.2
347.0,85.2
349.0,85.2
351.0,85.2
353.0,85.2
355.0,85.2
357.0,85.2
359.0,85.2
361.0,85.2
363.0,85.2
365.0,85.2
367.0,85.2
369.0,85.2
371.0,85.2
373.0,85.2
375.0,85.2
377.0,85.2
379.0,85.2
381.0,85.2
383.0,85.2
385.0,85.2
387.0,85.2
389.0,85.2
391.0,90.1
393.0,90.0
395.0,90.1
397.0,88.9
399.0,85.2
401.0,85.2
403.0,85.2
405.0,85.2
407.0,85.2
409.0,85.2
411.0,85.2
413.0,96.4
415.0,96.4
417.0,85.2
419.0,85.2
421.0,85.2
423.0,85.2
425.0,85.2
427.0,85.2
429.0,85.2
431.0,85.2
433.0,85.2
435.0,85.2
437.0,85.2
439.0,85.2
441.0,85.2
443.0,85.2
445.0,85.2
447.0,85.2
449.0,85.2
451.0,85.2
453.0,85.2
455.0,85.2
457.0,85.2
459.0,104.6
461.0,104.7
463.0,104.7
465.0,104.6
467.0,104.6
469.0,105.6
471.0,105.6
473.0,105.6
475.0,98.6
477.0,98.6
479.0,98.6
481.0,70.7
483.0,70.7
485.0,115.6
487.0,111.8
489.0,111.8
491.0,111.8
493.0,111.8
495.0,111.8
497.0,111.8
499.0,111.8
501.0,111.8
503.0,111.8
505.0,111.8
507.0,111.8
509.0,111.8
511.0,111.8
513.0,111.8
515.0,111.8
517.0,111.8
519.0,111.8
521.0,111.8
523.0,111.8
525.0,111.8
527.0,111.8
529.0,111.8
531.0,111.8
533.0,111.8
535.0,112.7
537.0,112.4
539.0,112.1
541.0,111.8
543.0,111.8
545.0,111.8
547.0,111.8
549.0,111.8
551.0,111.8
553.0,111.8
555.0,111.8
557.0,111.8
559.0,111.8
561.0,111.8
563.0,111.8
565.0,124.2
567.0,121.6
569.0,121.6
571.0,86.5
573.0,86.5
575.0,86.5
577.0,86.5
579.0,86.5
581.0,86.5
583.0,86.5
585.0,86.5
587.0,86.5
589.0,86.5
591.0,86.5
593.0,86.5
595.0,86.5
597.0,86.5
599.0,86.5
601.0,86.5
603.0,86.5
605.0,86.5
607.0,122.8
609.0,106.9
611.0,106.9
613.0,106.1
615.0,106.1
617.0,106.1
619.0,106.1
621.0,106.1
623.0,106.1
625.0,106.1
627.0,106.1
629.0,106.1
631.0,106.1
633.0,106.1
635.0,106.1
637.0,106.1
639.0,106.1
641.0,106.1
643.0,106.1
645.0,106.1
647.0,106.1
649.0,106.1
651.0,106.1
653.0,114.7
655.0,110.0
657.0,106.1
659.0,106.1
