time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,43.00,1
7,0.00,0.00,0.00,0.00,51.50,1
9,0.00,0.00,0.00,0.00,56.43,1
11,0.00,0.00,0.00,0.00,56.60,1
13,0.00,0.00,0.00,0.00,58.17,1
15,0.00,0.00,0.09,1.07,57.45,1
17,0.00,0.00,0.00,0.00,54.03,4
19,0.00,0.00,0.03,0.33,45.55,4
21,0.00,0.00,0.03,0.41,40.88,4
23,0.00,0.00,0.00,0.00,38.29,4
25,1.35,5.38,0.22,1.79,34.63,1
27,1.42,5.68,0.51,3.79,33.96,1
29,2.99,11.94,0.96,5.79,33.02,1
31,4.45,17.81,1.46,7.79,32.12,1
33,1.87,7.47,1.31,9.79,28.84,1
35,1.75,6.35,1.86,11.79,23.34,1
37,5.99,18.08,1.80,13.79,22.97,1
39,6.85,17.69,2.12,15.79,24.64,1
41,9.24,24.95,2.44,17.79,19.02,1
43,10.55,30.22,2.41,19.79,18.86,1
45,11.22,32.91,2.90,21.79,22.94,1
47,12.13,36.54,3.08,23.79,26.04,1
49,12.12,36.50,3.57,25.79,24.78,3
51,12.12,36.50,3.84,27.79,20.97,3
53,12.12,36.50,4.08,29.79,21.04,3
55,13.61,42.47,4.41,31.79,20.00,3
57,13.80,43.23,4.10,24.52,21.22,3
59,14.57,42.49,4.40,25.17,23.55,3
61,10.70,26.07,5.19,27.17,23.36,3
63,8.90,18.87,5.33,29.17,23.54,3
65,9.01,19.31,6.16,31.17,23.23,3
67,9.20,19.31,6.22,33.17,21.46,3
69,12.00,24.44,5.96,35.17,23.01,2
71,12.98,25.81,6.79,37.17,21.09,2
73,13.68,25.81,7.24,39.17,24.86,2
75,13.84,25.81,8.07,41.17,24.40,2
77,13.06,28.15,6.99,40.37,21.14,1
79,10.86,38.26,5.21,21.89,18.24,1
81,13.88,49.29,5.44,23.89,17.04,1
83,18.13,62.66,6.21,25.89,13.88,1
85,19.63,68.77,6.86,25.75,13.79,1
87,21.80,77.44,6.30,27.75,14.95,1
89,23.74,84.88,6.67,22.29,17.05,1
91,24.21,86.76,6.94,21.09,14.94,1
93,26.38,86.75,7.50,23.09,14.88,1
95,28.91,92.57,8.50,25.09,17.91,1
97,31.79,104.14,9.64,27.09,19.07,1
99,32.23,105.90,9.27,29.09,21.08,1
101,31.93,104.69,10.27,31.09,21.61,1
103,8.43,17.83,10.75,33.09,21.09,1
105,10.08,17.83,11.77,35.09,18.88,1
107,10.04,17.83,12.73,37.09,18.91,1
109,11.23,21.74,13.52,39.09,19.92,1
111,14.03,23.85,14.67,41.09,18.82,1
113,14.39,23.84,15.42,43.09,19.46,1
115,14.39,23.84,16.50,45.09,20.83,1
117,14.77,23.84,17.65,47.09,24.87,1
119,16.14,24.83,18.74,49.09,25.67,1
121,16.11,24.72,19.86,51.09,21.09,2
123,16.11,24.72,20.96,53.09,18.44,2
125,16.11,24.72,21.89,55.09,17.49,2
127,18.77,30.89,22.96,57.09,15.81,2
129,17.86,35.87,22.71,56.75,16.04,2
131,18.31,37.16,19.76,58.75,16.17,2
133,15.94,30.35,17.03,60.75,20.78,1
135,12.86,30.35,18.36,62.75,21.85,1
137,12.85,30.35,18.65,64.75,21.79,1
139,15.04,30.35,19.18,66.75,19.93,1
141,16.90,30.35,20.35,68.75,17.90,1
143,13.34,30.35,20.85,70.75,13.77,1
145,11.77,30.35,21.54,72.75,13.54,1
147,14.27,30.35,21.46,74.75,15.04,1
149,16.18,30.35,22.77,76.75,16.58,1
151,16.20,30.35,23.95,78.75,18.53,1
153,16.20,30.35,24.60,80.75,17.37,3
155,16.20,30.35,25.15,82.75,15.97,3
157,16.77,31.53,25.64,84.75,18.43,3
159,18.54,38.63,25.14,86.75,18.22,3
161,19.26,41.52,25.77,88.75,16.18,2
163,15.68,41.50,26.61,90.75,11.88,2
