time,value
1,0.05
5,0.02
9,0.03
13,0.04
17,0.02
21,0.03
25,0.01
29,0.01
33,0.01
37,0.02
41,0.02
45,0.05
49,0.03
53,0.05
57,0.05
61,0.08
65,0.11
69,0.05
73,0.07
77,0.16
81,0.16
85,0.29
89,0.25
93,0.28
97,0.14
101,0.06
105,0.12
109,0.14
113,0.20
117,0.13
121,0.09
125,0.15
129,0.20
133,0.27
137,0.23
141,0.08
145,0.11
149,0.20
153,0.11
157,0.20
161,0.20
165,0.16
169,0.30
173,0.16
177,0.25
181,0.18
185,0.29
189,0.33
193,0.20
197,0.33
201,0.32
205,0.28
209,0.17
213,0.28
217,0.31
221,0.30
225,0.33
229,0.24
233,0.33
237,0.46
241,0.21
245,0.47
249,0.24
253,0.42
257,0.38
261,0.43
265,0.37
269,0.21
273,0.33
277,0.32
281,0.30
285,0.28
289,0.16
293,0.25
297,0.44
301,0.27
305,0.41
309,0.34
313,0.42
317,0.49
321,0.22
325,0.35
329,0.38
333,0.42
337,0.23
341,0.33
345,0.16
349,0.40
353,0.18
357,0.35
361,0.47
365,0.32
369,0.17
373,0.37
377,0.38
381,0.37
385,0.23
389,0.42
393,0.63
397,0.22
401,0.38
405,0.44
409,0.52
413,0.35
417,0.21
421,0.32
425,0.33
429,0.32
433,0.29
437,0.29
441,0.23
445,0.52
449,0.39
453,0.35
457,0.35
461,0.21
465,0.41
469,0.55
473,0.56
477,0.41
481,0.66
485,0.50
489,0.27
493,0.44
497,0.43
501,0.51
505,0.55
509,0.30
513,0.65
517,0.33
521,0.44
525,0.54
529,0.55
533,0.41
537,0.68
541,0.30
545,0.50
549,0.68
553,0.44
557,0.30
561,0.34
565,0.72
569,0.34
573,0.58
577,0.53
581,0.35
585,0.56
589,0.77
593,0.59
597,0.57
601,0.77
605,0.69
609,0.30
613,0.61
617,0.32
621,0.57
625,0.32
629,0.59
633,0.77
637,0.46
641,0.46
645,0.27
649,0.27
653,0.41
657,0.47
661,0.27
665,0.55
669,0.64
673,0.90
677,0.26
681,0.49
685,0.45
689,0.48
693,0.52
697,0.24
701,0.45
705,0.28
709,0.60
713,0.25
717,0.51
721,0.45
725,0.39
729,0.25
733,0.51
737,1.12
741,0.53
745,0.25
749,0.76
753,0.54
757,0.44
761,0.37
765,0.44
769,0.57
773,0.48
777,0.64
781,0.43
785,0.97
789,0.78
793,0.51
797,0.32
801,0.56
805,0.48
809,0.50
813,0.76
817,0.42
821,0.35
825,1.34
829,0.62
833,0.38
837,0.87
841,0.54
845,0.85
849,0.38
853,0.65
857,0.43
861,0.28
865,0.63
869,0.32
873,0.42
877,0.47
881,0.75
885,0.51
889,0.75
893,0.80
897,0.43
901,1.01
905,0.68
909,0.61
913,0.41
917,0.87
921,0.89
925,0.46
929,0.46
933,0.45
937,0.28
941,0.40
945,0.45
949,0.41
953,0.51
957,0.25
961,0.51
965,0.50
969,0.25
973,0.43
977,0.57
981,0.41
985,0.25
989,0.47
993,0.39
997,0.21
