time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,36.00,1
3,0.00,0.00,0.00,0.00,47.90,1
5,0.00,0.00,0.00,0.00,58.60,1
7,0.00,0.00,0.00,0.00,48.70,1
9,0.00,0.00,0.00,0.00,48.30,1
11,0.00,0.00,0.00,0.00,46.95,1
13,0.00,0.00,0.00,0.00,40.80,1
15,0.00,0.00,0.10,1.24,45.47,1
17,0.00,0.00,0.00,0.00,44.13,1
19,0.00,0.00,0.04,0.52,41.50,1
21,0.23,0.91,0.21,2.52,43.88,1
23,1.37,5.46,0.38,4.52,47.90,3
25,1.33,5.32,0.63,6.52,46.53,3
27,1.33,5.32,0.84,8.52,45.33,3
29,1.33,5.32,0.88,10.52,39.90,3
31,1.33,5.32,1.08,12.52,35.99,3
33,1.42,5.69,1.41,14.52,27.54,3
35,3.74,14.97,1.75,16.52,22.19,3
37,6.24,24.95,2.20,18.52,15.66,3
39,7.12,25.74,2.77,20.52,9.90,2
41,8.90,27.51,3.44,22.52,8.79,2
43,10.97,32.22,4.11,24.52,8.20,2
45,12.31,32.12,4.77,26.52,12.16,2
47,13.30,36.25,4.43,16.46,17.52,2
49,13.73,37.94,4.89,18.45,18.39,2
51,8.34,16.97,5.54,20.45,21.00,2
53,5.49,16.97,5.70,22.45,22.79,2
55,5.49,16.97,6.54,24.45,27.55,2
57,5.49,16.97,6.85,26.45,28.38,2
59,6.12,19.50,6.72,28.45,29.29,2
61,7.17,23.70,7.55,30.45,26.78,2
63,7.16,23.64,8.39,32.45,25.16,4
65,7.65,25.63,8.69,34.45,24.21,4
67,9.80,34.30,9.36,36.45,24.15,4
69,11.57,36.31,10.04,38.45,19.13,4
71,10.20,40.37,8.04,35.47,17.65,4
73,13.40,45.01,8.79,37.47,16.69,4
75,16.13,55.26,9.25,39.47,12.78,4
77,19.08,62.84,10.17,41.47,9.40,4
79,20.42,62.72,11.18,43.47,9.48,1
81,23.04,70.21,12.17,45.47,7.99,1
83,25.45,76.22,13.17,47.47,8.50,1
85,27.58,76.12,14.17,49.47,6.77,1
87,27.94,76.12,14.70,48.82,9.74,1
89,29.79,79.25,13.34,47.85,11.35,1
91,31.13,82.67,13.10,39.56,12.54,1
93,32.72,89.02,13.73,41.56,14.30,1
95,32.74,89.10,14.44,43.56,17.68,1
97,33.20,89.10,13.06,45.56,19.63,1
99,33.16,83.96,13.90,47.56,21.39,1
101,14.91,43.96,14.70,49.56,20.81,1
103,14.91,43.96,15.61,51.56,18.88,3
105,16.50,43.96,15.90,53.56,18.06,3
107,18.27,46.41,16.29,55.56,16.72,3
109,20.05,50.48,17.46,57.56,15.10,3
111,20.92,50.43,17.78,47.39,12.91,3
113,21.54,50.43,17.54,44.13,11.07,2
115,22.72,50.43,16.31,46.13,10.44,2
117,25.13,50.43,17.33,48.13,16.33,2
119,29.16,50.43,18.49,50.13,17.90,2
121,26.97,50.43,15.68,45.05,18.02,2
123,24.67,50.43,15.85,44.75,14.62,2
125,27.28,52.17,15.92,42.91,13.44,2
127,30.45,57.60,17.26,44.91,12.68,2
129,33.36,61.03,17.69,44.43,12.43,2
131,24.00,50.60,15.37,43.02,13.72,2
133,22.96,56.46,15.78,43.40,15.38,2
135,22.89,56.18,16.12,45.40,14.74,2
137,22.89,56.18,14.89,47.40,18.12,2
139,22.89,56.18,15.61,49.40,19.47,4
141,23.20,56.18,16.60,51.40,19.04,4
143,26.42,64.87,17.25,53.40,20.21,4
145,25.39,69.42,17.59,55.40,17.64,4
147,26.42,75.05,13.60,56.32,13.37,4
149,27.80,80.62,13.76,58.32,8.77,1
151,29.57,81.16,14.42,60.32,6.97,1
153,34.92,81.16,15.90,62.32,7.32,1
155,37.83,82.50,17.55,64.32,6.84,1
157,38.43,87.31,18.74,63.59,8.11,1
159,34.43,90.96,18.35,45.43,10.56,1
161,35.52,95.35,15.59,44.72,14.44,1
163,36.69,100.02,11.01,40.20,15.24,1
165,36.67,99.95,12.27,39.41,16.57,1
167,37.33,102.58,13.73,38.97,17.66,1
169,39.37,110.74,14.82,39.04,19.05,1
171,39.78,112.36,15.71,38.27,17.25,1
173,41.40,118.85,16.18,32.28,18.05,3
175,42.49,123.23,15.52,27.43,14.47,3
177,44.15,125.08,16.86,29.43,15.16,3
179,44.74,118.27,18.18,31.43,18.55,3
181,18.32,30.58,16.72,33.43,17.48,2
