time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.50
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.43
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.60
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.17
15,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.36,0.64,1.07,57.45
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.03
19,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.11,0.20,0.33,45.55
21,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.14,0.08,0.41,40.88
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.95
25,0.00,5.38,2.69,5.38,0.51,0.37,1.79,0.89,0.68,1.79,31.44
27,2.84,5.68,4.26,5.68,0.00,2.37,3.79,2.05,2.18,3.79,28.13
29,11.94,5.68,8.81,11.94,1.41,4.37,5.79,3.86,4.06,5.79,27.01
31,17.81,5.68,11.75,17.81,3.41,6.37,7.79,5.86,6.06,7.79,29.11
33,7.47,5.68,6.58,7.47,5.41,0.56,9.79,5.25,3.38,9.79,29.50
35,0.00,6.35,3.17,6.35,6.86,2.56,11.79,7.07,5.27,11.79,27.06
37,0.00,18.08,9.04,18.08,0.13,4.56,13.79,6.16,5.52,13.79,28.94
39,0.00,17.69,8.84,17.69,2.13,2.31,15.79,6.74,4.97,15.79,30.80
41,0.00,24.95,12.48,24.95,0.00,4.31,17.79,7.37,6.14,17.79,24.46
43,0.00,30.22,15.11,30.22,0.00,0.00,19.79,6.60,3.96,19.79,23.57
45,0.00,32.91,16.46,32.91,1.83,0.00,21.79,7.87,4.72,21.79,25.38
47,0.00,36.54,18.27,36.54,0.00,0.00,23.79,7.93,4.76,23.79,28.02
49,0.00,36.50,18.25,36.50,0.00,1.90,25.79,9.23,6.30,25.79,25.60
51,0.00,36.50,18.25,36.50,0.00,1.17,27.79,9.65,6.26,27.79,21.88
53,0.00,36.50,18.25,36.50,0.00,0.00,29.79,9.93,5.96,29.79,25.06
55,0.00,42.47,21.23,42.47,0.00,0.00,31.79,10.60,6.36,31.79,23.47
57,0.00,43.23,21.61,43.23,0.00,0.00,24.52,8.17,4.90,24.52,24.90
59,0.32,42.49,21.41,42.49,0.00,1.89,22.24,8.05,5.58,22.24,21.34
61,9.74,26.07,17.90,26.07,1.53,3.89,24.24,9.89,7.49,24.24,19.56
63,18.87,0.00,9.43,18.87,3.53,5.89,17.86,9.09,7.81,17.86,18.02
65,19.31,0.00,9.65,19.31,5.53,7.89,19.86,11.09,9.81,19.86,21.87
67,19.31,0.00,9.65,19.31,7.53,9.89,12.60,10.01,9.96,12.60,22.97
69,24.44,0.00,12.22,24.44,9.53,11.89,0.00,7.14,9.04,11.89,27.44
71,25.81,0.00,12.91,25.81,11.53,13.89,1.64,9.02,10.97,13.89,26.54
