time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,43.00,1
7,0.00,0.00,0.00,0.00,51.50,1
9,0.00,0.00,0.00,0.00,56.43,1
11,0.00,0.00,0.00,0.00,56.60,1
13,0.00,0.00,0.00,0.00,58.17,1
15,0.00,0.00,0.09,1.07,57.45,1
17,0.00,0.00,0.00,0.00,52.34,1
19,0.00,0.00,0.03,0.33,47.41,1
21,0.00,0.00,0.03,0.41,45.78,1
23,0.00,0.00,0.00,0.00,41.41,3
25,1.35,5.38,0.22,1.79,34.59,3
27,1.40,5.59,0.51,3.79,30.60,3
29,3.61,14.42,1.06,5.79,25.05,3
31,5.52,17.85,1.07,6.37,20.99,3
33,7.51,17.83,1.65,8.37,19.48,3
35,8.12,20.51,2.07,10.37,16.75,3
37,10.39,29.58,2.63,12.37,16.32,3
39,10.85,31.42,3.30,14.37,16.21,3
41,12.03,36.14,3.57,16.37,15.01,3
43,13.08,40.34,4.07,18.37,18.91,2
45,13.36,41.44,4.57,20.37,18.03,2
47,14.29,45.18,5.21,22.37,18.39,2
49,13.83,47.84,5.57,24.37,18.18,2
51,13.45,53.79,5.14,26.37,15.33,2
53,14.27,57.10,4.58,28.37,11.73,2
55,15.64,62.56,4.80,30.37,10.11,2
57,18.10,72.42,5.27,32.37,13.74,2
59,19.82,79.28,5.77,34.37,17.59,2
61,20.36,81.44,6.32,36.37,12.64,2
63,20.36,81.44,6.77,38.37,8.47,4
65,20.63,82.52,7.31,40.37,10.31,4
67,24.20,92.93,8.02,42.37,11.84,4
69,23.65,94.61,8.85,44.37,13.74,4
71,25.30,94.60,9.27,46.37,14.16,4
73,26.45,94.60,10.10,48.37,12.46,4
75,27.56,99.11,10.94,50.37,12.14,4
77,31.07,113.12,11.88,52.37,9.70,4
79,35.04,125.93,12.82,54.37,8.07,1
81,40.17,139.31,13.82,56.37,7.56,1
83,42.06,147.01,14.84,58.37,7.51,1
85,43.93,154.51,15.94,60.37,6.51,1
87,46.06,160.75,16.27,59.29,5.07,1
89,47.73,162.75,17.12,60.73,6.31,1
91,47.60,162.27,17.45,58.56,6.24,1
93,48.19,162.27,18.04,56.73,7.50,1
95,49.35,162.27,18.57,57.62,9.24,1
97,50.76,162.27,18.77,55.07,13.31,1
99,50.71,162.27,18.36,52.04,14.89,1
101,50.71,162.27,19.16,50.81,15.28,1
103,50.71,162.27,19.62,47.56,14.75,3
105,50.98,162.27,20.23,49.56,13.84,3
107,53.89,162.27,21.23,51.56,13.89,3
109,54.62,162.27,19.84,53.56,12.38,3
111,52.89,162.27,19.66,52.14,12.60,3
113,52.89,162.27,17.11,54.14,10.18,3
115,54.36,162.27,17.88,56.14,11.53,3
117,57.15,162.01,18.88,58.14,11.75,3
119,39.33,84.79,19.88,60.14,13.49,3
121,30.12,71.81,21.00,62.14,10.79,2
123,33.14,78.14,21.72,64.14,10.01,2
125,33.66,80.58,22.89,66.14,10.69,2
127,33.97,86.24,24.05,68.14,11.64,2
129,36.48,91.44,22.58,70.14,11.25,2
131,37.50,89.63,22.64,72.14,9.58,2
133,39.52,88.18,22.56,74.14,8.14,2
135,44.60,94.02,22.85,76.14,8.17,2
137,49.76,101.54,23.54,78.14,7.16,2
139,55.41,112.19,24.54,80.14,6.59,4
141,59.97,122.05,23.34,82.14,5.79,4
143,65.37,134.64,23.67,84.14,4.04,4
145,67.62,142.26,22.95,84.42,3.17,4
147,71.38,151.16,22.40,86.42,3.83,4
149,74.20,162.55,23.40,88.42,5.25,1
151,73.58,160.22,24.40,90.42,7.25,1
153,74.26,160.00,25.40,92.42,8.17,1
155,74.42,160.00,26.40,94.42,9.40,1
157,58.75,160.00,26.84,89.71,10.09,1
159,51.01,160.00,27.14,83.23,11.03,1
161,51.00,160.00,27.44,81.47,9.52,1
163,51.09,160.00,28.28,81.56,8.40,1
