time,value
1,0.04
5,0.01
9,0.02
13,0.05
17,0.02
21,0.03
25,0.05
29,0.01
33,0.02
37,0.03
41,0.02
45,0.05
49,0.02
53,0.04
57,0.04
61,0.05
65,0.12
69,0.08
73,0.11
77,0.15
81,0.12
85,0.22
89,0.27
93,0.17
97,0.06
101,0.12
105,0.14
109,0.24
113,0.15
117,0.28
121,0.04
125,0.15
129,0.11
133,0.11
137,0.17
141,0.08
145,0.21
149,0.36
153,0.45
157,0.18
161,0.10
165,0.20
169,0.21
173,0.24
177,0.29
181,0.24
185,0.28
189,0.16
193,0.26
197,0.33
201,0.28
205,0.17
209,0.28
213,0.24
217,0.33
221,0.14
225,0.25
229,0.30
233,0.32
237,0.16
241,0.32
245,0.33
249,0.31
253,0.35
257,0.19
261,0.31
265,0.31
269,0.49
273,0.16
277,0.31
281,0.30
285,0.27
289,0.12
293,0.17
297,0.21
301,0.13
305,0.28
309,0.13
313,0.16
317,0.24
321,0.35
325,0.17
329,0.27
333,0.30
337,0.42
341,0.20
345,0.38
349,0.40
353,0.24
357,0.33
361,0.24
365,0.35
369,0.35
373,0.21
377,0.31
381,0.32
385,0.30
389,0.18
393,0.27
397,0.31
401,0.37
405,0.24
409,0.35
413,0.20
417,0.29
421,0.33
425,0.34
429,0.17
433,0.32
437,0.40
441,0.46
445,0.44
449,0.19
453,0.33
457,0.30
461,0.19
465,0.30
469,0.17
473,0.40
477,0.38
481,0.39
485,0.19
489,0.30
493,0.19
497,0.34
501,0.16
505,0.41
509,0.18
513,0.34
517,0.17
521,0.33
525,0.32
529,0.17
533,0.32
537,0.40
541,0.38
545,0.17
549,0.34
553,0.35
557,0.37
561,0.16
565,0.35
569,0.16
573,0.24
577,0.26
581,0.22
585,0.13
589,0.46
593,0.29
597,0.20
601,0.35
605,0.23
609,0.36
613,0.14
617,0.16
621,0.14
625,0.19
629,0.65
633,0.35
637,0.35
641,0.21
645,0.30
649,0.18
653,0.31
657,0.21
661,0.29
665,0.37
669,0.19
673,0.33
677,0.27
681,0.30
685,0.33
689,0.14
693,0.58
697,0.29
701,0.39
705,0.45
709,0.31
713,0.19
717,0.27
721,0.29
725,0.30
729,0.16
733,0.36
737,0.19
741,0.32
745,0.36
749,0.44
753,0.21
757,0.46
761,0.47
765,0.40
769,0.38
773,0.37
777,0.29
781,0.49
785,0.43
789,0.46
793,0.27
797,0.47
801,0.47
805,0.27
809,0.49
813,0.53
817,0.46
821,0.45
825,0.24
829,0.36
833,0.41
837,0.38
841,0.25
845,0.43
849,0.38
853,0.25
857,0.37
861,0.27
865,0.44
869,0.43
873,0.45
877,0.25
881,0.27
885,0.25
889,0.27
893,0.24
897,0.30
901,0.43
905,0.47
909,0.49
913,0.47
917,0.27
921,0.36
925,0.25
929,0.35
933,0.46
937,0.51
941,0.41
945,0.24
949,0.51
953,0.52
957,0.32
961,0.63
965,0.32
969,0.55
973,0.59
977,0.49
981,0.27
985,0.38
989,0.38
993,0.31
997,0.17
