time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,60.00,1
9,0.00,0.00,0.00,0.00,60.00,1
11,0.00,0.00,0.00,0.00,60.00,1
13,0.00,0.00,0.00,0.00,60.00,1
15,0.00,0.00,0.00,0.00,60.00,1
17,0.00,0.00,0.00,0.00,60.00,1
19,0.00,0.00,0.00,0.00,60.00,1
21,0.00,0.00,0.00,0.00,60.00,1
23,0.00,0.00,0.00,0.00,60.00,1
25,0.00,0.00,0.00,0.00,53.95,1
27,0.00,0.00,0.00,0.00,58.70,1
29,0.00,0.00,0.00,0.00,57.77,2
31,0.00,0.00,0.00,0.00,57.58,2
33,0.00,0.00,0.00,0.00,51.77,2
35,0.00,0.00,0.00,0.00,44.43,2
37,0.37,1.49,0.22,1.84,40.26,2
39,1.11,4.42,0.32,3.84,38.74,2
41,1.09,4.35,0.57,5.84,42.82,2
43,1.09,4.35,0.65,7.84,48.22,1
45,1.09,4.35,0.93,9.84,41.44,1
47,1.09,4.35,1.00,11.84,36.55,1
49,0.92,3.67,1.33,13.84,50.62,1
51,0.00,0.00,0.34,4.13,45.84,4
53,0.00,0.00,0.12,1.13,45.60,4
55,0.00,0.00,0.00,0.00,47.73,4
57,0.00,0.00,0.15,1.33,46.68,4
59,0.00,0.00,0.20,2.43,38.28,2
61,1.13,4.53,0.43,4.43,33.95,2
63,1.43,5.71,0.59,6.43,29.27,2
65,1.41,5.63,1.03,8.43,35.25,2
67,1.67,5.94,1.66,10.43,36.95,2
69,1.42,5.69,1.14,5.26,42.01,3
71,1.42,5.69,1.17,7.26,42.20,3
73,1.40,5.60,0.77,9.26,52.40,3
75,0.12,0.48,1.04,11.26,45.33,3
77,0.00,0.00,0.33,2.10,40.22,2
79,1.33,3.06,0.67,4.10,36.43,2
81,1.51,5.12,1.00,6.10,37.52,2
83,3.94,7.51,1.78,8.10,33.24,2
85,4.35,10.77,2.15,10.10,32.57,1
87,3.85,10.75,2.16,12.10,28.63,1
89,5.43,17.08,2.59,14.10,28.85,1
91,6.85,22.74,1.91,9.93,32.40,1
93,5.80,18.55,2.10,11.93,34.20,1
95,1.86,5.65,2.27,13.38,30.94,4
97,2.78,5.60,3.16,15.38,30.59,4
99,4.25,8.26,2.85,17.38,30.42,4
101,5.70,11.75,3.52,19.38,32.11,4
103,5.68,11.71,4.19,21.38,32.17,2
105,6.90,11.71,3.43,13.95,26.96,2
107,7.91,14.49,3.63,15.95,18.78,2
109,8.83,18.15,4.66,17.95,18.54,2
111,8.88,18.04,5.99,19.95,15.56,1
113,8.50,11.74,6.34,19.85,17.66,1
115,8.93,13.39,6.89,21.85,14.94,1
117,12.24,19.22,8.13,23.85,18.71,1
119,13.52,19.44,9.46,25.85,18.86,2
121,14.98,25.36,9.29,27.85,20.30,2
123,14.97,22.00,9.79,29.85,22.57,2
125,11.44,23.20,11.04,31.85,23.28,2
127,14.04,23.20,12.63,33.85,22.61,2
129,14.55,22.59,13.32,35.85,21.99,2
131,10.34,18.44,14.66,37.85,20.82,2
133,11.95,18.77,16.08,39.85,15.53,2
135,13.33,24.29,16.93,41.85,14.46,2
137,15.48,32.86,17.86,43.85,9.64,1
139,15.42,32.65,18.79,45.85,10.81,1
141,19.90,50.55,20.31,47.85,10.16,1
143,21.80,58.14,21.74,49.85,12.67,1
145,20.16,58.07,20.63,51.85,17.01,1
147,18.97,58.07,19.82,53.85,18.92,1
149,20.44,59.08,18.20,55.85,20.19,1
151,21.61,63.85,19.24,57.85,20.12,1
153,21.28,62.53,20.34,59.85,19.54,1
155,13.90,32.99,21.29,61.85,19.18,1
157,8.58,11.77,22.50,63.85,19.41,2
159,10.92,16.71,23.41,65.85,19.11,2
161,11.59,18.01,24.55,67.85,18.70,2
163,11.72,17.93,25.19,69.85,17.66,2
