time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.0
27.0,3.8
29.0,4.7
31.0,4.7
33.0,4.8
35.0,4.7
37.0,4.7
39.0,4.7
41.0,5.2
43.0,7.7
45.0,10.5
47.0,5.0
49.0,5.0
51.0,4.9
53.0,0.2
55.0,3.9
57.0,10.6
59.0,11.1
61.0,11.1
63.0,11.1
65.0,14.9
67.0,17.5
69.0,17.4
71.0,7.1
73.0,12.0
75.0,11.9
77.0,11.9
79.0,11.9
81.0,11.9
83.0,11.9
85.0,13.7
87.0,18.5
89.0,18.4
91.0,18.4
93.0,18.3
95.0,5.9
97.0,7.1
99.0,12.5
101.0,12.4
103.0,12.4
105.0,13.4
107.0,18.6
109.0,18.4
111.0,11.8
113.0,18.3
115.0,18.1
117.0,24.1
119.0,21.9
121.0,23.3
123.0,25.1
125.0,29.4
127.0,39.9
129.0,44.6
131.0,44.5
133.0,44.5
135.0,31.7
137.0,31.7
139.0,31.7
141.0,31.7
143.0,31.7
145.0,31.7
147.0,31.7
149.0,38.9
151.0,38.6
153.0,38.6
155.0,32.2
157.0,25.0
159.0,25.0
161.0,25.0
163.0,24.8
165.0,24.6
167.0,31.7
169.0,35.8
171.0,42.3
173.0,42.1
175.0,45.9
177.0,48.1
179.0,53.9
181.0,55.1
183.0,61.8
185.0,67.6
187.0,67.4
189.0,50.1
191.0,43.8
193.0,43.8
195.0,43.8
197.0,43.8
199.0,43.6
201.0,31.1
203.0,31.1
205.0,31.1
207.0,31.1
209.0,31.1
211.0,31.1
213.0,31.1
215.0,31.1
217.0,31.1
219.0,31.1
221.0,35.7
223.0,36.9
225.0,36.9
227.0,39.6
229.0,43.3
231.0,40.2
233.0,36.4
235.0,39.7
237.0,43.3
239.0,43.3
241.0,43.3
243.0,43.3
245.0,43.3
247.0,45.3
249.0,49.4
251.0,49.4
253.0,49.4
255.0,49.4
257.0,49.1
259.0,37.1
261.0,43.9
263.0,43.6
265.0,43.6
267.0,43.6
269.0,32.4
271.0,31.7
273.0,37.6
275.0,37.4
277.0,44.2
279.0,43.8
281.0,20.8
283.0,25.2
285.0,25.1
287.0,25.4
289.0,30.8
291.0,33.0
293.0,37.5
295.0,42.2
297.0,25.7
299.0,31.1
301.0,36.5
303.0,41.8
305.0,43.5
307.0,43.5
309.0,43.5
311.0,29.7
313.0,29.1
315.0,31.8
317.0,31.8
319.0,31.7
321.0,31.1
323.0,30.0
325.0,29.0
327.0,33.7
329.0,32.4
331.0,25.9
333.0,32.9
335.0,35.6
337.0,35.6
339.0,35.6
341.0,35.6
343.0,35.6
345.0,35.4
347.0,32.1
349.0,32.1
351.0,38.1
353.0,45.9
355.0,45.7
357.0,45.7
359.0,45.7
361.0,49.1
363.0,52.6
365.0,24.9
367.0,24.9
369.0,24.9
371.0,24.9
373.0,25.3
375.0,31.8
377.0,31.6
379.0,36.1
381.0,37.2
383.0,37.2
385.0,37.2
387.0,41.6
389.0,42.2
391.0,44.1
393.0,44.3
395.0,50.2
397.0,50.0
399.0,50.0
401.0,50.0
403.0,50.0
405.0,50.0
407.0,50.0
409.0,50.0
411.0,52.6
413.0,58.4
415.0,62.4
417.0,62.4
419.0,62.4
421.0,66.4
423.0,68.7
425.0,68.7
427.0,68.6
429.0,68.1
431.0,67.1
433.0,62.2
435.0,32.0
437.0,31.6
439.0,24.3
441.0,29.9
443.0,29.8
445.0,29.8
447.0,36.4
449.0,36.5
451.0,36.5
453.0,36.5
455.0,36.5
457.0,36.5
459.0,37.2
461.0,43.4
463.0,43.2
465.0,43.2
467.0,45.0
469.0,49.8
471.0,49.7
473.0,48.9
475.0,46.0
477.0,41.6
479.0,25.5
481.0,30.0
483.0,31.9
485.0,31.7
487.0,35.5
489.0,38.3
491.0,38.3
493.0,37.8
495.0,31.4
497.0,32.9
499.0,38.5
501.0,38.3
503.0,38.3
505.0,38.3
507.0,34.2
509.0,40.2
511.0,40.1
513.0,40.1
515.0,40.1
517.0,40.0
519.0,19.2
521.0,19.1
523.0,29.1
525.0,31.2
527.0,30.9
529.0,33.9
531.0,40.0
533.0,45.0
535.0,47.8
537.0,50.0
539.0,54.6
541.0,53.6
543.0,25.5
545.0,25.5
547.0,25.5
549.0,27.0
551.0,30.9
553.0,29.8
555.0,23.8
557.0,31.2
559.0,30.8
561.0,28.3
563.0,30.4
565.0,30.4
567.0,30.4
569.0,30.4
571.0,31.4
573.0,31.2
575.0,31.5
577.0,36.8
579.0,36.6
581.0,36.4
583.0,30.4
585.0,30.4
587.0,30.4
589.0,30.4
591.0,31.0
593.0,36.3
595.0,36.2
597.0,35.9
599.0,36.3
601.0,36.3
603.0,36.3
605.0,41.9
607.0,43.5
609.0,43.5
611.0,43.1
613.0,41.7
615.0,39.7
617.0,37.8
619.0,37.5
621.0,37.5
623.0,37.5
625.0,40.9
627.0,50.2
629.0,49.9
631.0,49.9
633.0,50.9
635.0,55.8
637.0,55.6
639.0,55.6
641.0,49.5
643.0,12.4
645.0,19.3
647.0,23.5
649.0,29.4
651.0,29.2
653.0,29.2
655.0,29.2
657.0,18.4
659.0,18.3
