time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.0
27.0,0.0
29.0,0.0
31.0,0.0
33.0,0.0
35.0,0.0
37.0,0.0
39.0,0.0
41.0,0.0
43.0,0.0
45.0,0.0
47.0,0.0
49.0,0.0
51.0,0.0
53.0,0.0
55.0,0.0
57.0,0.0
59.0,0.0
61.0,0.0
63.0,1.7
65.0,1.7
67.0,29.6
69.0,29.6
71.0,29.6
73.0,29.6
75.0,29.6
77.0,29.6
79.0,29.6
81.0,29.6
83.0,29.6
85.0,29.6
87.0,29.6
89.0,29.6
91.0,29.6
93.0,29.6
95.0,29.6
97.0,29.6
99.0,29.6
101.0,29.6
103.0,29.6
105.0,39.4
107.0,44.1
109.0,44.1
111.0,35.2
113.0,35.2
115.0,35.2
117.0,35.2
119.0,35.2
121.0,35.2
123.0,35.2
125.0,35.2
127.0,35.2
129.0,35.2
131.0,29.6
133.0,29.6
135.0,29.6
137.0,29.6
139.0,29.6
141.0,29.6
143.0,59.5
145.0,30.5
147.0,28.8
149.0,28.8
151.0,26.3
153.0,26.3
155.0,26.3
157.0,26.3
159.0,26.3
161.0,45.2
163.0,26.3
165.0,26.3
167.0,26.3
169.0,26.3
171.0,26.3
173.0,26.3
175.0,26.3
177.0,38.3
179.0,38.3
181.0,38.3
183.0,38.3
185.0,26.3
187.0,26.3
189.0,26.3
191.0,26.3
193.0,26.3
195.0,26.3
197.0,26.3
199.0,26.3
201.0,54.5
203.0,54.5
205.0,53.6
207.0,53.6
209.0,53.6
211.0,53.6
213.0,53.6
215.0,53.6
217.0,53.6
219.0,53.6
221.0,53.6
223.0,53.6
225.0,53.6
227.0,53.6
229.0,53.6
231.0,58.0
233.0,58.0
235.0,58.0
237.0,58.0
239.0,58.0
241.0,53.6
243.0,53.6
245.0,53.6
247.0,59.3
249.0,59.3
251.0,58.1
253.0,58.1
255.0,58.1
257.0,58.1
259.0,58.1
261.0,58.1
263.0,58.1
265.0,58.1
267.0,70.4
269.0,70.4
271.0,70.4
273.0,70.4
275.0,70.4
277.0,70.4
279.0,70.4
281.0,70.4
283.0,70.4
285.0,70.4
287.0,70.4
289.0,70.4
291.0,70.4
293.0,70.4
295.0,70.4
297.0,70.4
299.0,70.4
301.0,70.4
303.0,70.4
305.0,70.4
307.0,70.4
309.0,70.4
311.0,70.4
313.0,70.4
315.0,70.4
317.0,70.4
319.0,70.4
321.0,70.4
323.0,70.4
325.0,68.6
327.0,69.5
329.0,69.5
331.0,58.9
333.0,58.9
335.0,58.9
337.0,53.2
339.0,52.2
341.0,52.8
343.0,50.2
345.0,50.2
347.0,50.2
349.0,50.2
351.0,50.2
353.0,50.2
355.0,50.2
357.0,50.2
359.0,50.2
361.0,50.2
363.0,59.1
365.0,62.5
367.0,59.1
369.0,59.1
371.0,59.1
373.0,59.1
375.0,64.4
377.0,59.1
379.0,56.7
381.0,50.2
383.0,50.2
385.0,50.2
387.0,50.2
389.0,50.2
391.0,58.1
393.0,48.4
395.0,47.7
397.0,48.4
399.0,48.4
401.0,48.4
403.0,48.4
405.0,48.4
407.0,48.4
409.0,48.4
411.0,52.9
413.0,48.4
415.0,48.4
417.0,48.4
419.0,48.4
421.0,86.9
423.0,48.4
425.0,48.4
427.0,48.4
429.0,48.4
431.0,48.4
433.0,76.4
435.0,76.4
437.0,76.4
439.0,76.4
441.0,76.4
443.0,76.4
445.0,76.4
447.0,76.4
449.0,76.4
451.0,76.4
453.0,76.4
455.0,76.4
457.0,76.4
459.0,76.4
461.0,76.4
463.0,76.4
465.0,76.4
467.0,76.4
469.0,76.4
471.0,76.4
473.0,111.5
475.0,112.3
477.0,95.8
479.0,79.5
481.0,79.5
483.0,74.4
485.0,74.4
487.0,74.4
489.0,74.4
491.0,74.4
493.0,74.4
495.0,74.4
497.0,74.4
499.0,74.4
501.0,74.4
503.0,74.4
505.0,74.4
507.0,74.4
509.0,74.4
511.0,74.4
513.0,74.4
515.0,88.6
517.0,78.7
519.0,45.9
521.0,45.9
523.0,45.2
525.0,45.2
527.0,45.2
529.0,63.6
531.0,63.6
533.0,63.6
535.0,60.2
537.0,60.2
539.0,63.5
541.0,60.2
543.0,60.2
545.0,60.2
547.0,60.2
549.0,60.2
551.0,60.2
553.0,60.2
555.0,60.2
557.0,60.2
559.0,60.2
561.0,60.2
563.0,60.2
565.0,60.2
567.0,60.2
569.0,65.8
571.0,66.2
573.0,66.2
575.0,65.2
577.0,65.2
579.0,77.0
581.0,77.0
583.0,77.0
585.0,77.0
587.0,77.0
589.0,77.0
591.0,140.0
593.0,140.0
595.0,140.0
597.0,140.0
599.0,161.3
601.0,140.0
603.0,140.0
605.0,140.0
607.0,140.0
609.0,140.0
611.0,77.0
613.0,60.6
615.0,60.6
617.0,60.6
619.0,60.6
621.0,51.3
623.0,51.3
625.0,51.3
627.0,51.3
629.0,51.3
631.0,51.3
633.0,51.3
635.0,51.3
637.0,55.3
639.0,51.3
641.0,51.3
643.0,51.3
645.0,51.3
647.0,51.3
649.0,51.3
651.0,51.3
653.0,158.6
655.0,56.4
657.0,56.4
659.0,56.4
