time,phase
1.0,1.0
3.0,1.0
5.0,1.0
7.0,1.0
9.0,5.0
11.0,5.0
13.0,5.0
15.0,5.0
17.0,8.0
19.0,8.0
21.0,8.0
23.0,8.0
25.0,5.0
27.0,5.0
29.0,5.0
31.0,5.0
33.0,8.0
35.0,8.0
37.0,8.0
39.0,8.0
41.0,8.0
43.0,8.0
45.0,8.0
47.0,5.0
49.0,5.0
51.0,5.0
53.0,5.0
55.0,2.0
57.0,2.0
59.0,2.0
61.0,2.0
63.0,3.0
65.0,3.0
67.0,3.0
69.0,3.0
71.0,3.0
73.0,6.0
75.0,6.0
77.0,6.0
79.0,6.0
81.0,6.0
83.0,8.0
85.0,8.0
87.0,8.0
89.0,8.0
91.0,7.0
93.0,7.0
95.0,7.0
97.0,7.0
99.0,6.0
101.0,6.0
103.0,6.0
105.0,6.0
107.0,1.0
109.0,1.0
111.0,1.0
113.0,1.0
115.0,4.0
117.0,4.0
119.0,4.0
121.0,4.0
123.0,4.0
125.0,5.0
127.0,5.0
129.0,5.0
131.0,5.0
133.0,5.0
135.0,5.0
137.0,5.0
139.0,5.0
141.0,2.0
143.0,2.0
145.0,2.0
147.0,2.0
149.0,2.0
151.0,4.0
153.0,4.0
155.0,4.0
157.0,4.0
159.0,4.0
161.0,4.0
163.0,4.0
165.0,5.0
167.0,5.0
169.0,5.0
171.0,5.0
173.0,7.0
175.0,7.0
177.0,7.0
179.0,7.0
181.0,7.0
183.0,7.0
185.0,7.0
187.0,7.0
189.0,2.0
191.0,2.0
193.0,2.0
195.0,2.0
197.0,2.0
199.0,4.0
201.0,4.0
203.0,4.0
205.0,4.0
207.0,4.0
209.0,4.0
211.0,4.0
213.0,4.0
215.0,4.0
217.0,4.0
219.0,4.0
221.0,4.0
223.0,4.0
225.0,3.0
227.0,3.0
229.0,3.0
231.0,3.0
233.0,3.0
235.0,3.0
237.0,8.0
239.0,8.0
241.0,8.0
243.0,8.0
245.0,8.0
247.0,8.0
249.0,8.0
251.0,8.0
253.0,6.0
255.0,6.0
257.0,6.0
259.0,6.0
261.0,7.0
263.0,7.0
265.0,7.0
267.0,7.0
269.0,7.0
271.0,7.0
273.0,7.0
275.0,7.0
277.0,5.0
279.0,5.0
281.0,5.0
283.0,5.0
285.0,5.0
287.0,5.0
289.0,6.0
291.0,6.0
293.0,6.0
295.0,6.0
297.0,8.0
299.0,8.0
301.0,8.0
303.0,8.0
305.0,8.0
307.0,8.0
309.0,1.0
311.0,1.0
313.0,1.0
315.0,1.0
317.0,6.0
319.0,6.0
321.0,6.0
323.0,6.0
325.0,6.0
327.0,6.0
329.0,6.0
331.0,6.0
