time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,8.8
27.0,10.9
29.0,10.8
31.0,10.8
33.0,10.8
35.0,10.8
37.0,10.8
39.0,10.8
41.0,10.8
43.0,10.8
45.0,10.8
47.0,10.8
49.0,10.8
51.0,10.8
53.0,10.8
55.0,19.0
57.0,23.8
59.0,23.7
61.0,23.7
63.0,23.7
65.0,23.7
67.0,23.7
69.0,23.2
71.0,5.1
73.0,5.1
75.0,5.1
77.0,5.1
79.0,5.1
81.0,5.1
83.0,8.0
85.0,10.8
87.0,12.1
89.0,11.2
91.0,12.3
93.0,12.3
95.0,12.3
97.0,16.8
99.0,17.2
101.0,17.2
103.0,17.2
105.0,17.9
107.0,24.0
109.0,30.0
111.0,30.7
113.0,28.8
115.0,25.9
117.0,21.3
119.0,19.0
121.0,13.4
123.0,12.0
125.0,12.2
127.0,12.1
129.0,12.1
131.0,12.1
133.0,12.1
135.0,12.1
137.0,12.1
139.0,13.4
141.0,17.5
143.0,15.7
145.0,18.0
147.0,17.9
149.0,22.1
151.0,24.1
153.0,24.1
155.0,24.1
157.0,24.1
159.0,24.1
161.0,24.1
163.0,24.1
165.0,27.3
167.0,30.9
169.0,30.9
171.0,30.9
173.0,30.9
175.0,30.9
177.0,30.9
179.0,24.1
181.0,24.1
183.0,24.1
185.0,27.0
187.0,30.9
189.0,30.8
191.0,35.1
193.0,23.4
195.0,23.4
197.0,23.4
199.0,23.4
201.0,23.4
203.0,23.4
205.0,23.4
207.0,23.4
209.0,23.2
211.0,6.5
213.0,4.4
215.0,7.1
217.0,17.5
219.0,22.8
221.0,23.7
223.0,23.7
225.0,23.7
227.0,23.7
229.0,23.7
231.0,23.7
233.0,23.7
235.0,23.8
237.0,37.8
239.0,48.1
241.0,46.5
243.0,44.7
245.0,42.7
247.0,42.3
249.0,47.6
251.0,26.9
253.0,26.9
255.0,33.1
257.0,32.9
259.0,32.9
261.0,32.9
263.0,32.9
265.0,32.9
267.0,32.9
269.0,32.0
271.0,28.8
273.0,15.6
275.0,16.5
277.0,18.6
279.0,18.5
281.0,18.2
283.0,18.1
285.0,23.3
287.0,24.8
289.0,20.6
291.0,18.4
293.0,18.3
295.0,18.3
297.0,24.3
299.0,24.2
301.0,24.5
303.0,35.1
305.0,36.3
307.0,36.3
309.0,36.3
311.0,36.3
313.0,36.3
315.0,36.3
317.0,36.3
319.0,36.3
321.0,36.3
323.0,36.3
325.0,40.4
327.0,42.8
329.0,42.8
331.0,41.1
333.0,37.3
335.0,34.8
337.0,34.7
339.0,35.7
341.0,39.8
343.0,38.3
345.0,38.9
347.0,47.6
349.0,56.4
351.0,56.5
353.0,56.5
355.0,56.5
357.0,56.5
359.0,56.5
361.0,57.4
363.0,63.2
365.0,69.2
367.0,73.7
369.0,75.0
371.0,55.9
373.0,31.4
375.0,31.4
377.0,31.4
379.0,31.4
381.0,36.8
383.0,37.9
385.0,37.9
387.0,37.7
389.0,30.2
391.0,30.5
393.0,37.3
395.0,39.9
397.0,43.5
399.0,43.4
401.0,43.4
403.0,43.4
405.0,43.4
407.0,48.9
409.0,56.6
411.0,61.9
413.0,63.6
415.0,67.7
417.0,52.3
419.0,24.1
421.0,32.5
423.0,38.8
425.0,49.9
427.0,50.4
429.0,50.4
431.0,50.4
433.0,50.4
435.0,50.4
437.0,50.4
439.0,50.4
441.0,50.4
443.0,50.4
445.0,51.8
447.0,57.9
449.0,62.0
451.0,63.0
453.0,60.6
455.0,64.5
457.0,50.1
459.0,43.3
461.0,47.0
463.0,60.1
465.0,62.5
467.0,68.6
469.0,69.1
471.0,80.2
473.0,82.3
475.0,88.9
477.0,88.7
479.0,88.7
481.0,88.5
483.0,87.6
485.0,85.9
487.0,44.8
489.0,44.8
491.0,44.8
493.0,44.8
495.0,48.8
497.0,50.6
499.0,53.0
501.0,62.9
503.0,63.2
505.0,62.6
507.0,59.0
509.0,43.3
511.0,44.7
513.0,50.0
515.0,49.9
517.0,49.4
519.0,52.1
521.0,53.4
523.0,57.0
525.0,61.6
527.0,66.7
529.0,70.7
531.0,68.0
533.0,76.7
535.0,79.3
537.0,79.3
539.0,78.8
541.0,65.5
543.0,65.3
545.0,67.5
547.0,74.3
549.0,77.0
551.0,77.0
553.0,77.0
555.0,77.0
557.0,82.7
559.0,83.4
561.0,83.4
563.0,83.4
565.0,83.4
567.0,85.5
569.0,99.6
571.0,100.6
573.0,100.6
575.0,100.6
577.0,100.6
579.0,100.6
581.0,100.6
583.0,100.6
585.0,92.6
587.0,97.5
589.0,97.4
591.0,97.4
593.0,97.4
595.0,97.4
597.0,97.4
599.0,99.2
601.0,104.1
603.0,104.0
605.0,104.0
607.0,104.0
609.0,110.4
611.0,110.5
613.0,116.3
615.0,117.4
617.0,122.8
619.0,128.9
621.0,128.7
623.0,128.6
625.0,78.0
627.0,71.6
629.0,71.4
631.0,49.4
633.0,34.6
635.0,39.5
637.0,49.5
639.0,59.7
641.0,61.7
643.0,48.0
645.0,54.8
647.0,60.5
649.0,66.1
651.0,67.5
653.0,70.0
655.0,74.2
657.0,74.1
659.0,74.1
