time,value
5,0.04
9,0.03
13,0.04
17,0.02
33,0.02
37,0.03
41,0.02
45,0.03
49,0.03
53,0.03
57,0.03
61,0.02
65,0.03
69,0.04
73,0.09
77,0.08
81,0.10
85,0.06
89,0.10
93,0.09
97,0.08
101,0.09
105,0.05
109,0.09
113,0.12
117,0.14
121,0.18
125,0.19
129,0.13
133,0.20
137,0.21
141,0.13
145,0.16
149,0.34
153,0.13
157,0.21
161,0.38
165,0.19
169,0.22
173,0.25
177,0.32
181,0.33
185,0.14
189,0.43
193,0.43
197,0.31
201,0.30
205,0.13
209,0.35
213,0.24
217,0.22
221,0.29
225,0.41
229,0.28
233,0.36
237,0.34
241,0.30
245,0.33
249,0.16
253,0.25
257,0.18
261,0.13
265,0.32
269,0.24
273,0.18
277,0.21
281,0.12
285,0.19
289,0.22
293,0.25
297,0.35
301,0.25
305,0.17
309,0.30
313,0.26
317,0.13
321,0.47
325,0.17
329,0.35
333,0.25
337,0.28
341,0.26
345,0.26
349,0.32
353,0.41
357,0.38
361,0.17
365,0.20
369,0.20
373,0.18
377,0.17
381,0.19
385,0.24
389,0.24
393,0.13
397,0.20
401,0.17
405,0.23
409,0.19
413,0.25
417,0.22
421,0.16
425,0.21
429,0.13
433,0.18
437,0.23
441,0.22
445,0.25
449,0.26
453,0.24
457,0.49
461,0.44
465,0.24
469,0.57
473,0.19
477,0.36
481,0.16
485,0.33
489,0.17
493,0.44
497,0.32
501,0.33
505,0.17
509,0.22
513,0.26
517,0.15
521,0.25
525,0.33
529,0.30
533,0.31
537,0.33
541,0.51
545,0.26
549,0.36
553,0.64
557,0.21
561,0.33
565,0.17
569,0.27
573,0.29
577,0.60
581,0.41
585,0.53
589,0.58
593,0.27
597,0.63
601,0.50
605,0.28
609,0.46
613,0.42
617,0.31
621,0.28
625,0.18
629,0.27
633,0.35
637,0.20
641,0.27
645,0.27
649,0.33
653,0.42
657,0.18
661,0.41
665,0.17
669,0.25
673,0.25
677,0.31
681,0.15
685,0.25
689,0.36
693,0.13
697,0.18
701,0.22
705,0.20
709,0.15
713,0.36
717,0.21
721,0.34
725,0.38
729,0.42
733,0.22
737,0.25
741,0.14
745,0.28
749,0.16
753,0.30
757,0.31
761,0.20
765,0.28
769,0.10
773,0.22
777,0.14
781,0.16
785,0.18
789,0.15
793,0.24
797,0.17
801,0.30
805,0.16
809,0.30
813,0.20
817,0.41
821,0.16
825,0.38
829,0.29
833,0.36
837,0.17
841,0.27
845,0.18
849,0.27
853,0.14
857,0.23
861,0.30
865,0.13
869,0.20
873,0.18
877,0.29
881,0.36
885,0.34
889,0.13
893,0.40
897,0.37
901,0.31
905,0.16
909,0.21
913,0.11
917,0.29
921,0.21
925,0.14
929,0.30
933,0.25
937,0.14
941,0.12
945,0.11
949,0.14
953,0.10
957,0.10
961,0.18
965,0.17
969,0.14
973,0.07
977,0.20
981,0.10
985,0.15
989,0.18
993,0.10
997,0.07
