time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,32.90,1
5,0.00,0.00,0.00,0.00,44.70,1
7,0.00,0.00,0.00,0.00,54.55,1
9,0.00,0.00,0.00,0.00,51.73,3
11,0.00,0.00,0.00,0.00,53.44,3
13,0.00,0.00,0.00,0.00,53.74,3
15,0.00,0.00,0.08,0.99,51.10,3
17,0.00,0.00,0.25,2.99,51.16,1
19,0.00,0.00,0.06,0.66,46.97,1
21,0.00,0.00,0.00,0.04,44.12,1
23,0.00,0.00,0.31,2.04,35.37,1
25,0.40,1.59,0.44,4.04,32.17,2
27,1.65,6.59,0.56,6.04,27.68,2
29,2.60,10.40,0.90,8.04,31.97,2
31,2.12,8.47,0.99,7.14,38.49,2
33,1.30,5.22,1.48,9.14,45.26,4
35,1.30,5.22,1.09,8.72,42.45,4
37,1.59,4.90,1.10,10.72,44.17,4
39,1.31,5.25,1.43,12.72,40.96,4
41,1.29,5.15,0.79,6.47,32.69,3
43,1.57,5.63,1.10,8.47,29.03,3
45,2.75,5.63,1.88,10.47,30.88,3
47,4.28,6.08,2.71,12.47,26.26,3
49,4.15,5.81,2.39,14.47,31.15,1
51,5.43,10.29,2.76,16.47,29.89,1
53,6.17,11.27,3.47,18.47,30.25,1
55,5.27,11.99,4.30,20.47,27.65,1
57,2.98,11.93,2.95,13.35,24.19,4
59,3.73,11.93,2.88,15.35,23.12,4
61,4.67,14.16,3.06,17.35,24.39,4
63,6.11,24.02,3.63,19.35,20.60,4
65,5.94,23.74,2.02,21.35,15.97,2
67,6.09,23.74,2.47,23.35,13.56,2
69,7.36,23.74,2.97,25.35,15.21,2
71,7.31,23.74,3.52,27.35,21.37,2
73,8.05,26.68,3.38,22.36,30.22,3
75,5.86,17.94,3.19,16.00,36.22,3
77,1.36,5.44,2.19,14.86,40.22,3
79,0.24,0.97,1.80,13.39,36.83,3
81,0.51,2.04,0.06,0.71,36.38,3
83,1.32,5.28,0.25,2.71,36.18,4
85,1.30,5.21,0.39,4.71,38.16,4
87,1.80,5.21,0.67,6.71,41.02,4
89,1.57,5.13,1.00,8.71,43.07,4
91,0.00,0.00,1.33,10.71,41.51,3
93,0.70,2.79,0.67,7.31,34.05,3
95,3.39,7.83,1.16,9.31,28.82,3
97,4.10,10.83,2.00,11.31,30.28,3
99,2.94,7.75,1.82,5.35,31.65,4
101,1.28,4.64,2.24,7.35,26.37,4
103,1.59,4.63,1.79,8.76,26.13,4
105,4.00,10.93,2.29,10.76,33.00,4
107,3.32,8.21,2.34,12.08,32.97,2
109,1.26,5.06,2.03,10.67,30.87,2
111,2.32,5.06,1.59,12.67,25.47,2
113,3.39,4.97,2.09,14.67,34.89,2
115,2.17,8.26,2.59,16.67,32.66,3
117,2.86,11.42,1.08,11.29,30.16,3
119,2.85,11.40,1.24,13.29,31.38,3
121,3.62,11.40,1.72,15.29,36.36,3
123,4.74,8.71,2.22,17.29,38.67,1
125,2.49,5.26,2.31,12.41,33.70,1
127,2.62,5.26,1.52,9.57,31.45,1
129,2.62,5.26,2.15,11.57,31.20,1
131,2.54,5.26,3.11,13.57,27.85,4
133,3.03,6.85,2.98,13.78,23.86,4
135,5.51,11.05,3.63,15.78,22.37,4
137,6.96,11.77,4.63,17.78,26.23,4
139,7.02,11.40,5.68,19.78,23.98,2
141,7.98,15.23,4.48,14.94,20.80,2
143,7.50,13.32,5.46,16.94,19.82,2
145,8.26,15.63,6.46,18.94,21.01,2
147,8.75,17.70,4.77,17.23,23.61,4
149,6.27,12.75,5.77,19.23,24.21,4
151,6.38,18.58,4.97,19.44,24.62,4
153,8.58,18.45,6.08,21.44,27.69,4
155,9.06,18.43,6.21,23.44,23.39,2
157,6.64,12.12,6.53,22.24,21.66,2
159,7.42,18.49,6.61,24.24,20.94,2
161,8.67,18.94,7.77,26.24,21.82,2
163,12.27,24.62,9.08,28.24,25.11,2
165,12.52,23.50,8.77,30.24,26.89,2
167,5.79,9.84,8.69,32.24,25.79,4
169,5.69,11.58,8.31,34.24,20.52,4
171,6.51,11.58,8.55,36.24,18.26,4
173,8.26,11.66,9.01,38.24,21.49,4
175,12.69,21.31,10.35,40.24,23.98,3
177,10.69,13.74,8.93,42.24,22.31,3
179,7.99,15.31,9.33,44.24,19.10,3
181,10.99,19.19,10.82,46.24,19.76,3
183,12.33,23.86,12.32,48.24,21.28,1
185,11.38,25.12,8.91,27.64,19.02,1
187,11.59,25.11,8.87,29.64,20.99,1
189,12.94,25.11,10.24,31.64,21.50,1
191,13.91,25.11,11.74,33.64,21.16,2
193,13.17,24.77,10.24,22.71,19.86,2
195,10.98,21.96,9.22,24.71,20.21,2
197,12.30,29.41,10.20,26.71,21.47,2
199,13.89,29.22,11.74,28.71,19.89,1
201,12.75,29.18,12.60,30.71,17.46,1
203,12.38,27.72,12.81,32.71,14.86,1
205,15.17,20.04,14.48,34.71,12.88,1
207,14.86,23.85,15.80,36.71,14.29,2
209,16.01,21.01,17.29,38.71,13.73,2
211,13.84,24.88,16.29,40.71,12.65,2
213,16.00,24.83,17.95,42.71,12.21,2
215,15.94,24.83,19.62,44.71,16.37,2
217,16.05,24.36,18.75,46.71,19.71,2
219,11.24,23.81,20.06,48.71,20.69,2
221,11.24,23.81,19.06,50.71,20.96,2
223,11.24,23.81,18.67,52.71,21.20,2
225,13.17,23.81,19.98,54.71,22.63,2
227,15.64,23.81,21.65,56.71,22.35,2
229,15.74,23.81,22.74,58.71,19.10,3
231,17.50,23.81,24.00,60.71,18.12,3
233,18.90,24.53,25.32,62.71,16.13,3
235,20.32,30.20,26.39,64.71,12.26,3
237,21.08,30.05,21.97,66.71,10.20,4
239,23.25,30.05,21.86,68.71,10.40,4
241,25.19,30.38,21.92,70.71,12.11,4
243,26.02,30.31,21.18,72.71,12.65,4
245,26.73,30.16,14.62,41.41,13.70,1
247,15.62,29.60,14.93,43.41,12.01,1
