time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.20
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.40
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.30
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.90
29,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.12,0.12,0.36,23.70
31,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.79,0.79,2.36,60.00
33,0.00,0.00,0.00,0.00,0.00,0.00,2.51,0.84,0.84,2.51,60.00
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.90
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.30
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.75
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.95
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.80
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.55
51,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.32,0.32,0.97,16.70
53,0.00,4.89,2.45,4.89,0.80,0.00,2.97,1.26,1.26,2.97,19.23
55,0.00,5.44,2.72,5.44,2.80,0.00,4.97,2.59,2.59,4.97,20.97
57,2.63,5.44,4.04,5.44,4.80,0.00,6.97,3.92,3.92,6.97,41.10
59,0.00,5.44,2.72,5.44,6.80,0.00,8.97,5.26,5.26,8.97,42.08
61,0.00,5.36,2.68,5.36,8.80,0.00,10.97,6.59,6.59,10.97,50.07
63,0.00,0.00,0.00,0.00,10.80,0.00,12.97,7.92,7.92,12.97,43.50
65,0.00,0.00,0.00,0.00,12.80,0.00,2.86,5.22,5.22,12.80,40.50
67,0.00,0.00,0.00,0.00,14.80,0.00,0.00,4.93,4.93,14.80,25.00
69,0.00,0.00,0.00,0.00,16.80,0.00,0.00,5.60,5.60,16.80,12.50
71,0.00,0.00,0.00,0.00,3.48,0.00,1.38,1.62,1.62,3.48,2.50
