time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,1.1
19.0,1.1
21.0,1.1
23.0,1.1
25.0,3.6
27.0,2.6
29.0,2.6
31.0,2.6
33.0,8.9
35.0,8.7
37.0,5.5
39.0,6.8
41.0,6.8
43.0,13.4
45.0,13.4
47.0,13.4
49.0,20.1
51.0,14.2
53.0,14.2
55.0,13.4
57.0,13.4
59.0,13.4
61.0,21.8
63.0,21.8
65.0,21.8
67.0,13.4
69.0,13.4
71.0,13.4
73.0,13.4
75.0,13.4
77.0,27.3
79.0,27.3
81.0,27.3
83.0,27.3
85.0,38.5
87.0,32.9
89.0,27.6
91.0,27.3
93.0,27.3
95.0,27.3
97.0,27.3
99.0,27.3
101.0,27.3
103.0,27.3
105.0,30.3
107.0,27.3
109.0,27.3
111.0,27.3
113.0,27.3
115.0,27.3
117.0,27.3
119.0,27.3
121.0,27.3
123.0,27.3
125.0,39.9
127.0,27.3
129.0,27.3
131.0,27.3
133.0,37.9
135.0,37.9
137.0,37.9
139.0,37.9
141.0,29.1
143.0,27.3
145.0,27.3
147.0,27.3
149.0,27.3
151.0,27.3
153.0,45.9
155.0,44.5
157.0,35.7
159.0,35.7
161.0,56.7
163.0,45.6
165.0,46.1
167.0,46.1
169.0,46.3
171.0,46.3
173.0,46.3
175.0,46.1
177.0,46.1
179.0,46.1
181.0,46.1
183.0,46.1
185.0,46.1
187.0,46.1
189.0,50.9
191.0,52.1
193.0,49.0
195.0,49.0
197.0,54.5
199.0,52.7
201.0,52.7
203.0,52.7
205.0,52.7
207.0,52.7
209.0,52.7
211.0,52.7
213.0,52.7
215.0,52.7
217.0,52.7
219.0,52.7
221.0,57.5
223.0,57.5
225.0,57.1
227.0,57.1
229.0,49.0
231.0,49.0
233.0,49.0
235.0,49.0
237.0,49.0
239.0,49.0
241.0,49.0
243.0,49.0
245.0,99.4
247.0,63.6
249.0,64.6
251.0,42.3
253.0,42.3
255.0,42.3
257.0,132.4
259.0,123.7
261.0,104.1
263.0,104.1
265.0,104.1
267.0,104.1
269.0,104.1
271.0,104.1
273.0,104.1
275.0,104.1
277.0,104.1
279.0,104.1
281.0,104.1
283.0,104.1
285.0,104.1
287.0,104.1
289.0,104.1
291.0,104.1
293.0,104.1
295.0,104.1
297.0,118.0
299.0,116.2
301.0,99.4
303.0,67.4
305.0,67.4
307.0,67.4
309.0,67.4
311.0,67.4
313.0,67.4
315.0,67.4
317.0,67.4
319.0,67.4
321.0,67.4
323.0,67.4
325.0,90.6
327.0,91.1
329.0,67.4
331.0,67.4
333.0,67.4
335.0,67.4
337.0,79.3
339.0,67.5
341.0,58.6
343.0,58.6
345.0,99.4
347.0,99.4
349.0,72.1
351.0,72.1
353.0,72.1
355.0,72.1
357.0,58.6
359.0,58.6
361.0,58.6
363.0,58.6
365.0,58.6
367.0,58.6
369.0,58.6
371.0,58.6
373.0,58.6
375.0,58.6
377.0,91.7
379.0,84.5
381.0,65.6
383.0,65.6
385.0,65.6
387.0,65.6
389.0,65.6
391.0,65.6
393.0,65.6
395.0,65.6
397.0,65.6
399.0,65.6
401.0,65.6
403.0,65.6
405.0,65.6
407.0,65.6
409.0,65.6
411.0,211.1
413.0,211.1
415.0,211.1
417.0,65.6
419.0,65.6
421.0,108.6
423.0,105.1
425.0,105.1
427.0,65.6
429.0,65.6
431.0,65.6
433.0,74.9
435.0,76.4
437.0,76.4
439.0,76.4
441.0,76.4
443.0,76.4
445.0,76.4
447.0,76.4
449.0,76.4
451.0,76.4
453.0,76.4
455.0,76.4
457.0,76.4
459.0,76.4
461.0,76.4
463.0,76.4
465.0,76.4
467.0,76.4
469.0,76.4
471.0,76.4
473.0,96.5
475.0,91.9
477.0,81.7
479.0,61.7
481.0,46.2
483.0,46.2
485.0,46.2
487.0,46.2
489.0,89.5
491.0,89.5
493.0,89.5
495.0,89.5
497.0,89.5
499.0,89.5
501.0,89.5
503.0,89.5
505.0,86.6
507.0,86.6
509.0,56.2
511.0,56.2
513.0,56.2
515.0,56.2
517.0,56.2
519.0,56.2
521.0,56.2
523.0,56.2
525.0,61.0
527.0,56.2
529.0,56.2
531.0,56.2
533.0,56.2
535.0,56.2
537.0,56.2
539.0,56.2
541.0,56.2
543.0,223.6
545.0,223.6
547.0,223.6
549.0,223.6
551.0,223.6
553.0,223.6
555.0,223.6
557.0,223.6
559.0,223.6
561.0,223.6
563.0,223.6
565.0,223.6
567.0,223.6
569.0,223.6
571.0,223.6
573.0,223.6
575.0,223.6
577.0,223.6
579.0,223.6
581.0,223.6
583.0,66.8
585.0,66.8
587.0,66.8
589.0,66.8
591.0,66.8
593.0,66.8
595.0,66.8
597.0,66.8
599.0,66.8
601.0,66.8
603.0,66.8
605.0,92.2
607.0,67.6
609.0,67.3
611.0,67.3
613.0,67.3
615.0,67.3
617.0,67.3
619.0,67.3
621.0,67.3
623.0,67.3
625.0,67.3
627.0,67.3
629.0,67.3
631.0,67.3
633.0,67.3
635.0,67.3
637.0,105.7
639.0,103.5
641.0,85.9
643.0,82.0
645.0,82.0
647.0,82.0
649.0,102.2
651.0,102.2
653.0,102.2
655.0,105.6
657.0,90.1
659.0,90.1
