time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,1.1
25.0,2.75
27.0,2.7
29.0,2.7
31.0,3.575
33.0,3.95
35.0,3.95
37.0,3.95
39.0,3.95
41.0,4.7250000000000005
43.0,5.225
45.0,5.225
47.0,5.225
49.0,7.125
51.0,8.475
53.0,8.45
55.0,8.45
57.0,8.45
59.0,8.45
61.0,9.25
63.0,9.825000000000001
65.0,9.65
67.0,8.85
69.0,10.275
71.0,10.175
73.0,4.8
75.0,5.4
77.0,5.775
79.0,5.125
81.0,5.125
83.0,7.825
85.0,7.875
87.0,9.424999999999999
89.0,9.525
91.0,9.875
93.0,12.6
95.0,14.125000000000002
97.0,14.6
99.0,14.6
101.0,14.6
103.0,14.6
105.0,15.5
107.0,16.099999999999998
109.0,17.225
111.0,19.875000000000004
113.0,19.2
115.0,16.4
117.0,14.95
119.0,13.5
121.0,14.5
123.0,16.099999999999998
125.0,21.974999999999998
127.0,24.425
129.0,25.6
131.0,14.825
133.0,14.775
135.0,14.775
137.0,15.575000000000001
139.0,17.125
141.0,18.45
143.0,14.45
145.0,14.525
147.0,12.4
149.0,15.5
151.0,15.825
153.0,15.825
155.0,15.825
157.0,16.075
159.0,17.4
161.0,17.375
163.0,19.275000000000002
165.0,20.8
167.0,22.025
169.0,22.25
171.0,22.25
173.0,22.25
175.0,24.4
177.0,22.55
179.0,19.025
181.0,13.349999999999998
183.0,12.725
185.0,13.35
187.0,16.775
189.0,18.3
191.0,18.400000000000002
193.0,19.175
195.0,19.8
197.0,10.175
199.0,10.175
201.0,10.175
203.0,10.175
205.0,10.175
207.0,8.7
209.0,5.725
211.0,9.200000000000001
213.0,11.575
215.0,15.1
217.0,16.275
219.0,16.275
221.0,17.8
223.0,19.2
225.0,18.325
227.0,17.65
229.0,20.474999999999998
231.0,20.65
233.0,21.3
235.0,22.125
237.0,22.65
239.0,22.375
241.0,21.175
243.0,21.525
245.0,23.15
247.0,19.925
249.0,14.899999999999999
251.0,10.424999999999999
253.0,10.825
255.0,14.8
257.0,14.925
259.0,17.225
261.0,19.275000000000002
263.0,19.25
265.0,19.25
267.0,18.475
269.0,16.425
271.0,19.525000000000002
273.0,19.625
275.0,17.975
277.0,20.625000000000004
279.0,24.125
281.0,26.1
283.0,27.200000000000003
285.0,22.925
287.0,19.175
289.0,22.175
291.0,24.225
293.0,24.15
295.0,25.375
297.0,25.700000000000003
299.0,21.05
301.0,23.9
303.0,27.2
305.0,32.05
307.0,35.425000000000004
309.0,37.0
311.0,32.125
313.0,28.575000000000003
315.0,20.925
317.0,20.825000000000003
319.0,22.924999999999997
321.0,25.85
323.0,27.075000000000003
325.0,28.975
327.0,31.175
329.0,26.85
331.0,29.049999999999997
333.0,29.85
335.0,22.25
337.0,20.375
339.0,20.35
341.0,22.625
343.0,25.125
345.0,24.5
347.0,25.075000000000003
349.0,26.6
351.0,32.75
353.0,34.375
355.0,27.125
357.0,24.525
359.0,25.5
361.0,28.025
363.0,28.45
365.0,24.5
367.0,31.775
369.0,32.125
371.0,34.5
373.0,37.275
375.0,40.525000000000006
377.0,41.2
379.0,34.25
381.0,36.0
383.0,28.7
385.0,28.95
387.0,31.625
389.0,35.675
391.0,37.14999999999999
393.0,37.324999999999996
395.0,33.3
397.0,22.150000000000002
399.0,25.55
401.0,28.449999999999996
403.0,30.099999999999998
405.0,34.05
407.0,36.3
409.0,41.1
411.0,45.425000000000004
413.0,48.050000000000004
415.0,46.300000000000004
417.0,45.974999999999994
419.0,46.0
421.0,46.8
423.0,36.75
425.0,34.125
427.0,33.75
429.0,38.775
431.0,44.675
433.0,45.825
435.0,41.875
437.0,42.39999999999999
439.0,45.95
441.0,48.35000000000001
443.0,48.65
445.0,45.225
447.0,39.449999999999996
449.0,44.0
451.0,46.824999999999996
453.0,50.6
455.0,55.75000000000001
457.0,61.225
459.0,53.225
461.0,54.275
463.0,47.775000000000006
465.0,36.55
467.0,40.0
469.0,43.12500000000001
471.0,47.825
473.0,47.825
475.0,49.325
477.0,53.5
479.0,57.67500000000001
481.0,62.675
483.0,64.35000000000001
485.0,68.27499999999999
487.0,71.6
489.0,72.875
491.0,71.19999999999999
493.0,68.425
495.0,68.775
497.0,62.125
499.0,43.0
501.0,45.95
503.0,47.199999999999996
505.0,48.725
507.0,47.775
509.0,28.825
511.0,30.425
513.0,33.85
515.0,35.675
517.0,39.05
519.0,40.65
521.0,40.599999999999994
523.0,40.525
525.0,41.2
527.0,45.74999999999999
529.0,46.75
531.0,50.74999999999999
533.0,50.75
535.0,42.725
537.0,23.950000000000003
539.0,26.975
541.0,28.825000000000003
543.0,33.05
545.0,35.425
547.0,42.025
549.0,44.55
551.0,44.975
553.0,41.4
555.0,42.275
557.0,47.6
559.0,49.275
561.0,49.574999999999996
563.0,49.0
565.0,49.824999999999996
567.0,50.575
569.0,49.975
571.0,39.975
573.0,23.825
575.0,27.099999999999998
577.0,29.375
579.0,31.475
581.0,33.725
583.0,35.925
585.0,38.6
587.0,40.60000000000001
589.0,40.550000000000004
591.0,40.62499999999999
593.0,41.325
595.0,41.0
597.0,42.650000000000006
