time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,60.00,1
7,0.00,0.00,0.00,0.00,60.00,1
9,0.00,0.00,0.00,0.00,43.20,1
11,0.00,0.00,0.00,0.00,51.45,1
13,0.00,0.00,0.00,0.00,57.90,1
15,0.00,0.00,0.00,0.00,58.60,1
17,0.00,0.00,0.00,0.00,53.62,1
19,0.00,0.00,0.00,0.00,44.16,1
21,0.00,0.00,0.07,0.83,34.18,1
23,1.09,4.37,0.24,2.83,22.26,3
25,2.74,10.97,0.57,4.83,12.66,3
27,2.71,10.83,0.90,6.83,22.53,3
29,2.71,10.83,0.87,8.83,22.76,3
31,3.52,10.83,1.37,10.83,25.35,3
33,3.97,10.83,1.43,12.83,25.88,3
35,3.97,10.83,1.77,14.83,27.01,3
37,3.97,10.83,2.10,16.83,27.97,3
39,3.97,10.83,2.52,18.83,24.74,2
41,4.73,10.83,2.96,20.83,21.64,2
43,5.25,10.83,3.59,22.83,13.75,2
45,5.24,10.83,4.25,24.83,6.97,2
47,5.24,10.83,4.46,26.83,6.29,2
49,7.13,18.39,4.96,28.83,6.31,2
51,8.48,23.78,5.46,30.83,7.57,2
53,8.45,23.68,5.96,32.83,8.41,2
55,8.45,23.68,6.46,34.83,12.70,2
57,8.45,23.68,6.96,36.83,17.31,2
59,8.45,23.68,7.46,38.83,20.14,4
61,9.27,26.95,7.96,40.83,22.72,4
63,9.64,29.18,8.46,42.83,24.71,4
65,8.57,29.17,6.03,44.83,22.61,4
67,8.56,29.16,6.48,46.14,20.95,4
69,9.77,33.99,4.79,30.38,19.80,4
71,5.42,16.59,5.32,32.38,20.50,4
73,4.80,9.19,5.13,34.38,22.95,4
75,5.79,10.74,5.37,36.38,25.71,4
77,6.22,10.73,5.32,38.38,28.62,4
79,6.21,10.73,5.99,40.38,29.02,4
81,7.02,10.73,6.82,42.38,27.57,1
83,7.71,10.73,7.66,44.38,24.76,1
85,8.13,12.53,8.78,46.38,21.67,1
87,9.46,17.31,10.00,48.38,20.73,1
89,9.41,17.21,7.25,25.20,19.29,1
91,11.21,18.66,7.91,27.20,17.06,1
93,12.79,23.90,9.01,29.20,17.52,1
95,14.05,28.94,10.18,31.20,18.46,1
97,14.52,30.83,11.40,33.20,15.16,1
99,14.52,30.82,12.64,35.20,16.53,1
101,14.52,30.82,13.89,37.20,19.86,3
103,15.42,30.82,14.85,39.20,20.43,3
105,16.04,30.82,16.16,41.20,21.68,3
107,15.96,30.82,13.94,37.75,20.83,3
109,17.69,35.30,11.34,37.14,21.43,3
111,18.92,42.64,9.35,31.96,22.25,2
113,16.37,42.68,10.33,33.96,20.49,2
115,15.22,41.53,10.25,35.96,19.20,2
117,13.97,38.68,11.41,37.96,17.64,2
119,11.25,27.81,8.69,29.34,13.97,2
121,19.95,60.48,9.43,29.23,12.66,2
123,22.88,63.95,10.60,31.23,9.88,2
125,24.50,61.91,10.00,33.23,8.76,2
127,25.01,56.99,11.07,35.23,12.02,2
129,14.77,18.50,11.60,37.23,16.28,2
131,14.75,18.50,12.55,39.23,18.57,2
133,14.75,18.50,13.71,41.23,17.48,4
135,15.31,18.50,13.97,43.23,16.99,4
137,16.26,18.50,13.50,45.23,20.10,4
139,18.31,22.15,14.31,47.23,21.02,4
141,14.88,23.93,13.87,39.63,21.98,4
143,14.88,23.92,13.07,41.63,19.61,4
145,14.21,23.92,10.43,43.63,18.37,4
147,15.04,23.92,11.23,45.63,19.96,4
149,15.94,23.92,11.30,47.63,21.25,4
151,16.18,23.92,10.94,49.63,21.41,4
153,16.18,23.92,11.96,51.63,20.89,1
155,16.18,23.92,13.11,53.63,19.61,1
157,16.18,23.92,14.61,55.63,17.03,1
159,16.18,23.92,15.78,57.63,15.64,1
161,17.25,28.24,16.16,59.63,12.66,1
163,19.47,30.76,16.70,61.63,12.31,1
